id_persona	forma	clip	occurrence	local_start_s	local_end_s	absolute_start_s	absolute_end_s	prob_min	text	centre_rel_s	f0_hz	f1_hz	f2_hz	f3_hz	estat
pa-002	bé	clips/pa-002__b__348.25.wav	1	3.800	3.950	352.050	352.200	0.2970	bé	3.875	83.18	360.60	2095.00	2555.60	tokenització small; no és consens de dos models; pendent d'audició
pa-003	bé	clips/pa-003__b__0.00.wav	1	0.100	0.400	0.100	0.400	0.3207	Bé	0.250		542.30	1570.24	2795.00	tokenització small; no és consens de dos models; pendent d'audició
pa-004	bé	clips/pa-004__b__319.61.wav	1	1.280	1.540	320.890	321.150	0.9828	bé	1.410	132.22	236.30	1989.86	2971.38	tokenització small; no és consens de dos models; pendent d'audició
pa-005	bé	clips/pa-005__b__51.09.wav	1	1.520	2.000	52.610	53.090	0.9921	bé	1.760	228.27	422.68	1940.04	2838.07	tokenització small; no és consens de dos models; pendent d'audició
pa-006	bé	clips/pa-006__b__151.25.wav	1	3.350	3.600	154.600	154.850	0.8041	bé	3.475		934.29	2515.11	3134.60	tokenització small; no és consens de dos models; pendent d'audició
pa-007	bé	clips/pa-007__b__59.25.wav	1	0.670	0.930	59.920	60.180	0.6477	bé	0.800	141.62	339.44	1366.62	2425.23	tokenització small; no és consens de dos models; pendent d'audició
pa-008	bé	clips/pa-008__b__61.25.wav	1	1.890	2.020	63.140	63.270	0.4059	bé	1.955	145.28	519.31	1624.25	2634.11	tokenització small; no és consens de dos models; pendent d'audició
pa-009	bé	clips/pa-009__b__557.25.wav	1	3.060	3.430	560.310	560.680	0.9969	bé	3.245		358.21	1745.11	2534.70	tokenització small; no és consens de dos models; pendent d'audició
pa-011	bé	clips/pa-011__b__185.57.wav	1	2.920	2.940	188.490	188.510	0.9983	bé	2.930		798.21	1751.95	3114.63	tokenització small; no és consens de dos models; pendent d'audició
pa-012	bé	clips/pa-012__b__160.25.wav	1	0.200	0.280	160.450	160.530	0.5550	bé	0.240		1439.82	1690.29	2195.05	tokenització small; no és consens de dos models; pendent d'audició
pa-013	bé	clips/pa-013__b__196.65.wav	1	1.120	1.310	197.770	197.960	0.9863	bé	1.215		545.17	1096.24	1975.63	tokenització small; no és consens de dos models; pendent d'audició
pa-014	bé	clips/pa-014__b__165.65.wav	1	0.000	0.330	165.650	165.980	0.5972	Bé	0.165		775.31	1744.80	2318.31	tokenització small; no és consens de dos models; pendent d'audició
pa-015	bé	clips/pa-015__b__42.25.wav	1	1.400	1.790	43.650	44.040	0.5589	Bé	1.595	94.74	535.90	1839.69	2935.35	tokenització small; no és consens de dos models; pendent d'audició
pa-016	bé	clips/pa-016__b__170.05.wav	1	5.940	6.280	175.990	176.330	0.9990	bé	6.110		767.66	1918.85	2839.31	tokenització small; no és consens de dos models; pendent d'audició
pa-019	bé	clips/pa-019__b__195.25.wav	1	5.410	5.600	200.660	200.850	0.9932	bé	5.505		828.25	1682.88	2647.25	tokenització small; no és consens de dos models; pendent d'audició
pa-020	bé	clips/pa-020__b__146.37.wav	1	3.090	3.410	149.460	149.780	0.9976	bé	3.250	79.16	418.16	1749.66	2333.66	tokenització small; no és consens de dos models; pendent d'audició
