id_persona	forma	interval_escolta	clip	token_start_abs	token_end_abs	token_p_min	punt	proporcio	temps_rel_s	f0_hz	f1_hz	f2_hz	f3_hz	intensity_db
pa-023	bé	409.37-413.47	clips/pa-023__b__409.37.wav	410.250	410.320	0.4139	2	0.35	0.904	144.60	361.53	2230.08	2764.53	67.19
pa-023	bé	409.37-413.47	clips/pa-023__b__409.37.wav	410.250	410.320	0.4139	3	0.50	0.915	142.08	366.69	2208.00	2559.79	68.43
pa-023	bé	409.37-413.47	clips/pa-023__b__409.37.wav	410.250	410.320	0.4139	4	0.65	0.925	141.54	376.72	2164.20	2359.28	69.37
pa-023	bé	409.37-413.47	clips/pa-023__b__409.37.wav	410.250	410.320	0.4139	5	0.80	0.936	141.56	389.02	1940.11	2233.81	70.20
pa-026	bé	99.97-103.47	clips/pa-026__b__99.97.wav	100.290	100.530	0.9655	1	0.20	0.368		1053.94	2319.54	3486.44	38.84
pa-026	bé	99.97-103.47	clips/pa-026__b__99.97.wav	100.290	100.530	0.9655	2	0.35	0.404		886.86	1885.46	2961.49	36.70
pa-026	bé	99.97-103.47	clips/pa-026__b__99.97.wav	100.290	100.530	0.9655	3	0.50	0.440		916.60	2310.76	3277.25	35.96
pa-026	bé	99.97-103.47	clips/pa-026__b__99.97.wav	100.290	100.530	0.9655	4	0.65	0.476		1153.82	2256.14	3087.11	35.47
pa-026	bé	99.97-103.47	clips/pa-026__b__99.97.wav	100.290	100.530	0.9655	5	0.80	0.512		944.88	1790.39	2817.04	35.83
pa-028	bé	182.49-187.39	clips/pa-028__b__182.49.wav	185.330	185.570	0.6210	1	0.20	2.888		1574.49	2850.48	4025.93	49.77
pa-028	bé	182.49-187.39	clips/pa-028__b__182.49.wav	185.330	185.570	0.6210	2	0.35	2.924		942.56	1918.22	3055.41	48.72
pa-028	bé	182.49-187.39	clips/pa-028__b__182.49.wav	185.330	185.570	0.6210	3	0.50	2.960	156.83	459.33	1469.51	2599.59	62.42
pa-028	bé	182.49-187.39	clips/pa-028__b__182.49.wav	185.330	185.570	0.6210	4	0.65	2.996	141.03	371.84	1404.79	2479.11	63.33
pa-028	bé	182.49-187.39	clips/pa-028__b__182.49.wav	185.330	185.570	0.6210	5	0.80	3.032	123.46	137.50	1452.72	2918.36	57.11
pa-032	bé	270.41-274.95	clips/pa-032__b__270.41.wav	273.790	273.920	0.6429	1	0.20	3.406	165.24	376.80	981.25	2407.79	72.45
pa-032	bé	270.41-274.95	clips/pa-032__b__270.41.wav	273.790	273.920	0.6429	2	0.35	3.425	173.47	360.11	1135.65	2138.07	72.35
pa-032	bé	270.41-274.95	clips/pa-032__b__270.41.wav	273.790	273.920	0.6429	3	0.50	3.445	83.79	303.37	1187.31	2246.15	69.64
pa-032	bé	270.41-274.95	clips/pa-032__b__270.41.wav	273.790	273.920	0.6429	4	0.65	3.464	82.85	326.76	1164.71	2451.04	68.25
pa-032	bé	270.41-274.95	clips/pa-032__b__270.41.wav	273.790	273.920	0.6429	5	0.80	3.484	79.15	304.19	1170.37	2408.39	66.14
