id_persona	forma	interval_escolta	clip	token_start_abs	token_end_abs	centre_rel_s	token_p_min	f0_hz	f1_hz	f2_hz	f3_hz
pa-018	perquè	91.09-96.47	clips/pa-018__perqu__91.09.wav	91.820	92.270	0.955	0.2842	119.13	453.61	1690.91	2254.42
pa-019	perquè	101.25-105.75	clips/pa-019__perqu__101.25.wav	101.560	101.930	0.495	0.6081	94.73	438.01	1603.07	1842.97
pa-020	perquè	9.41-12.91	clips/pa-020__perqu__9.41.wav	9.900	10.150	0.615	0.4436	92.46	338.82	1771.60	2244.00
pa-025	perquè	37.17-40.43	clips/pa-025__perqu__37.17.wav	37.940	38.340	0.970	0.5729	113.75	476.81	1472.78	2248.23
pa-026	perquè	150.53-156.67	clips/pa-026__perqu__150.53.wav	150.950	151.130	0.510	0.5605	120.64	505.11	1627.21	2306.98
pa-027	perquè	8.81-14.39	clips/pa-027__perqu__8.81.wav	9.650	10.240	1.135	0.6524		561.16	1856.16	2653.82
pa-032	perquè	9.21-15.07	clips/pa-032__perqu__9.21.wav	9.210	10.060	0.425	0.3204		531.23	1425.59	2831.46
pa-035	perquè	181.13-186.35	clips/pa-035__perqu__181.13.wav	181.890	182.020	0.825	0.1647	131.59	290.00	1271.27	2419.94
pa-036	perquè	15.65-20.75	clips/pa-036__perqu__15.65.wav	18.370	18.630	2.850	0.9199	90.10	599.83	1029.43	2560.17
pa-037	perquè	186.29-198.91	clips/pa-037__perqu__186.29.wav	195.050	195.650	9.060	0.8214		595.93	1297.98	2329.33
pa-038	perquè	279.13-283.51	clips/pa-038__perqu__279.13.wav	279.550	279.920	0.605	0.4386	290.10	548.29	1601.93	2914.94
pa-040	perquè	25.21-30.07	clips/pa-040__perqu__25.21.wav	25.210	25.720	0.255	0.3881	400.14	417.92	2023.72	2707.14
pa-041	perquè	69.25-76.75	clips/pa-041__perqu__69.25.wav	72.970	73.030	3.750	0.2849	175.00	580.48	1674.15	2702.52
pa-042	perquè	29.13-33.43	clips/pa-042__perqu__29.13.wav	31.230	31.570	2.270	0.5302	269.20	552.95	2056.07	2755.30
pa-045	perquè	175.33-183.63	clips/pa-045__perqu__175.33.wav	178.890	179.490	3.860	0.3202		1002.16	2230.47	3147.46
pa-049	perquè	68.85-75.71	clips/pa-049__perqu__68.85.wav	74.270	74.560	5.565	0.8928		797.15	2069.14	2703.00
pa-051	perquè	123.85-128.35	clips/pa-051__perqu__123.85.wav	123.900	124.310	0.255	0.3626	127.90	500.26	1454.77	2896.29
pa-053	perquè	113.93-120.79	clips/pa-053__perqu__113.93.wav	115.930	116.640	2.355	0.4895	109.22	1133.34	1743.32	3151.71
pa-054	perquè	80.45-85.43	clips/pa-054__perqu__80.45.wav	83.170	83.710	2.990	0.4185	109.85	623.61	1716.02	2826.57
pa-055	perquè	148.53-153.11	clips/pa-055__perqu__148.53.wav	150.910	151.230	2.540	0.8250	120.45	331.00	1376.67	2242.11
pa-056	perquè	31.73-35.07	clips/pa-056__perqu__31.73.wav	33.780	33.950	2.135	0.4746	125.94	329.34	1435.10	1992.66
pa-058	perquè	91.09-96.47	clips/pa-058__perqu__91.09.wav	92.620	92.980	1.710	0.9219	144.46	422.72	756.12	2439.10
pa-059	perquè	4.09-12.43	clips/pa-059__perqu__4.09.wav	6.370	6.790	2.490	0.5212	132.97	513.66	2261.00	2700.72
pa-062	perquè	73.97-78.19	clips/pa-062__perqu__73.97.wav	75.970	76.320	2.175	0.8048	129.18	276.11	788.90	2461.92
pa-064	perquè	27.57-33.27	clips/pa-064__perqu__27.57.wav	30.340	30.800	3.000	0.3053	166.10	327.51	1054.97	2399.86
pa-065	perquè	129.17-134.51	clips/pa-065__perqu__129.17.wav	131.170	131.840	2.335	0.4005		741.51	1537.06	2845.38
pa-066	perquè	21.81-26.71	clips/pa-066__perqu__21.81.wav	25.210	25.320	3.455	0.4209	82.82	382.74	2037.91	3593.00
pa-002	a nivell	714.25-724.75	clips/pa-002__a-nivell__714.25.wav	720.690	722.280	7.235	0.3098	84.33	503.66	1413.12	2505.47
pa-003	a nivell	180.17-188.79	clips/pa-003__a-nivell__180.17.wav	182.000	182.850	2.255	0.5882	267.50	905.42	1596.25	2925.94
pa-016	a nivell	333.81-340.39	clips/pa-016__a-nivell__333.81.wav	337.210	337.810	3.700	0.3497		1512.67	2739.44	3917.19
pa-017	a nivell	143.25-149.75	clips/pa-017__a-nivell__143.25.wav	146.570	146.770	3.420	0.7690	142.92	583.33	1953.80	2916.92
pa-018	a nivell	188.45-191.87	clips/pa-018__a-nivell__188.45.wav	188.490	189.030	0.310	0.0199	128.52	544.78	1626.54	2337.97
pa-019	a nivell	122.25-127.75	clips/pa-019__a-nivell__122.25.wav	125.450	125.870	3.410	0.8382	61.57	590.84	1298.56	2587.43
pa-024	a nivell	1547.93-1552.91	clips/pa-024__a-nivell__1547.93.wav	1549.420	1549.790	1.675	0.2905	104.57	366.17	1380.61	2193.26
pa-034	a nivell	143.81-148.91	clips/pa-034__a-nivell__143.81.wav	146.670	147.410	3.230	0.6973	179.38	626.14	838.41	1907.26
pa-036	a nivell	386.45-395.95	clips/pa-036__a-nivell__386.45.wav	393.900	394.490	7.745	0.8840	91.45	435.02	1934.11	2583.72
pa-038	a nivell	455.49-460.15	clips/pa-038__a-nivell__455.49.wav	456.280	456.820	1.060	0.5720	171.47	412.51	1876.86	2882.76
pa-045	a nivell	624.85-629.07	clips/pa-045__a-nivell__624.85.wav	627.190	627.930	2.710	0.6625		1468.25	2701.12	3269.18
pa-048	a nivell	435.77-441.27	clips/pa-048__a-nivell__435.77.wav	439.570	440.010	4.020	0.3484	169.69	401.68	1882.96	2824.58
pa-058	a nivell	188.37-191.87	clips/pa-058__a-nivell__188.37.wav	188.370	189.000	0.315	0.0265		963.20	2251.40	3272.43
pa-059	a nivell	142.93-150.35	clips/pa-059__a-nivell__142.93.wav	146.490	146.930	3.780	0.7265	157.54	481.69	2406.83	3242.96
pa-061	a nivell	1357.21-1360.71	clips/pa-061__a-nivell__1357.21.wav	1358.620	1359.180	1.690	0.6956	143.41	353.99	1463.72	2727.13
pa-063	a nivell	1143.61-1148.07	clips/pa-063__a-nivell__1143.61.wav	1145.260	1145.900	1.970	0.3298	184.81	454.50	1490.64	3154.38
pa-066	a nivell	25.21-29.71	clips/pa-066__a-nivell__25.21.wav	28.010	28.300	2.945	0.3776	90.74	417.51	1808.35	2528.69
pa-003	tirar endavant	361.93-366.63	clips/pa-003__tirar-endavant__361.93.wav	362.910	363.930	1.490	0.7977		598.99	1996.39	3141.58
pa-029	tirar endavant	56.73-63.23	clips/pa-029__tirar-endavant__56.73.wav	61.610	62.100	5.125	0.6249	98.85	551.55	1931.58	2701.23
pa-030	tirar endavant	185.61-192.15	clips/pa-030__tirar-endavant__185.61.wav	187.080	188.040	1.950	0.5971	111.91	559.52	1475.33	2009.28
pa-033	tirar endavant	135.69-141.51	clips/pa-033__tirar-endavant__135.69.wav	137.490	139.070	2.590	0.4882	93.63	642.79	1271.38	2394.77
pa-034	tirar endavant	690.33-695.67	clips/pa-034__tirar-endavant__690.33.wav	693.860	694.660	3.930	0.8347	171.27	353.93	2290.85	2884.74
pa-041	tirar endavant	102.25-106.75	clips/pa-041__tirar-endavant__102.25.wav	102.570	103.600	0.835	0.1960	139.48	658.49	1570.22	2892.04
pa-056	tirar endavant	185.53-189.19	clips/pa-056__tirar-endavant__185.53.wav	187.450	187.970	2.180	0.7687		528.76	1961.90	1981.53
pa-057	tirar endavant	56.61-63.15	clips/pa-057__tirar-endavant__56.61.wav	61.760	62.410	5.475	0.6046		289.91	1528.73	2699.95
pa-059	tirar endavant	49.77-54.87	clips/pa-059__tirar-endavant__49.77.wav	50.980	52.410	1.925	0.4606	157.73	451.39	1150.59	2761.65
pa-041	ensenyança	523.25-531.75	clips/pa-041__ensenyan-a__523.25.wav	530.250	530.250	7.000	0.5361		677.10	1799.86	2846.69
pa-022	reformeta	125.53-130.67	clips/pa-022__reformeta__125.53.wav	126.330	127.230	1.250	0.9087		455.98	1697.10	2650.79
pa-025	reformeta	1085.53-1091.51	clips/pa-025__reformeta__1085.53.wav	1086.650	1087.810	1.700	0.4651	124.67	460.60	830.14	2580.97
pa-026	reformeta	138.61-145.67	clips/pa-026__reformeta__138.61.wav	142.080	143.040	3.950	0.9784	135.98	486.74	1009.57	2090.96
pa-034	reformeta	191.33-198.59	clips/pa-034__reformeta__191.33.wav	197.050	197.740	6.065	0.8544		950.02	2038.94	3034.96
pa-038	reformeta	1821.69-1828.07	clips/pa-038__reformeta__1821.69.wav	1824.920	1825.660	3.600	0.9914		581.68	1764.63	3012.67
pa-055	reformeta	139.05-145.83	clips/pa-055__reformeta__139.05.wav	141.900	142.850	3.325	0.9761		368.71	1818.78	2634.03
