id_persona	forma	interval_escolta	clip	token_start_abs	token_end_abs	centre_rel_s	token_p_min	f0_hz	f1_hz	f2_hz	f3_hz
pa-030	aleshores	392.41-397.91	clips/pa-030__aleshores__392.41.wav	392.410	393.610	0.600	0.0184		993.33	1725.96	2601.60
pa-032	aleshores	79.09-87.19	clips/pa-032__aleshores__79.09.wav	81.340	82.120	2.640	0.1872	107.16	436.26	1502.39	2267.47
pa-001	evidentment	1067.69-1071.19	clips/pa-001__evidentment__1067.69.wav	1069.100	1069.890	1.805	0.6919		888.35	2041.48	3210.17
pa-002	evidentment	205.25-209.75	clips/pa-002__evidentment__205.25.wav	205.860	206.960	1.160	0.5905	74.13	426.97	1462.09	2411.67
pa-003	evidentment	158.81-165.19	clips/pa-003__evidentment__158.81.wav	159.790	160.620	1.395	0.5838	175.07	525.53	665.80	2372.36
pa-004	evidentment	522.93-528.15	clips/pa-004__evidentment__522.93.wav	526.770	526.930	3.920	0.9396	155.00	340.73	2299.18	2867.39
pa-007	evidentment	778.25-783.75	clips/pa-007__evidentment__778.25.wav	782.240	782.860	4.300	0.6930	144.60	302.86	1465.74	2189.09
pa-009	evidentment	947.25-951.75	clips/pa-009__evidentment__947.25.wav	948.160	948.930	1.295	0.4761	153.64	621.08	1772.44	2446.18
pa-014	evidentment	28.65-37.55	clips/pa-014__evidentment__28.65.wav	30.460	31.550	2.355	0.8607	112.98	578.21	1263.09	2368.74
pa-016	evidentment	456.85-463.03	clips/pa-016__evidentment__456.85.wav	456.950	457.930	0.590	0.1128		820.91	1454.24	2734.08
pa-022	evidentment	303.01-309.59	clips/pa-022__evidentment__303.01.wav	303.130	304.430	0.770	0.2303	232.84	462.06	1835.62	2554.83
pa-025	evidentment	1156.61-1160.31	clips/pa-025__evidentment__1156.61.wav	1157.090	1157.690	0.780	0.3611	93.08	449.03	1971.42	2876.52
pa-027	evidentment	174.09-178.23	clips/pa-027__evidentment__174.09.wav	176.930	177.140	2.945	0.4455		735.48	1612.69	2784.15
pa-030	evidentment	43.53-48.63	clips/pa-030__evidentment__43.53.wav	44.900	45.540	1.690	0.5794	116.82	654.30	1572.80	2043.80
pa-036	evidentment	202.85-211.95	clips/pa-036__evidentment__202.85.wav	207.770	208.410	5.240	0.3747	91.40	516.06	1693.08	2505.07
pa-040	evidentment	103.93-106.95	clips/pa-040__evidentment__103.93.wav	105.050	105.760	1.475	0.3900	85.31	345.20	1532.58	2872.96
pa-041	evidentment	353.25-360.75	clips/pa-041__evidentment__353.25.wav	356.410	357.130	3.520	0.3966	148.97	480.93	1871.78	2785.68
pa-045	evidentment	290.13-298.31	clips/pa-045__evidentment__290.13.wav	291.130	291.880	1.375	0.5521	76.71	370.18	1429.43	2213.07
pa-055	evidentment	1644.01-1651.31	clips/pa-055__evidentment__1644.01.wav	1649.590	1650.010	5.790	0.8184	354.51	354.99	1932.46	2301.59
pa-056	evidentment	43.45-48.59	clips/pa-056__evidentment__43.45.wav	44.610	45.310	1.510	0.1618	121.01	334.26	2073.13	2441.14
pa-061	evidentment	672.69-677.43	clips/pa-061__evidentment__672.69.wav	675.390	675.650	2.830	0.8425	126.63	1170.35	2344.93	2730.90
pa-007	diguem	585.25-591.75	clips/pa-007__diguem__585.25.wav	586.440	586.650	1.295	0.5012	205.34	1847.28	2529.41	4210.70
pa-018	diguem	715.49-721.19	clips/pa-018__diguem__715.49.wav	717.480	717.960	2.230	0.4927		969.91	1594.80	2604.66
pa-025	diguem	500.89-506.43	clips/pa-025__diguem__500.89.wav	504.040	504.510	3.385	0.4147	125.02	305.72	944.40	2258.15
pa-034	diguem	504.45-508.51	clips/pa-034__diguem__504.45.wav	506.450	506.830	2.190	0.3271	134.87	568.38	2288.86	2860.31
pa-046	diguem	626.01-630.19	clips/pa-046__diguem__626.01.wav	627.990	628.420	2.195	0.3353	118.35	399.98	1432.10	2456.83
pa-058	diguem	715.21-718.91	clips/pa-058__diguem__715.21.wav	717.200	717.890	2.335	0.5113	146.96	333.75	1401.18	2520.73
pa-062	diguem	191.37-197.03	clips/pa-062__diguem__191.37.wav	195.150	195.490	3.950	0.8720	72.49	281.51	1290.87	2533.11
pa-001	crec	97.33-100.95	clips/pa-001__crec__97.33.wav	97.410	97.730	0.240	0.7998	97.46	358.26	1970.37	2931.82
pa-002	crec	248.25-254.75	clips/pa-002__crec__248.25.wav	248.810	248.810	0.560	0.9971		832.51	2037.73	2328.21
pa-003	crec	0.00-7.19	clips/pa-003__crec__0.00.wav	0.280	0.850	0.565	0.9921		712.70	1560.01	2964.78
pa-014	crec	153.25-160.55	clips/pa-014__crec__153.25.wav	153.500	153.850	0.425	0.9938		577.34	1729.95	2558.92
pa-018	crec	7.49-12.83	clips/pa-018__crec__7.49.wav	8.730	9.100	1.425	0.9970	122.54	321.36	2331.46	2816.40
pa-019	crec	27.25-31.75	clips/pa-019__crec__27.25.wav	28.530	28.800	1.415	0.9975	72.50	611.19	1274.38	2417.64
pa-021	crec	115.53-120.03	clips/pa-021__crec__115.53.wav	115.710	115.970	0.310	0.9899		391.09	1340.21	2593.66
pa-022	crec	243.73-249.43	clips/pa-022__crec__243.73.wav	243.850	244.070	0.230	0.9922		1729.71	2502.14	4185.07
pa-024	crec	368.01-372.63	clips/pa-024__crec__368.01.wav	368.350	369.040	0.685	0.9878		704.92	1752.34	2749.11
pa-025	crec	4.25-9.11	clips/pa-025__crec__4.25.wav	4.460	4.890	0.425	0.9916		1043.56	2567.95	3662.36
pa-027	crec	8.81-14.39	clips/pa-027__crec__8.81.wav	10.410	10.720	1.755	0.9345	129.88	520.73	974.03	2784.67
pa-030	crec	346.45-352.99	clips/pa-030__crec__346.45.wav	348.180	348.380	1.830	0.9830	132.22	485.68	1567.91	2205.77
pa-031	crec	87.01-92.63	clips/pa-031__crec__87.01.wav	89.410	89.780	2.585	0.9933		935.52	1597.20	2993.19
pa-035	crec	872.77-879.91	clips/pa-035__crec__872.77.wav	873.420	873.460	0.670	0.8974	211.25	268.34	1554.39	2389.97
pa-038	crec	220.69-226.79	clips/pa-038__crec__220.69.wav	221.440	221.710	0.885	0.9943	173.25	523.88	1929.06	2197.22
