id_persona	forma	interval_escolta	clip	durada_s	veu_proporcio	rms_p10_db	rms_p50_db	rms_p90_db	zcr_p10	zcr_p90	f0_median_hz	f0_iqr_hz	centroid_median_hz	centroid_p90_hz	segments_veu	pausa_mediana_s	mostres_f0
pa-030	evidentment	43.53-48.63	clips/pa-030__evidentment__43.53.wav	5.100	0.5512	-57.27	-33.50	-25.34	0.0329	0.1549	126.79	84.37	1098.39	2097.15	9	0.060	70
pa-030	tirar endavant	185.61-192.15	clips/pa-030__tirar-endavant__185.61.wav	6.540	0.4202	-58.80	-36.70	-29.48	0.0282	0.1408	117.34	30.19	1035.56	1960.59	17	0.130	69
pa-030	vull dir	842.69-848.23	clips/pa-030__vull-dir__842.69.wav	5.540	0.3659	-63.06	-47.98	-23.04	0.0415	0.1698	132.93	136.17	1481.10	2257.02	8	0.120	51
pa-031	a veure	4.25-9.07	clips/pa-031__a-veure__4.25.wav	4.820	0.5208	-85.17	-34.09	-21.91	0.0016	0.1692	143.96	49.58	1202.91	2868.82	15	0.060	62
pa-031	crec	87.01-92.63	clips/pa-031__crec__87.01.wav	5.620	0.5607	-58.90	-30.70	-18.68	0.0313	0.1941	238.59	128.02	921.21	2409.43	9	0.120	79
pa-031	de fet	9.93-14.23	clips/pa-031__de-fet__9.93.wav	4.300	0.5374	-63.39	-32.93	-23.21	0.0255	0.2175	142.95	134.10	898.28	2470.24	8	0.080	57
pa-032	aleshores	79.09-87.19	clips/pa-032__aleshores__79.09.wav	8.100	0.4703	-62.94	-38.07	-20.47	0.0313	0.1753	221.47	76.28	1481.40	2299.26	11	0.070	95
pa-032	bueno	44.73-50.63	clips/pa-032__bueno__44.73.wav	5.900	0.4490	-62.74	-36.98	-25.47	0.0282	0.1815	214.60	29.55	938.40	2372.46	16	0.080	65
pa-032	bé	270.41-274.95	clips/pa-032__b__270.41.wav	4.540	0.5177	-61.60	-34.19	-22.65	0.0329	0.1635	239.97	80.29	986.18	2137.80	10	0.120	58
pa-032	doncs	21.61-27.23	clips/pa-032__doncs__21.61.wav	5.620	0.5429	-61.16	-32.03	-18.12	0.0313	0.1707	232.61	35.00	823.54	2229.96	13	0.020	77
pa-032	perquè	9.21-15.07	clips/pa-032__perqu__9.21.wav	5.860	0.4932	-62.48	-35.67	-20.29	0.0469	0.1737	219.25	33.42	1009.15	2303.96	9	0.090	72
pa-033	bé	103.09-107.43	clips/pa-033__b__103.09.wav	4.340	0.6991	-46.59	-29.43	-21.12	0.0376	0.3302	247.18	92.54	938.35	3247.96	18	0.060	74
pa-033	de fet	249.69-252.55	clips/pa-033__de-fet__249.69.wav	2.860	0.4155	-66.17	-38.18	-24.29	0.0438	0.1828	308.34	207.97	1496.42	2475.64	9	0.080	29
pa-033	tirar endavant	135.69-141.51	clips/pa-033__tirar-endavant__135.69.wav	5.820	0.4897	-57.93	-35.23	-25.37	0.0423	0.1674	264.69	173.76	1051.29	2234.55	24	0.060	72
pa-033	és a dir	39.29-44.27	clips/pa-033__s-a-dir__39.29.wav	4.980	0.5242	-58.48	-34.28	-23.78	0.0407	0.4186	300.41	177.88	1087.10	3653.54	13	0.050	62
pa-034	a nivell	143.81-148.91	clips/pa-034__a-nivell__143.81.wav	5.100	0.6496	-47.59	-28.84	-21.33	0.0344	0.2862	189.48	132.68	919.21	2939.02	14	0.120	83
pa-034	a veure	94.05-100.39	clips/pa-034__a-veure__94.05.wav	6.340	0.6677	-48.48	-31.16	-24.00	0.0352	0.1831	182.92	146.92	896.18	2069.78	20	0.080	107
pa-034	diguem	504.45-508.51	clips/pa-034__diguem__504.45.wav	4.060	0.5693	-56.94	-32.21	-22.09	0.0297	0.2657	189.63	142.28	1050.73	3020.53	10	0.060	57
pa-034	reformeta	191.33-198.59	clips/pa-034__reformeta__191.33.wav	7.260	0.5773	-57.23	-31.63	-22.77	0.0360	0.3319	200.62	111.49	915.86	3242.69	17	0.090	103
pa-034	tirar endavant	690.33-695.67	clips/pa-034__tirar-endavant__690.33.wav	5.340	0.5451	-63.82	-30.54	-20.23	0.0344	0.2590	195.02	73.14	1059.38	2926.20	8	0.080	72
pa-035	crec	872.77-879.91	clips/pa-035__crec__872.77.wav	7.140	0.4663	-65.97	-36.06	-21.09	0.0266	0.2394	152.87	99.96	1372.30	2830.18	12	0.100	86
pa-035	perquè	181.13-186.35	clips/pa-035__perqu__181.13.wav	5.220	0.4538	-69.82	-37.01	-23.61	0.0250	0.1585	130.79	26.76	1437.93	2198.79	8	0.100	59
pa-036	a nivell	386.45-395.95	clips/pa-036__a-nivell__386.45.wav	9.500	0.7046	-48.53	-28.95	-22.15	0.0380	0.2155	261.35	157.04	1054.11	2520.73	23	0.060	169
pa-036	a veure	153.05-160.15	clips/pa-036__a-veure__153.05.wav	7.100	0.6723	-50.56	-28.70	-21.77	0.0360	0.2197	266.78	155.02	1150.25	2507.63	17	0.080	119
pa-036	bé	69.45-75.15	clips/pa-036__b__69.45.wav	5.700	0.6761	-49.84	-29.25	-21.80	0.0360	0.2019	264.50	174.81	1083.57	2358.62	19	0.050	96
pa-036	clar	136.45-147.15	clips/pa-036__clar__136.45.wav	10.700	0.6948	-48.78	-28.88	-23.06	0.0376	0.2285	274.88	138.07	1071.23	2661.51	22	0.100	184
pa-036	evidentment	202.85-211.95	clips/pa-036__evidentment__202.85.wav	9.100	0.6652	-50.59	-30.93	-21.98	0.0360	0.1900	253.66	149.40	1032.24	2387.70	25	0.060	151
pa-036	perquè	15.65-20.75	clips/pa-036__perqu__15.65.wav	5.100	0.7795	-45.47	-28.35	-22.78	0.0360	0.1330	274.47	90.90	937.46	1908.61	13	0.060	99
pa-037	diguem	469.77-482.03	clips/pa-037__diguem__469.77.wav	12.260	0.4395	-65.34	-38.32	-22.46	0.0299	0.2189	242.06	188.40	1334.90	2567.04	25	0.100	134
pa-037	llavors	92.53-106.79	clips/pa-037__llavors__92.53.wav	14.260	0.5309	-65.68	-33.46	-23.28	0.0329	0.1970	237.28	143.75	1302.81	2486.64	26	0.060	188
pa-037	perquè	186.29-198.91	clips/pa-037__perqu__186.29.wav	12.620	0.3873	-60.94	-39.23	-24.59	0.0329	0.1786	145.04	154.08	1255.14	2298.37	27	0.090	123
pa-037	vull dir	414.01-426.11	clips/pa-037__vull-dir__414.01.wav	12.100	0.4536	-64.87	-37.37	-22.37	0.0313	0.2264	240.41	152.06	1234.49	2668.10	30	0.080	139
pa-038	a nivell	455.49-460.15	clips/pa-038__a-nivell__455.49.wav	4.660	0.5776	-62.02	-32.58	-24.26	0.0438	0.2191	202.43	61.67	1191.24	2480.68	8	0.060	67
pa-038	bueno	874.61-878.11	clips/pa-038__bueno__874.61.wav	3.500	0.5575	-56.90	-32.28	-18.84	0.0380	0.2202	213.88	76.25	1335.91	2391.67	6	0.200	49
pa-038	bé	26.77-31.71	clips/pa-038__b__26.77.wav	4.940	0.5569	-63.38	-33.03	-22.07	0.0368	0.1909	202.18	48.47	1192.19	2369.54	10	0.120	67
pa-038	clar	96.41-101.31	clips/pa-038__clar__96.41.wav	4.900	0.5451	-61.61	-33.96	-21.25	0.0360	0.1811	208.38	53.16	1186.98	2188.94	12	0.100	66
pa-038	crec	220.69-226.79	clips/pa-038__crec__220.69.wav	6.100	0.5526	-62.42	-33.13	-25.46	0.0454	0.2147	200.57	110.59	1325.81	2414.87	10	0.100	83
pa-038	perquè	279.13-283.51	clips/pa-038__perqu__279.13.wav	4.380	0.5000	-62.82	-35.50	-25.33	0.0407	0.1570	204.86	65.32	1225.88	2130.01	10	0.060	56
pa-038	reformeta	1821.69-1828.07	clips/pa-038__reformeta__1821.69.wav	6.380	0.4874	-64.07	-35.83	-23.59	0.0344	0.2028	201.34	35.56	1340.70	2302.78	11	0.090	77
pa-038	vull dir	1576.57-1582.39	clips/pa-038__vull-dir__1576.57.wav	5.820	0.5241	-61.21	-32.85	-18.97	0.0437	0.2911	217.16	80.76	1340.25	3121.31	10	0.180	76
pa-039	crec	90.85-95.95	clips/pa-039__crec__90.85.wav	5.100	0.5000	-67.54	-35.30	-21.08	0.0516	0.2405	180.97	163.35	1637.74	2724.85	9	0.080	63
pa-040	crec	4.37-7.79	clips/pa-040__crec__4.37.wav	3.420	0.6294	-85.12	-25.62	-15.93	0.0014	0.1710	237.46	80.80	1242.13	2774.88	4	0.100	53
pa-040	de fet	70.17-73.51	clips/pa-040__de-fet__70.17.wav	3.340	0.6687	-42.48	-30.42	-22.78	0.0391	0.2527	179.13	99.23	1067.71	2435.46	14	0.040	56
pa-040	evidentment	103.93-106.95	clips/pa-040__evidentment__103.93.wav	3.020	0.7267	-42.87	-31.23	-24.09	0.0438	0.4213	206.39	125.17	1104.92	3493.11	13	0.040	58
pa-040	perquè	25.21-30.07	clips/pa-040__perqu__25.21.wav	4.860	0.5826	-45.21	-33.15	-24.32	0.0360	0.2878	200.79	102.10	988.33	3179.22	19	0.050	69
pa-041	bé	130.25-137.75	clips/pa-041__b__130.25.wav	7.500	0.5882	-50.19	-31.17	-20.12	0.0459	0.1839	197.00	130.83	1046.84	2363.73	18	0.040	111
pa-041	clar	0.00-10.75	clips/pa-041__clar__0.00.wav	10.750	0.5243	-51.32	-33.96	-26.57	0.0423	0.2066	287.66	113.38	1002.31	2465.65	24	0.080	140
pa-041	crec	56.25-62.75	clips/pa-041__crec__56.25.wav	6.500	0.6019	-50.28	-31.34	-21.37	0.0485	0.1326	269.74	137.42	1030.72	2090.95	19	0.040	96
pa-041	ensenyança	523.25-531.75	clips/pa-041__ensenyan-a__523.25.wav	8.500	0.6108	-48.99	-29.73	-19.40	0.0454	0.1352	204.13	80.28	1097.69	1820.14	17	0.080	130
pa-041	evidentment	353.25-360.75	clips/pa-041__evidentment__353.25.wav	7.500	0.6497	-49.98	-28.93	-19.91	0.0438	0.1549	268.18	113.40	1029.40	1956.27	16	0.060	123
pa-041	perquè	69.25-76.75	clips/pa-041__perqu__69.25.wav	7.500	0.5642	-49.61	-33.25	-22.24	0.0474	0.1091	296.07	59.59	1044.21	1499.29	22	0.060	103
pa-041	tirar endavant	102.25-106.75	clips/pa-041__tirar-endavant__102.25.wav	4.500	0.5357	-50.64	-32.55	-23.97	0.0423	0.2396	280.75	41.34	1049.89	2777.82	10	0.080	60
pa-041	vull dir	264.25-271.75	clips/pa-041__vull-dir__264.25.wav	7.500	0.6310	-48.10	-30.14	-21.54	0.0344	0.1039	204.48	53.92	913.51	1610.68	18	0.080	119
pa-042	perquè	29.13-33.43	clips/pa-042__perqu__29.13.wav	4.300	0.6075	-44.07	-29.27	-17.68	0.0610	0.2552	253.02	55.03	1496.88	2484.07	12	0.080	65
pa-043	bueno	0.00-3.75	clips/pa-043__bueno__0.00.wav	3.750	0.6935	-56.03	-27.54	-21.74	0.0501	0.2496	223.01	75.90	1287.74	2728.72	5	0.070	66
pa-043	crec	102.25-108.75	clips/pa-043__crec__102.25.wav	6.500	0.5278	-52.74	-34.41	-24.18	0.0532	0.2448	217.96	146.91	1331.35	2798.84	17	0.070	83
pa-045	a nivell	624.85-629.07	clips/pa-045__a-nivell__624.85.wav	4.220	0.4952	-53.26	-35.07	-23.84	0.0343	0.1551	255.08	90.46	989.95	2163.67	14	0.060	52
pa-045	a veure	340.93-345.91	clips/pa-045__a-veure__340.93.wav	4.980	0.6048	-46.90	-30.84	-23.63	0.0501	0.1664	303.18	110.24	951.19	2221.36	14	0.080	74
pa-045	evidentment	290.13-298.31	clips/pa-045__evidentment__290.13.wav	8.180	0.4828	-48.96	-35.43	-27.41	0.0423	0.1443	306.76	109.84	993.32	1969.26	25	0.040	97
pa-045	o sigui	226.17-233.31	clips/pa-045__o-sigui__226.17.wav	7.140	0.3427	-54.95	-43.36	-22.78	0.0368	0.3169	207.25	131.88	1524.87	3243.10	14	0.100	63
pa-045	perquè	175.33-183.63	clips/pa-045__perqu__175.33.wav	8.300	0.3164	-57.87	-49.05	-24.55	0.0459	0.1837	272.44	66.52	1738.88	2316.49	15	0.100	67
pa-046	diguem	626.01-630.19	clips/pa-046__diguem__626.01.wav	4.180	0.4808	-45.87	-35.23	-25.80	0.0548	0.1797	252.75	74.97	1162.86	1986.57	16	0.080	49
pa-046	doncs	135.61-140.07	clips/pa-046__doncs__135.61.wav	4.460	0.6757	-43.81	-31.89	-25.72	0.0393	0.1141	216.65	72.62	889.17	1641.84	10	0.040	78
pa-048	a nivell	435.77-441.27	clips/pa-048__a-nivell__435.77.wav	5.500	0.5438	-50.70	-34.25	-27.29	0.0391	0.1362	294.60	140.09	1162.66	1807.28	14	0.080	74
pa-048	a veure	393.93-397.03	clips/pa-048__a-veure__393.93.wav	3.100	0.3831	-52.00	-38.89	-25.87	0.0490	0.1341	191.91	90.93	1298.38	1793.74	8	0.080	30
pa-048	bé	495.73-502.83	clips/pa-048__b__495.73.wav	7.100	0.3729	-52.28	-40.77	-26.90	0.0255	0.1692	170.15	137.36	1161.09	2345.15	22	0.080	65
pa-048	crec	110.97-117.27	clips/pa-048__crec__110.97.wav	6.300	0.4745	-49.41	-37.29	-24.25	0.0454	0.1549	211.25	157.94	1442.66	1940.14	12	0.100	75
pa-048	doncs	302.89-306.79	clips/pa-048__doncs__302.89.wav	3.900	0.5206	-49.77	-34.25	-25.09	0.0376	0.1493	250.55	73.44	1103.99	1986.33	10	0.060	51
pa-048	o sigui	581.65-585.99	clips/pa-048__o-sigui__581.65.wav	4.340	0.4537	-55.23	-37.85	-23.53	0.0274	0.3114	196.61	89.53	1297.19	2669.62	11	0.100	50
pa-048	vull dir	993.69-999.19	clips/pa-048__vull-dir__993.69.wav	5.500	0.4197	-65.53	-38.27	-24.61	0.0250	0.2937	199.05	28.61	1528.27	3396.54	9	0.120	58
pa-049	a veure	244.85-252.03	clips/pa-049__a-veure__244.85.wav	7.180	0.7793	-40.62	-28.10	-21.31	0.0501	0.1574	182.02	111.08	1118.54	2035.54	13	0.060	139
pa-049	crec	371.85-383.51	clips/pa-049__crec__371.85.wav	11.660	0.6186	-49.97	-29.98	-22.99	0.0501	0.3928	252.50	78.61	1622.86	3514.69	29	0.060	179
pa-049	o sigui	365.21-373.35	clips/pa-049__o-sigui__365.21.wav	8.140	0.7660	-46.92	-26.99	-20.97	0.0344	0.3451	199.21	48.94	1258.24	3176.15	18	0.040	158
pa-049	perquè	68.85-75.71	clips/pa-049__perqu__68.85.wav	6.860	0.7018	-46.34	-28.83	-23.87	0.0469	0.2034	223.51	112.43	1186.82	2837.91	18	0.060	121
pa-051	clar	161.85-167.07	clips/pa-051__clar__161.85.wav	5.220	0.6269	-44.57	-28.22	-17.43	0.0532	0.1599	197.87	140.69	1380.87	2015.30	12	0.080	81
pa-051	crec	208.57-213.39	clips/pa-051__crec__208.57.wav	4.820	0.6750	-39.17	-27.41	-17.73	0.0438	0.1111	221.57	130.24	1163.47	1678.28	9	0.040	81
pa-051	perquè	123.85-128.35	clips/pa-051__perqu__123.85.wav	4.500	0.6607	-46.39	-29.91	-21.87	0.0391	0.1310	259.46	170.54	968.39	1700.70	13	0.080	75
pa-052	clar	59.97-64.67	clips/pa-052__clar__59.97.wav	4.700	0.7393	-40.80	-28.27	-15.43	0.0318	0.1247	189.34	38.91	1068.83	2021.37	5	0.060	86
pa-053	perquè	113.93-120.79	clips/pa-053__perqu__113.93.wav	6.860	0.7251	-39.26	-29.66	-19.98	0.0266	0.0903	112.46	107.75	964.31	1606.00	11	0.100	123
pa-054	bueno	51.69-55.75	clips/pa-054__bueno__51.69.wav	4.060	0.6139	-41.20	-27.56	-17.35	0.0407	0.1595	175.20	166.20	1192.88	2203.51	5	0.070	62
pa-054	perquè	80.45-85.43	clips/pa-054__perqu__80.45.wav	4.980	0.6089	-40.54	-28.76	-18.04	0.0371	0.1516	200.81	121.13	1339.75	1985.14	8	0.060	75
pa-055	evidentment	1644.01-1651.31	clips/pa-055__evidentment__1644.01.wav	7.300	0.4890	-60.58	-36.06	-19.37	0.0423	0.2828	290.49	118.90	1488.53	2848.42	10	0.100	89
pa-055	perquè	148.53-153.11	clips/pa-055__perqu__148.53.wav	4.580	0.3509	-62.26	-42.68	-27.06	0.0407	0.2191	279.10	107.93	2013.82	2371.06	8	0.120	40
pa-055	reformeta	139.05-145.83	clips/pa-055__reformeta__139.05.wav	6.780	0.4201	-61.94	-42.11	-20.35	0.0559	0.2477	257.13	170.49	1885.34	2690.29	12	0.100	72
pa-056	a veure	673.21-676.71	clips/pa-056__a-veure__673.21.wav	3.500	0.4540	-58.07	-36.25	-21.88	0.0396	0.1806	152.41	125.46	1129.94	2252.86	8	0.060	39
pa-056	bé	436.49-441.47	clips/pa-056__b__436.49.wav	4.980	0.3387	-63.33	-50.54	-26.11	0.0407	0.1834	159.29	114.07	1709.65	2299.60	8	0.040	43
pa-056	clar	62.45-66.87	clips/pa-056__clar__62.45.wav	4.420	0.7364	-54.80	-28.97	-23.10	0.0329	0.1382	140.81	154.96	965.97	1866.93	10	0.040	82
pa-056	crec	347.05-353.03	clips/pa-056__crec__347.05.wav	5.980	0.4664	-65.59	-40.15	-19.52	0.0376	0.1628	273.02	141.35	1517.83	2239.17	12	0.080	70
pa-056	evidentment	43.45-48.59	clips/pa-056__evidentment__43.45.wav	5.140	0.5430	-57.77	-33.60	-25.38	0.0321	0.1518	130.26	111.15	1115.88	2126.24	9	0.070	67
pa-056	perquè	31.73-35.07	clips/pa-056__perqu__31.73.wav	3.340	0.5422	-57.93	-33.02	-22.44	0.0329	0.1643	135.56	132.11	1121.89	2189.45	8	0.040	45
pa-056	tirar endavant	185.53-189.19	clips/pa-056__tirar-endavant__185.53.wav	3.660	0.4890	-56.61	-35.33	-30.61	0.0282	0.1703	110.03	18.35	982.34	2161.56	11	0.090	44
pa-056	vull dir	842.65-848.07	clips/pa-056__vull-dir__842.65.wav	5.420	0.3630	-63.12	-49.39	-22.76	0.0423	0.1721	135.25	143.38	1532.71	2251.88	7	0.090	50
pa-057	diguem	929.81-935.31	clips/pa-057__diguem__929.81.wav	5.500	0.4380	-60.56	-40.79	-19.70	0.0423	0.2879	226.75	161.10	1962.97	2992.03	7	0.100	58
pa-057	tirar endavant	56.61-63.15	clips/pa-057__tirar-endavant__56.61.wav	6.540	0.6810	-44.30	-30.20	-18.18	0.0438	0.2011	216.90	179.26	1054.35	2462.78	22	0.060	112
pa-058	a nivell	188.37-191.87	clips/pa-058__a-nivell__188.37.wav	3.500	0.6954	-53.69	-26.95	-20.07	0.0365	0.2191	265.22	31.34	812.34	2459.86	8	0.060	61
pa-058	diguem	715.21-718.91	clips/pa-058__diguem__715.21.wav	3.700	0.6359	-53.88	-28.96	-19.70	0.0360	0.1894	278.45	96.73	931.43	2274.35	11	0.050	59
pa-058	perquè	91.09-96.47	clips/pa-058__perqu__91.09.wav	5.380	0.5970	-60.60	-30.74	-20.43	0.0344	0.2128	263.29	52.72	870.10	2586.09	13	0.080	82
pa-058	vull dir	975.13-979.55	clips/pa-058__vull-dir__975.13.wav	4.420	0.6318	-56.50	-28.69	-19.68	0.0360	0.1728	261.73	91.29	880.64	2288.96	11	0.080	69
pa-059	a nivell	142.93-150.35	clips/pa-059__a-nivell__142.93.wav	7.420	0.5378	-57.90	-33.14	-20.04	0.0407	0.3839	254.32	119.94	1184.74	3554.56	22	0.080	98
pa-059	clar	36.61-42.23	clips/pa-059__clar__36.61.wav	5.620	0.5714	-54.44	-31.47	-22.49	0.0344	0.2474	221.17	121.41	983.85	2594.75	14	0.080	78
pa-059	perquè	4.09-12.43	clips/pa-059__perqu__4.09.wav	8.340	0.4543	-76.14	-36.54	-25.13	0.0196	0.2363	179.83	128.64	1212.56	3163.67	20	0.100	95
pa-059	tirar endavant	49.77-54.87	clips/pa-059__tirar-endavant__49.77.wav	5.100	0.5630	-50.35	-32.86	-23.58	0.0360	0.3393	226.38	146.70	947.27	3201.58	17	0.100	72
pa-059	vull dir	271.81-279.35	clips/pa-059__vull-dir__271.81.wav	7.540	0.5691	-63.20	-30.76	-20.77	0.0376	0.2246	238.40	118.54	1028.50	2380.87	13	0.120	107
pa-059	és a dir	487.81-491.67	clips/pa-059__s-a-dir__487.81.wav	3.860	0.5417	-57.96	-33.31	-21.80	0.0283	0.2142	204.12	136.60	1060.02	2381.54	12	0.080	50
pa-060	de fet	72.57-78.35	clips/pa-060__de-fet__72.57.wav	5.780	0.6632	-50.66	-28.94	-20.42	0.0371	0.2310	149.14	135.36	1033.60	2893.25	17	0.050	96
pa-061	a nivell	1357.21-1360.71	clips/pa-061__a-nivell__1357.21.wav	3.500	0.8851	-36.26	-24.54	-21.36	0.0563	0.2186	299.53	82.09	1409.18	2169.01	6	0.080	78
pa-061	a veure	579.17-583.39	clips/pa-061__a-veure__579.17.wav	4.220	0.8333	-38.29	-27.06	-20.96	0.0545	0.2310	180.74	96.48	1438.78	2407.53	6	0.060	87
pa-061	crec	428.85-435.63	clips/pa-061__crec__428.85.wav	6.780	0.6095	-45.90	-30.51	-22.31	0.0402	0.2302	248.98	112.56	1470.60	2404.00	23	0.060	101
pa-061	evidentment	672.69-677.43	clips/pa-061__evidentment__672.69.wav	4.740	0.8008	-36.63	-26.98	-24.03	0.0540	0.2167	245.91	104.22	1481.77	2191.91	9	0.080	94
pa-062	bueno	297.17-302.03	clips/pa-062__bueno__297.17.wav	4.860	0.6653	-49.38	-30.95	-22.07	0.0344	0.1294	295.70	166.44	896.76	1732.46	17	0.080	81
pa-062	crec	1037.89-1041.47	clips/pa-062__crec__1037.89.wav	3.580	0.5000	-54.11	-34.99	-23.22	0.0288	0.1205	171.10	30.76	1036.54	1913.52	9	0.080	44
pa-062	diguem	191.37-197.03	clips/pa-062__diguem__191.37.wav	5.660	0.6489	-46.34	-30.49	-22.31	0.0360	0.1318	166.40	148.16	931.58	2256.41	11	0.160	91
pa-062	perquè	73.97-78.19	clips/pa-062__perqu__73.97.wav	4.220	0.6381	-49.46	-28.41	-24.45	0.0391	0.1473	147.23	131.85	1128.98	1618.97	6	0.060	67
pa-062	és a dir	973.65-980.31	clips/pa-062__s-a-dir__973.65.wav	6.660	0.5753	-48.47	-32.71	-25.12	0.0344	0.1466	235.54	125.56	820.31	2249.14	20	0.080	97
pa-063	a nivell	1143.61-1148.07	clips/pa-063__a-nivell__1143.61.wav	4.460	0.6261	-48.10	-32.07	-25.88	0.0329	0.1565	183.16	20.51	1046.43	1858.50	10	0.100	70
pa-063	bé	105.97-110.35	clips/pa-063__b__105.97.wav	4.380	0.6697	-46.89	-28.97	-23.83	0.0407	0.1033	173.32	113.87	1017.45	1467.97	9	0.090	73
pa-063	clar	392.49-397.11	clips/pa-063__clar__392.49.wav	4.620	0.6217	-41.08	-30.52	-21.96	0.0421	0.1488	194.49	31.77	1110.81	1967.92	16	0.060	71
pa-063	crec	758.81-763.23	clips/pa-063__crec__758.81.wav	4.420	0.4818	-49.69	-35.40	-26.77	0.0280	0.1230	193.83	27.53	1030.96	1821.40	16	0.080	53
pa-063	llavors	39.49-44.79	clips/pa-063__llavors__39.49.wav	5.300	0.3561	-42.75	-38.40	-26.67	0.0250	0.0923	175.60	35.40	974.70	1542.75	15	0.080	49
pa-063	o sigui	826.09-830.95	clips/pa-063__o-sigui__826.09.wav	4.860	0.5207	-54.18	-34.20	-23.62	0.0283	0.1869	199.94	52.21	1046.87	2145.37	13	0.090	64
pa-064	a veure	587.61-591.67	clips/pa-064__a-veure__587.61.wav	4.060	0.4406	-66.11	-38.08	-23.69	0.0471	0.2435	223.51	105.30	1469.24	2803.15	7	0.110	45
pa-064	bé	97.93-104.11	clips/pa-064__b__97.93.wav	6.180	0.6688	-64.35	-29.23	-21.19	0.0329	0.2649	251.21	121.78	986.61	2966.91	13	0.080	101
pa-064	clar	109.97-115.87	clips/pa-064__clar__109.97.wav	5.900	0.4966	-61.63	-35.46	-22.05	0.0344	0.2410	266.51	146.88	1168.38	2691.86	10	0.120	73
pa-064	crec	1335.77-1345.39	clips/pa-064__crec__1335.77.wav	9.620	0.3792	-55.09	-44.39	-22.42	0.0376	0.1973	286.12	64.00	1490.56	2423.39	14	0.160	91
pa-064	perquè	27.57-33.27	clips/pa-064__perqu__27.57.wav	5.700	0.5176	-59.53	-34.24	-22.96	0.0412	0.1972	215.05	120.18	1299.41	2188.11	16	0.120	73
pa-065	a nivell	529.09-536.75	clips/pa-065__a-nivell__529.09.wav	7.660	0.3691	-62.41	-37.91	-28.05	0.0313	0.1720	145.24	155.80	893.80	2022.82	17	0.100	70
pa-065	bé	138.57-144.67	clips/pa-065__b__138.57.wav	6.100	0.3849	-60.94	-41.67	-22.84	0.0360	0.3099	262.04	130.00	1159.60	2959.47	10	0.120	59
pa-065	clar	221.29-226.15	clips/pa-065__clar__221.29.wav	4.860	0.4339	-64.50	-40.23	-26.69	0.0330	0.1581	237.63	139.14	993.92	2138.18	10	0.100	52
pa-065	doncs	157.49-162.27	clips/pa-065__doncs__157.49.wav	4.780	0.4202	-61.65	-39.41	-23.84	0.0329	0.2163	264.81	122.35	1175.73	2461.63	10	0.080	48
pa-065	o sigui	191.65-195.15	clips/pa-065__o-sigui__191.65.wav	3.500	0.4080	-60.29	-41.01	-23.46	0.0286	0.3867	188.87	42.63	1450.09	3507.47	6	0.080	36
pa-065	perquè	129.17-134.51	clips/pa-065__perqu__129.17.wav	5.340	0.5113	-59.08	-34.51	-22.27	0.0266	0.3826	190.73	91.37	1160.12	3520.67	12	0.140	67
pa-066	a nivell	25.21-29.71	clips/pa-066__a-nivell__25.21.wav	4.500	0.7321	-42.26	-30.71	-25.74	0.0391	0.1275	278.12	38.98	1050.83	2131.66	20	0.040	81
pa-066	bueno	357.23-362.57	clips/pa-066__bueno__357.23.wav	5.340	0.5865	-51.78	-33.43	-23.85	0.0360	0.2762	245.16	97.19	1117.50	2789.20	17	0.080	80
pa-066	bé	10.13-15.71	clips/pa-066__b__10.13.wav	5.580	0.7266	-52.43	-27.40	-21.35	0.0402	0.2451	291.78	43.84	1218.29	2696.74	15	0.040	100
pa-066	crec	219.63-227.13	clips/pa-066__crec__219.63.wav	7.500	0.7781	-51.72	-24.18	-16.82	0.0396	0.2363	249.22	89.18	1119.49	2951.71	14	0.080	144
pa-066	perquè	21.81-26.71	clips/pa-066__perqu__21.81.wav	4.900	0.7459	-46.02	-27.71	-19.21	0.0423	0.2875	278.78	51.82	1021.16	2897.11	15	0.050	89
