id_persona	forma	interval_escolta	clip	durada_s	veu_proporcio	rms_p10_db	rms_p50_db	rms_p90_db	zcr_p10	zcr_p90	f0_median_hz	f0_iqr_hz	centroid_median_hz	centroid_p90_hz	segments_veu	pausa_mediana_s	mostres_f0
pa-007	clar	344.25-349.75	clips/pa-007__clar__344.25.wav	5.500	0.5292	-61.90	-32.48	-17.36	0.0443	0.2271	269.48	136.02	1453.08	2759.07	11	0.260	71
pa-007	diguem	585.25-591.75	clips/pa-007__diguem__585.25.wav	6.500	0.5772	-56.11	-32.43	-19.76	0.0423	0.4100	256.98	113.00	1413.32	4030.92	15	0.080	93
pa-007	evidentment	778.25-783.75	clips/pa-007__evidentment__778.25.wav	5.500	0.6131	-51.57	-31.63	-20.76	0.0344	0.2171	274.08	125.78	1236.03	2629.17	19	0.060	83
pa-007	llavors	657.25-663.75	clips/pa-007__llavors__657.25.wav	6.500	0.5432	-60.46	-34.19	-25.96	0.0490	0.3673	247.73	156.79	1522.58	4043.09	18	0.080	87
pa-007	perquè	101.25-107.75	clips/pa-007__perqu__101.25.wav	6.500	0.4877	-52.19	-35.17	-23.31	0.0443	0.2186	269.39	131.55	1329.11	2643.84	22	0.080	77
pa-008	a veure	668.25-673.75	clips/pa-008__a-veure__668.25.wav	5.500	0.3832	-58.46	-39.71	-28.18	0.0438	0.2656	177.82	52.01	1542.08	3172.10	6	0.060	52
pa-008	aleshores	1315.25-1319.75	clips/pa-008__aleshores__1315.25.wav	4.500	0.4152	-57.95	-37.96	-26.80	0.0376	0.3247	147.32	93.39	1543.27	3197.31	11	0.070	47
pa-008	clar	841.25-846.75	clips/pa-008__clar__841.25.wav	5.500	0.5328	-55.96	-34.65	-27.13	0.0360	0.3487	174.34	66.25	1280.12	3592.20	22	0.060	72
pa-008	és a dir	1110.25-1114.75	clips/pa-008__s-a-dir__1110.25.wav	4.500	0.5580	-39.42	-34.34	-25.78	0.0271	0.1169	167.05	118.17	1207.97	2107.47	15	0.070	61
pa-009	bé	557.25-561.75	clips/pa-009__b__557.25.wav	4.500	0.5312	-54.27	-34.14	-27.53	0.0333	0.2548	185.08	40.09	1327.28	2720.37	12	0.100	61
pa-009	clar	99.25-105.75	clips/pa-009__clar__99.25.wav	6.500	0.5154	-54.25	-34.53	-26.18	0.0443	0.3249	209.19	58.10	1370.37	3006.24	19	0.090	86
pa-009	doncs	139.25-145.75	clips/pa-009__doncs__139.25.wav	6.500	0.5031	-62.46	-34.90	-24.20	0.0423	0.2676	224.30	83.83	1421.58	2758.12	16	0.060	80
pa-009	evidentment	947.25-951.75	clips/pa-009__evidentment__947.25.wav	4.500	0.5402	-62.42	-33.76	-24.57	0.0360	0.2401	196.21	61.41	1216.80	2496.00	12	0.140	59
pa-009	o sigui	234.25-238.75	clips/pa-009__o-sigui__234.25.wav	4.500	0.5179	-54.09	-34.59	-26.30	0.0485	0.2906	185.23	79.59	1366.23	2869.56	14	0.080	57
pa-009	perquè	349.25-356.75	clips/pa-009__perqu__349.25.wav	7.500	0.5348	-56.76	-33.76	-24.20	0.0297	0.3047	183.85	44.64	1320.88	3131.96	21	0.080	100
pa-010	clar	334.85-339.35	clips/pa-010__clar__334.85.wav	4.500	0.5580	-95.40	-32.37	-22.56	0.0000	0.3648	118.85	143.31	1127.48	3749.80	8	0.060	63
pa-010	de fet	647.25-652.75	clips/pa-010__de-fet__647.25.wav	5.500	0.5949	-60.50	-31.29	-24.36	0.0219	0.4509	121.50	147.74	860.69	4129.27	14	0.100	82
pa-010	doncs	24.65-31.67	clips/pa-010__doncs__24.65.wav	7.020	0.6314	-59.73	-30.23	-20.33	0.0313	0.4085	160.70	179.53	949.76	3711.85	15	0.100	111
pa-010	llavors	386.25-391.75	clips/pa-010__llavors__386.25.wav	5.500	0.6168	-79.63	-30.77	-19.89	0.0192	0.2775	135.17	164.72	908.44	3512.85	11	0.070	83
pa-010	és a dir	243.25-249.55	clips/pa-010__s-a-dir__243.25.wav	6.300	0.5764	-93.22	-31.07	-21.38	0.0016	0.3041	122.81	158.52	876.87	3777.44	13	0.070	91
pa-011	a veure	551.81-556.27	clips/pa-011__a-veure__551.81.wav	4.460	0.2477	-60.27	-44.66	-29.36	0.0751	0.3551	202.81	58.57	1312.29	3449.46	10	0.220	28
pa-011	bé	185.57-189.31	clips/pa-011__b__185.57.wav	3.740	0.7849	-39.94	-23.75	-13.67	0.0673	0.2903	218.51	78.83	1286.25	2566.96	7	0.090	74
pa-011	de fet	557.25-561.31	clips/pa-011__de-fet__557.25.wav	4.060	0.1881	-67.08	-47.89	-31.09	0.0610	0.2124	190.87	78.68	1154.51	2565.28	7	0.220	19
pa-011	és a dir	48.09-54.67	clips/pa-011__s-a-dir__48.09.wav	6.580	0.4390	-51.77	-37.03	-18.79	0.0657	0.4144	224.09	67.24	1402.71	3749.56	18	0.060	73
pa-013	bé	196.65-203.47	clips/pa-013__b__196.65.wav	6.820	0.7029	-67.62	-24.66	-13.11	0.0532	0.4516	301.12	129.61	1061.40	4265.14	22	0.040	119
pa-014	bé	165.65-181.55	clips/pa-014__b__165.65.wav	15.900	0.5416	-59.86	-32.01	-19.29	0.0313	0.1920	157.95	46.24	1149.96	2033.54	22	0.120	217
pa-014	crec	153.25-160.55	clips/pa-014__crec__153.25.wav	7.300	0.7418	-53.11	-27.26	-17.94	0.0219	0.1768	142.35	87.50	1001.99	1955.59	19	0.040	134
pa-014	evidentment	28.65-37.55	clips/pa-014__evidentment__28.65.wav	8.900	0.6577	-63.31	-27.67	-19.25	0.0275	0.1879	131.66	25.92	1092.14	2796.60	15	0.080	144
pa-014	o sigui	658.45-674.95	clips/pa-014__o-sigui__658.45.wav	16.500	0.5583	-60.65	-31.80	-18.93	0.0282	0.2081	130.48	69.78	1261.04	2228.43	24	0.080	233
