id_persona	font	canal	url	llicencia	consulta	derivat	asr	estat
pa-016	#ConsellConstituent - Olga Adellach Coma	Consell General	https://www.youtube.com/watch?v=Zkb4kXbYIJc	no declarada; llicència estàndard de YouTube.	2026-09-23.	`../audios/pa-016/audio.wav`; SHA-256 `d232631b0f67b1e595f8b312040ebef7ad8903e1e6ef6d716220190b0f09d651`.	`whisper-cli`, model `ggml-small.bin`, llengua `ca`, 8 fils.	complet
pa-017	#ConsellConstituent - Nadia Aleix Tugas	Consell General	https://www.youtube.com/watch?v=_GRn2R7IOTs	no declarada; llicència estàndard de YouTube.	2026-09-23.	`../audios/pa-017/audio.wav`; SHA-256 `b9f73cf87b5344b095118f0ea6ae4a2bd7055bcd19b05a08aa0d058aa9d78feb`.	`whisper-cli`, model `ggml-small.bin`, llengua `ca`, 8 fils.	complet
pa-018	#ConsellConstituent - Miquel Aleix Areny	Consell General	https://www.youtube.com/watch?v=cWNPFoyNRxs	no declarada; llicència estàndard de YouTube.	2026-09-23.	`../audios/pa-018/audio.wav`; SHA-256 `a1383a749381b36cd232afc7c381830e293bd0854a9cda68249bbafb979dc4ee`.	`whisper-cli`, model `ggml-small.bin`, llengua `ca`, 8 fils.	complet
pa-019	#ConsellConstituent - Pere Altimir Pintat	Consell General	https://www.youtube.com/watch?v=aBwACxaRdtQ	no declarada; llicència estàndard de YouTube.	2026-09-23.	`../audios/pa-019/audio.wav`; SHA-256 `3c1986b34ff0c0575c31a0134d49d44d54ab92ca3394ee702c2e37b8bebd1aad`.	`whisper-cli`, model `ggml-small.bin`, llengua `ca`, 8 fils.	complet
pa-020	#ConsellConstituent - Guillem Areny Argelich	Consell General	https://www.youtube.com/watch?v=zvzusC5RFWc	no declarada; llicència estàndard de YouTube.	2026-09-23.	`../audios/pa-020/audio.wav`; SHA-256 `f4298c33a7e0d8cbe9ac8a3fdd64cd1043ef081fd0fd2b28ed0cfe59cf417252`.	`whisper-cli`, model `ggml-small.bin`, llengua `ca`, 8 fils.	complet
pa-021	#ConsellConstituent - Josep Areny Fité	Consell General	https://www.youtube.com/watch?v=UvDO-W5T0RI	no declarada; llicència estàndard de YouTube.	2026-09-23.	`../audios/pa-021/audio.wav`; SHA-256 `9d2e6b80ba6327631e8e052f4c5651b0dc89db2f888a7aa821cf0ad679a175a3`.	`whisper-cli`, model `ggml-small.bin`, llengua `ca`, 8 fils.	complet
pa-022	#ConsellConstituent - Miquel Armengol Pons	Consell General	https://www.youtube.com/watch?v=YHNIO9Hmn7g	no declarada; llicència estàndard de YouTube.	2026-09-23.	`../audios/pa-022/audio.wav`; SHA-256 `1c53f9a243101a7780042c89014cf511a8c84f495c0f2c5e6da1bad8c2901870`.	`whisper-cli`, model `ggml-small.bin`, llengua `ca`, 8 fils.	complet
pa-023	#ConsellConstituent - Antoni Armengol Vila	Consell General	https://www.youtube.com/watch?v=JbOnYORyYLo	no declarada; llicència estàndard de YouTube.	2026-09-23.	`../audios/pa-023/audio.wav`; SHA-256 `4104a43a3b2a3b8243322363dcb320dfc41241d931eb72d94fbd00475996d7cc`.	`whisper-cli`, model `ggml-small.bin`, llengua `ca`, 8 fils.	complet
pa-024	#ConsellConstituent - Ladislau Baró Solà	Consell General	https://www.youtube.com/watch?v=qjxFKk8z_9w	no declarada; llicència estàndard de YouTube.	2026-09-23.	`../audios/pa-024/audio.wav`; SHA-256 `f8ea3fcce6e79bae89cd813890a3ad3a29ae55086a6e8e64527290608103e969`.	`whisper-cli`, model `ggml-small.bin`, llengua `ca`, 8 fils.	complet
pa-025	#ConsellConstituent - Jaume Bartumeu Cassany	Consell General	https://www.youtube.com/watch?v=r4_Fb6P2J_4	no declarada; llicència estàndard de YouTube.	2026-09-23.	`../audios/pa-025/audio.wav`; SHA-256 `362552281ce0370ca86adaec32b5a68d14c0b8120b6964942d552d3502c50823`.	`whisper-cli`, model `ggml-small.bin`, llengua `ca`, 8 fils.	complet
pa-026	#ConsellConstituent - Ramon Canut Bové	Consell General	https://www.youtube.com/watch?v=kLeQ6UJthLI	no declarada; llicència estàndard de YouTube.	2026-09-23.	`../audios/pa-026/audio.wav`; SHA-256 `b98321844ecea8b3ba58fd429f7f6ff97dfb22b79c7cf6ef3e37d36683824232`.	`whisper-cli`, model `ggml-small.bin`, llengua `ca`, 8 fils.	complet
