id_persona	informe	formes	repertori	evidencia_textual	buits	consens_asr	perfil_acustic	evidencia_gramatica	transcripcio	metrics_audio	cobertura_audicio	estat
pa-052	corpus-parla-andorrana/persones/pa-052.md	sí	sí	sí		sí	sí	sí	sí	sí	sí	complet-provisional
pa-053	corpus-parla-andorrana/persones/pa-053.md	sí	sí	sí		sí	sí	sí	sí	sí	sí	complet-provisional
pa-054	corpus-parla-andorrana/persones/pa-054.md	sí	sí	sí		sí	sí	sí	sí	sí	sí	complet-provisional
pa-055	corpus-parla-andorrana/persones/pa-055.md	sí	sí	sí		sí	sí	sí	sí	sí	sí	complet-provisional
pa-056	corpus-parla-andorrana/persones/pa-056.md	sí	sí	sí		sí	sí	sí	sí	sí	sí	complet-provisional
pa-057	corpus-parla-andorrana/persones/pa-057.md	sí	sí	sí		sí	sí	sí	sí	sí	sí	complet-provisional
pa-058	corpus-parla-andorrana/persones/pa-058.md	sí	sí	sí		sí	sí	sí	sí	sí	sí	complet-provisional
pa-059	corpus-parla-andorrana/persones/pa-059.md	sí	sí	sí		sí	sí	sí	sí	sí	sí	complet-provisional
pa-060	corpus-parla-andorrana/persones/pa-060.md	sí	sí	sí		sí	sí	sí	sí	sí	sí	complet-provisional
pa-061	corpus-parla-andorrana/persones/pa-061.md	sí	sí	sí		sí	sí	sí	sí	sí	sí	complet-provisional
pa-062	corpus-parla-andorrana/persones/pa-062.md	sí	sí	sí		sí	sí	sí	sí	sí	sí	complet-provisional
pa-063	corpus-parla-andorrana/persones/pa-063.md	sí	sí	sí		sí	sí	sí	sí	sí	sí	complet-provisional
pa-064	corpus-parla-andorrana/persones/pa-064.md	sí	sí	sí		sí	sí	sí	sí	sí	sí	complet-provisional
pa-065	corpus-parla-andorrana/persones/pa-065.md	sí	sí	sí		sí	sí	sí	sí	sí	sí	complet-provisional
pa-066	corpus-parla-andorrana/persones/pa-066.md	sí	sí	sí		sí	sí	sí	sí	sí	sí	complet-provisional
