id_persona	forma	interval_escolta	clip	f0_clip_hz	f0_persona_hz	delta_f0_hz	delta_f0_z_persona	veu_clip	veu_persona	delta_veu	centroid_clip_hz	centroid_persona_hz	delta_centroid_hz	pausa_clip_s	pausa_persona_s	delta_pausa_s
pa-007	evidentment	778.25-783.75	clips/pa-007__evidentment__778.25.wav	274.08	244.38	29.70	0.239	0.6131	0.5486	0.0645	1236.03	1338.74	-102.71	0.060	0.08	-0.020
pa-007	llavors	657.25-663.75	clips/pa-007__llavors__657.25.wav	247.73	244.38	3.35	0.027	0.5432	0.5486	-0.0054	1522.58	1338.74	183.84	0.080	0.08	0.000
pa-007	perquè	101.25-107.75	clips/pa-007__perqu__101.25.wav	269.39	244.38	25.01	0.201	0.4877	0.5486	-0.0609	1329.11	1338.74	-9.63	0.080	0.08	0.000
pa-008	a veure	668.25-673.75	clips/pa-008__a-veure__668.25.wav	177.82	175.86	1.96	0.017	0.3832	0.4359	-0.0527	1542.08	1380.72	161.36	0.060	0.10	-0.040
pa-008	aleshores	1315.25-1319.75	clips/pa-008__aleshores__1315.25.wav	147.32	175.86	-28.54	-0.254	0.4152	0.4359	-0.0207	1543.27	1380.72	162.55	0.070	0.10	-0.030
pa-008	clar	841.25-846.75	clips/pa-008__clar__841.25.wav	174.34	175.86	-1.52	-0.014	0.5328	0.4359	0.0969	1280.12	1380.72	-100.60	0.060	0.10	-0.040
pa-008	és a dir	1110.25-1114.75	clips/pa-008__s-a-dir__1110.25.wav	167.05	175.86	-8.81	-0.078	0.5580	0.4359	0.1221	1207.97	1380.72	-172.75	0.070	0.10	-0.030
pa-009	bé	557.25-561.75	clips/pa-009__b__557.25.wav	185.08	188.15	-3.07	-0.048	0.5312	0.5436	-0.0124	1327.28	1366.62	-39.34	0.100	0.08	0.020
pa-009	clar	99.25-105.75	clips/pa-009__clar__99.25.wav	209.19	188.15	21.04	0.327	0.5154	0.5436	-0.0282	1370.37	1366.62	3.75	0.090	0.08	0.010
pa-009	doncs	139.25-145.75	clips/pa-009__doncs__139.25.wav	224.30	188.15	36.15	0.561	0.5031	0.5436	-0.0405	1421.58	1366.62	54.96	0.060	0.08	-0.020
pa-009	evidentment	947.25-951.75	clips/pa-009__evidentment__947.25.wav	196.21	188.15	8.06	0.125	0.5402	0.5436	-0.0034	1216.80	1366.62	-149.82	0.140	0.08	0.060
pa-009	o sigui	234.25-238.75	clips/pa-009__o-sigui__234.25.wav	185.23	188.15	-2.92	-0.045	0.5179	0.5436	-0.0257	1366.23	1366.62	-0.39	0.080	0.08	0.000
pa-009	perquè	349.25-356.75	clips/pa-009__perqu__349.25.wav	183.85	188.15	-4.30	-0.067	0.5348	0.5436	-0.0088	1320.88	1366.62	-45.74	0.080	0.08	0.000
pa-010	clar	334.85-339.35	clips/pa-010__clar__334.85.wav	118.85	182.50	-63.65	-0.403	0.5580	0.5825	-0.0245	1127.48	829.17	298.31	0.060	0.08	-0.020
pa-010	de fet	647.25-652.75	clips/pa-010__de-fet__647.25.wav	121.50	182.50	-61.00	-0.386	0.5949	0.5825	0.0124	860.69	829.17	31.52	0.100	0.08	0.020
pa-010	doncs	24.65-31.67	clips/pa-010__doncs__24.65.wav	160.70	182.50	-21.80	-0.138	0.6314	0.5825	0.0489	949.76	829.17	120.59	0.100	0.08	0.020
pa-010	llavors	386.25-391.75	clips/pa-010__llavors__386.25.wav	135.17	182.50	-47.33	-0.299	0.6168	0.5825	0.0343	908.44	829.17	79.27	0.070	0.08	-0.010
pa-010	és a dir	243.25-249.55	clips/pa-010__s-a-dir__243.25.wav	122.81	182.50	-59.69	-0.377	0.5764	0.5825	-0.0061	876.87	829.17	47.70	0.070	0.08	-0.010
pa-011	a veure	551.81-556.27	clips/pa-011__a-veure__551.81.wav	202.81	231.55	-28.74	-0.232	0.2477	0.5651	-0.3174	1312.29	1314.52	-2.23	0.220	0.08	0.140
pa-011	bé	185.57-189.31	clips/pa-011__b__185.57.wav	218.51	231.55	-13.04	-0.105	0.7849	0.5651	0.2198	1286.25	1314.52	-28.27	0.090	0.08	0.010
pa-011	de fet	557.25-561.31	clips/pa-011__de-fet__557.25.wav	190.87	231.55	-40.68	-0.328	0.1881	0.5651	-0.3770	1154.51	1314.52	-160.01	0.220	0.08	0.140
pa-011	és a dir	48.09-54.67	clips/pa-011__s-a-dir__48.09.wav	224.09	231.55	-7.46	-0.060	0.4390	0.5651	-0.1261	1402.71	1314.52	88.19	0.060	0.08	-0.020
pa-013	bé	196.65-203.47	clips/pa-013__b__196.65.wav	301.12	310.95	-9.83	-0.075	0.7029	0.7568	-0.0539	1061.40	1199.87	-138.47	0.040	0.06	-0.020
pa-014	bé	165.65-181.55	clips/pa-014__b__165.65.wav	157.95	135.72	22.23	0.502	0.5416	0.5833	-0.0417	1149.96	1131.87	18.09	0.120	0.08	0.040
pa-014	crec	153.25-160.55	clips/pa-014__crec__153.25.wav	142.35	135.72	6.63	0.150	0.7418	0.5833	0.1585	1001.99	1131.87	-129.88	0.040	0.08	-0.040
pa-014	evidentment	28.65-37.55	clips/pa-014__evidentment__28.65.wav	131.66	135.72	-4.06	-0.092	0.6577	0.5833	0.0744	1092.14	1131.87	-39.73	0.080	0.08	0.000
pa-014	o sigui	658.45-674.95	clips/pa-014__o-sigui__658.45.wav	130.48	135.72	-5.24	-0.118	0.5583	0.5833	-0.0250	1261.04	1131.87	129.17	0.080	0.08	0.000
pa-014	perquè	105.85-115.75	clips/pa-014__perqu__105.85.wav	156.34	135.72	20.62	0.465	0.7024	0.5833	0.1191	973.52	1131.87	-158.35	0.090	0.08	0.010
pa-014	vull dir	19.65-30.15	clips/pa-014__vull-dir__19.65.wav	130.23	135.72	-5.49	-0.124	0.5210	0.5833	-0.0623	1242.87	1131.87	111.00	0.080	0.08	0.000
pa-015	doncs	83.25-87.75	clips/pa-015__doncs__83.25.wav	224.68	243.83	-19.15	-0.178	0.9554	0.8210	0.1344	1195.40	1259.26	-63.86	0.050	0.12	-0.070
pa-015	perquè	86.25-92.75	clips/pa-015__perqu__86.25.wav	250.34	243.83	6.51	0.061	0.7438	0.8210	-0.0772	1221.75	1259.26	-37.51	0.140	0.12	0.020
pa-016	a nivell	333.81-340.39	clips/pa-016__a-nivell__333.81.wav	296.65	292.91	3.74	0.065	0.5518	0.5941	-0.0423	1403.29	1087.49	315.80	0.060	0.06	0.000
pa-016	clar	175.69-180.35	clips/pa-016__clar__175.69.wav	311.94	292.91	19.03	0.330	0.5862	0.5941	-0.0079	1085.13	1087.49	-2.36	0.080	0.06	0.020
pa-016	doncs	62.33-69.43	clips/pa-016__doncs__62.33.wav	296.27	292.91	3.36	0.058	0.5085	0.5941	-0.0856	1337.57	1087.49	250.08	0.080	0.06	0.020
pa-016	evidentment	456.85-463.03	clips/pa-016__evidentment__456.85.wav	281.75	292.91	-11.16	-0.194	0.5974	0.5941	0.0033	1120.93	1087.49	33.44	0.060	0.06	0.000
pa-016	perquè	79.77-85.39	clips/pa-016__perqu__79.77.wav	286.10	292.91	-6.81	-0.118	0.6214	0.5941	0.0273	1110.19	1087.49	22.70	0.070	0.06	0.010
pa-017	a nivell	143.25-149.75	clips/pa-017__a-nivell__143.25.wav	264.24	216.03	48.21	0.402	0.5340	0.5555	-0.0215	1212.92	1054.18	158.74	0.100	0.10	0.000
pa-017	clar	34.45-42.35	clips/pa-017__clar__34.45.wav	211.76	216.03	-4.27	-0.036	0.5584	0.5555	0.0029	1043.58	1054.18	-10.60	0.080	0.10	-0.020
pa-017	doncs	459.25-464.75	clips/pa-017__doncs__459.25.wav	203.86	216.03	-12.17	-0.101	0.5255	0.5555	-0.0300	1071.02	1054.18	16.84	0.100	0.10	0.000
pa-017	perquè	4.25-12.15	clips/pa-017__perqu__4.25.wav	187.06	216.03	-28.97	-0.241	0.4822	0.5555	-0.0733	1116.11	1054.18	61.93	0.100	0.10	0.000
pa-017	vull dir	272.25-279.75	clips/pa-017__vull-dir__272.25.wav	233.65	216.03	17.62	0.147	0.6123	0.5555	0.0568	1010.97	1054.18	-43.21	0.120	0.10	0.020
pa-017	és a dir	487.25-494.75	clips/pa-017__s-a-dir__487.25.wav	219.66	216.03	3.63	0.030	0.5722	0.5555	0.0167	1004.45	1054.18	-49.73	0.080	0.10	-0.020
pa-018	a nivell	188.45-191.87	clips/pa-018__a-nivell__188.45.wav	265.01	265.09	-0.08	-0.001	0.7000	0.5857	0.1143	813.54	919.55	-106.01	0.070	0.10	-0.030
pa-018	crec	7.49-12.83	clips/pa-018__crec__7.49.wav	268.93	265.09	3.84	0.060	0.6316	0.5857	0.0459	930.74	919.55	11.19	0.070	0.10	-0.030
pa-018	diguem	715.49-721.19	clips/pa-018__diguem__715.49.wav	263.25	265.09	-1.84	-0.029	0.6197	0.5857	0.0340	896.89	919.55	-22.66	0.080	0.10	-0.020
pa-018	perquè	91.09-96.47	clips/pa-018__perqu__91.09.wav	264.23	265.09	-0.86	-0.013	0.6045	0.5857	0.0188	871.37	919.55	-48.18	0.070	0.10	-0.030
pa-019	a nivell	122.25-127.75	clips/pa-019__a-nivell__122.25.wav	175.07	176.36	-1.29	-0.007	0.6168	0.5420	0.0748	976.33	1110.32	-133.99	0.060	0.08	-0.020
pa-019	bé	195.25-201.75	clips/pa-019__b__195.25.wav	161.31	176.36	-15.05	-0.079	0.6821	0.5420	0.1401	982.33	1110.32	-127.99	0.060	0.08	-0.020
pa-019	crec	27.25-31.75	clips/pa-019__crec__27.25.wav	166.76	176.36	-9.60	-0.051	0.6339	0.5420	0.0919	1071.30	1110.32	-39.02	0.080	0.08	0.000
pa-019	diguem	109.25-113.75	clips/pa-019__diguem__109.25.wav	146.29	176.36	-30.07	-0.159	0.5446	0.5420	0.0026	1031.32	1110.32	-79.00	0.100	0.08	0.020
pa-019	perquè	101.25-105.75	clips/pa-019__perqu__101.25.wav	156.05	176.36	-20.31	-0.107	0.4554	0.5420	-0.0866	1174.06	1110.32	63.74	0.080	0.08	0.000
pa-020	aviam	252.21-256.43	clips/pa-020__aviam__252.21.wav	203.16	200.29	2.87	0.039	0.6000	0.4873	0.1127	1106.67	1100.62	6.05	0.100	0.08	0.020
pa-020	bé	146.37-152.31	clips/pa-020__b__146.37.wav	172.86	200.29	-27.43	-0.376	0.3784	0.4873	-0.1089	1130.93	1100.62	30.31	0.130	0.08	0.050
pa-020	clar	89.81-94.31	clips/pa-020__clar__89.81.wav	201.97	200.29	1.68	0.023	0.4152	0.4873	-0.0721	1283.85	1100.62	183.23	0.060	0.08	-0.020
pa-020	perquè	9.41-12.91	clips/pa-020__perqu__9.41.wav	194.77	200.29	-5.52	-0.076	0.6437	0.4873	0.1564	962.86	1100.62	-137.76	0.060	0.08	-0.020
pa-021	bueno	12.25-16.87	clips/pa-021__bueno__12.25.wav	235.82	221.14	14.68	0.094	0.5870	0.5765	0.0105	1086.43	999.40	87.03	0.050	0.08	-0.030
pa-021	bé	257.61-263.59	clips/pa-021__b__257.61.wav	232.22	221.14	11.08	0.071	0.4799	0.5765	-0.0966	1185.54	999.40	186.14	0.120	0.08	0.040
pa-021	crec	115.53-120.03	clips/pa-021__crec__115.53.wav	184.66	221.14	-36.48	-0.233	0.6562	0.5765	0.0797	908.87	999.40	-90.53	0.060	0.08	-0.020
pa-021	doncs	12.25-16.87	clips/pa-021__doncs__12.25.wav	235.82	221.14	14.68	0.094	0.5870	0.5765	0.0105	1086.43	999.40	87.03	0.050	0.08	-0.030
pa-021	vull dir	314.29-323.11	clips/pa-021__vull-dir__314.29.wav	226.92	221.14	5.78	0.037	0.5977	0.5765	0.0212	877.30	999.40	-122.10	0.060	0.08	-0.020
pa-022	a veure	238.61-245.15	clips/pa-022__a-veure__238.61.wav	213.48	198.67	14.81	0.078	0.4540	0.6190	-0.1650	1138.05	1052.35	85.70	0.120	0.08	0.040
pa-022	bé	270.45-275.35	clips/pa-022__b__270.45.wav	272.82	198.67	74.15	0.389	0.6803	0.6190	0.0613	1116.03	1052.35	63.68	0.060	0.08	-0.020
pa-022	clar	107.73-113.11	clips/pa-022__clar__107.73.wav	237.39	198.67	38.72	0.203	0.5336	0.6190	-0.0854	1295.37	1052.35	243.02	0.080	0.08	0.000
pa-022	crec	243.73-249.43	clips/pa-022__crec__243.73.wav	245.20	198.67	46.53	0.244	0.6514	0.6190	0.0324	797.35	1052.35	-255.00	0.040	0.08	-0.040
pa-022	evidentment	303.01-309.59	clips/pa-022__evidentment__303.01.wav	185.56	198.67	-13.11	-0.069	0.5854	0.6190	-0.0336	954.70	1052.35	-97.65	0.080	0.08	0.000
pa-022	o sigui	42.93-48.95	clips/pa-022__o-sigui__42.93.wav	266.57	198.67	67.90	0.356	0.5967	0.6190	-0.0223	1114.90	1052.35	62.55	0.060	0.08	-0.020
pa-022	reformeta	125.53-130.67	clips/pa-022__reformeta__125.53.wav	117.30	198.67	-81.37	-0.427	0.6562	0.6190	0.0372	1049.40	1052.35	-2.95	0.090	0.08	0.010
pa-023	a veure	268.81-272.59	clips/pa-023__a-veure__268.81.wav	126.34	136.86	-10.52	-0.210	0.4947	0.6249	-0.1302	1090.80	967.98	122.82	0.170	0.08	0.090
pa-023	bé	409.37-413.47	clips/pa-023__b__409.37.wav	139.79	136.86	2.93	0.058	0.6716	0.6249	0.0467	930.99	967.98	-36.99	0.100	0.08	0.020
pa-024	a nivell	1547.93-1552.91	clips/pa-024__a-nivell__1547.93.wav	251.92	293.71	-41.79	-0.468	0.7581	0.5607	0.1974	948.01	1001.16	-53.15	0.060	0.08	-0.020
pa-024	clar	648.09-656.83	clips/pa-024__clar__648.09.wav	330.49	293.71	36.78	0.412	0.3326	0.5607	-0.2281	1039.56	1001.16	38.40	0.160	0.08	0.080
pa-024	crec	368.01-372.63	clips/pa-024__crec__368.01.wav	258.97	293.71	-34.74	-0.389	0.4478	0.5607	-0.1129	1066.69	1001.16	65.53	0.140	0.08	0.060
pa-024	de fet	482.25-489.07	clips/pa-024__de-fet__482.25.wav	278.40	293.71	-15.31	-0.172	0.5500	0.5607	-0.0107	1153.51	1001.16	152.35	0.060	0.08	-0.020
pa-025	a veure	388.01-395.23	clips/pa-025__a-veure__388.01.wav	254.03	247.75	6.28	0.057	0.6444	0.5929	0.0515	973.82	946.99	26.83	0.080	0.08	0.000
pa-025	clar	116.09-119.95	clips/pa-025__clar__116.09.wav	248.30	247.75	0.55	0.005	0.5417	0.5929	-0.0512	989.68	946.99	42.69	0.060	0.08	-0.020
pa-025	crec	4.25-9.11	clips/pa-025__crec__4.25.wav	255.46	247.75	7.71	0.070	0.6653	0.5929	0.0724	1059.86	946.99	112.87	0.120	0.08	0.040
pa-025	diguem	500.89-506.43	clips/pa-025__diguem__500.89.wav	256.77	247.75	9.02	0.082	0.6775	0.5929	0.0846	920.83	946.99	-26.16	0.060	0.08	-0.020
pa-025	evidentment	1156.61-1160.31	clips/pa-025__evidentment__1156.61.wav	145.12	247.75	-102.63	-0.932	0.3641	0.5929	-0.2288	978.18	946.99	31.19	0.180	0.08	0.100
pa-025	perquè	37.17-40.43	clips/pa-025__perqu__37.17.wav	238.48	247.75	-9.27	-0.084	0.7284	0.5929	0.1355	788.55	946.99	-158.44	0.060	0.08	-0.020
pa-025	reformeta	1085.53-1091.51	clips/pa-025__reformeta__1085.53.wav	254.39	247.75	6.64	0.060	0.5101	0.5929	-0.0828	983.85	946.99	36.86	0.060	0.08	-0.020
pa-026	bé	99.97-103.47	clips/pa-026__b__99.97.wav	304.24	260.14	44.10	0.256	0.1897	0.4779	-0.2882	2115.92	1336.89	779.03	0.120	0.08	0.040
pa-026	perquè	150.53-156.67	clips/pa-026__perqu__150.53.wav	233.56	260.14	-26.58	-0.154	0.4575	0.4779	-0.0204	1224.15	1336.89	-112.74	0.070	0.08	-0.010
pa-026	reformeta	138.61-145.67	clips/pa-026__reformeta__138.61.wav	255.30	260.14	-4.84	-0.028	0.4460	0.4779	-0.0319	1706.53	1336.89	369.64	0.080	0.08	0.000
pa-027	crec	8.81-14.39	clips/pa-027__crec__8.81.wav	215.11	223.42	-8.31	-0.053	0.6295	0.5503	0.0792	872.57	1084.59	-212.02	0.060	0.08	-0.020
pa-027	de fet	109.45-115.11	clips/pa-027__de-fet__109.45.wav	240.44	223.42	17.02	0.109	0.5674	0.5503	0.0171	1065.96	1084.59	-18.63	0.080	0.08	0.000
pa-027	evidentment	174.09-178.23	clips/pa-027__evidentment__174.09.wav	225.56	223.42	2.14	0.014	0.4951	0.5503	-0.0552	1147.38	1084.59	62.79	0.080	0.08	0.000
pa-027	perquè	8.81-14.39	clips/pa-027__perqu__8.81.wav	215.11	223.42	-8.31	-0.053	0.6295	0.5503	0.0792	872.57	1084.59	-212.02	0.060	0.08	-0.020
pa-027	és a dir	185.61-192.87	clips/pa-027__s-a-dir__185.61.wav	238.33	223.42	14.91	0.095	0.5193	0.5503	-0.0310	1136.29	1084.59	51.70	0.060	0.08	-0.020
pa-028	bé	182.49-187.39	clips/pa-028__b__182.49.wav	146.72	137.61	9.11	0.283	0.4426	0.4831	-0.0405	1393.46	1434.09	-40.63	0.080	0.08	0.000
pa-028	clar	290.33-295.15	clips/pa-028__clar__290.33.wav	128.15	137.61	-9.46	-0.294	0.5792	0.4831	0.0961	1006.32	1434.09	-427.77	0.070	0.08	-0.010
pa-028	de fet	31.17-37.07	clips/pa-028__de-fet__31.17.wav	134.02	137.61	-3.59	-0.111	0.6020	0.4831	0.1189	1206.41	1434.09	-227.68	0.110	0.08	0.030
pa-028	doncs	329.33-334.79	clips/pa-028__doncs__329.33.wav	142.45	137.61	4.84	0.150	0.5662	0.4831	0.0831	1060.03	1434.09	-374.06	0.080	0.08	0.000
pa-029	tirar endavant	56.73-63.23	clips/pa-029__tirar-endavant__56.73.wav	218.12	205.71	12.41	0.065	0.6821	0.5524	0.1297	1030.16	1098.30	-68.14	0.060	0.08	-0.020
pa-030	a veure	673.41-676.91	clips/pa-030__a-veure__673.41.wav	157.28	140.30	16.98	0.122	0.4425	0.5426	-0.1001	1151.00	1061.60	89.40	0.060	0.06	0.000
pa-030	aleshores	392.41-397.91	clips/pa-030__aleshores__392.41.wav	237.48	140.30	97.18	0.699	0.3723	0.5426	-0.1703	1670.07	1061.60	608.47	0.080	0.06	0.020
pa-030	bueno	459.05-463.07	clips/pa-030__bueno__459.05.wav	135.58	140.30	-4.72	-0.034	0.3550	0.5426	-0.1876	1126.45	1061.60	64.85	0.080	0.06	0.020
pa-030	crec	346.45-352.99	clips/pa-030__crec__346.45.wav	273.60	140.30	133.30	0.959	0.4755	0.5426	-0.0671	1422.51	1061.60	360.91	0.080	0.06	0.020
pa-030	doncs	43.53-48.63	clips/pa-030__doncs__43.53.wav	126.79	140.30	-13.51	-0.097	0.5512	0.5426	0.0086	1098.39	1061.60	36.79	0.060	0.06	0.000
pa-030	evidentment	43.53-48.63	clips/pa-030__evidentment__43.53.wav	126.79	140.30	-13.51	-0.097	0.5512	0.5426	0.0086	1098.39	1061.60	36.79	0.060	0.06	0.000
pa-030	tirar endavant	185.61-192.15	clips/pa-030__tirar-endavant__185.61.wav	117.34	140.30	-22.96	-0.165	0.4202	0.5426	-0.1224	1035.56	1061.60	-26.04	0.130	0.06	0.070
pa-030	vull dir	842.69-848.23	clips/pa-030__vull-dir__842.69.wav	132.93	140.30	-7.37	-0.053	0.3659	0.5426	-0.1767	1481.10	1061.60	419.50	0.120	0.06	0.060
pa-031	a veure	4.25-9.07	clips/pa-031__a-veure__4.25.wav	143.96	150.72	-6.76	-0.047	0.5208	0.5634	-0.0426	1202.91	961.58	241.33	0.060	0.08	-0.020
pa-031	crec	87.01-92.63	clips/pa-031__crec__87.01.wav	238.59	150.72	87.87	0.611	0.5607	0.5634	-0.0027	921.21	961.58	-40.37	0.120	0.08	0.040
pa-031	de fet	9.93-14.23	clips/pa-031__de-fet__9.93.wav	142.95	150.72	-7.77	-0.054	0.5374	0.5634	-0.0260	898.28	961.58	-63.30	0.080	0.08	0.000
pa-032	aleshores	79.09-87.19	clips/pa-032__aleshores__79.09.wav	221.47	219.16	2.31	0.035	0.4703	0.4974	-0.0271	1481.40	899.67	581.73	0.070	0.08	-0.010
pa-032	bueno	44.73-50.63	clips/pa-032__bueno__44.73.wav	214.60	219.16	-4.56	-0.069	0.4490	0.4974	-0.0484	938.40	899.67	38.73	0.080	0.08	0.000
pa-032	bé	270.41-274.95	clips/pa-032__b__270.41.wav	239.97	219.16	20.81	0.316	0.5177	0.4974	0.0203	986.18	899.67	86.51	0.120	0.08	0.040
pa-032	doncs	21.61-27.23	clips/pa-032__doncs__21.61.wav	232.61	219.16	13.45	0.204	0.5429	0.4974	0.0455	823.54	899.67	-76.13	0.020	0.08	-0.060
pa-032	perquè	9.21-15.07	clips/pa-032__perqu__9.21.wav	219.25	219.16	0.09	0.001	0.4932	0.4974	-0.0042	1009.15	899.67	109.48	0.090	0.08	0.010
pa-033	bé	103.09-107.43	clips/pa-033__b__103.09.wav	247.18	281.48	-34.30	-0.189	0.6991	0.5461	0.1530	938.35	1071.53	-133.18	0.060	0.06	0.000
pa-033	de fet	249.69-252.55	clips/pa-033__de-fet__249.69.wav	308.34	281.48	26.86	0.148	0.4155	0.5461	-0.1306	1496.42	1071.53	424.89	0.080	0.06	0.020
pa-033	tirar endavant	135.69-141.51	clips/pa-033__tirar-endavant__135.69.wav	264.69	281.48	-16.79	-0.093	0.4897	0.5461	-0.0564	1051.29	1071.53	-20.24	0.060	0.06	0.000
pa-033	és a dir	39.29-44.27	clips/pa-033__s-a-dir__39.29.wav	300.41	281.48	18.93	0.105	0.5242	0.5461	-0.0219	1087.10	1071.53	15.57	0.050	0.06	-0.010
pa-034	a nivell	143.81-148.91	clips/pa-034__a-nivell__143.81.wav	189.48	199.61	-10.13	-0.077	0.6496	0.6198	0.0298	919.21	931.48	-12.27	0.120	0.08	0.040
pa-034	a veure	94.05-100.39	clips/pa-034__a-veure__94.05.wav	182.92	199.61	-16.69	-0.127	0.6677	0.6198	0.0479	896.18	931.48	-35.30	0.080	0.08	0.000
pa-034	diguem	504.45-508.51	clips/pa-034__diguem__504.45.wav	189.63	199.61	-9.98	-0.076	0.5693	0.6198	-0.0505	1050.73	931.48	119.25	0.060	0.08	-0.020
pa-034	reformeta	191.33-198.59	clips/pa-034__reformeta__191.33.wav	200.62	199.61	1.01	0.008	0.5773	0.6198	-0.0425	915.86	931.48	-15.62	0.090	0.08	0.010
pa-034	tirar endavant	690.33-695.67	clips/pa-034__tirar-endavant__690.33.wav	195.02	199.61	-4.59	-0.035	0.5451	0.6198	-0.0747	1059.38	931.48	127.90	0.080	0.08	0.000
pa-035	crec	872.77-879.91	clips/pa-035__crec__872.77.wav	152.87	150.02	2.85	0.032	0.4663	0.4963	-0.0300	1372.30	1176.10	196.20	0.100	0.10	0.000
pa-035	perquè	181.13-186.35	clips/pa-035__perqu__181.13.wav	130.79	150.02	-19.23	-0.214	0.4538	0.4963	-0.0425	1437.93	1176.10	261.83	0.100	0.10	0.000
pa-036	a nivell	386.45-395.95	clips/pa-036__a-nivell__386.45.wav	261.35	256.01	5.34	0.034	0.7046	0.6896	0.0150	1054.11	1018.53	35.58	0.060	0.06	0.000
pa-036	a veure	153.05-160.15	clips/pa-036__a-veure__153.05.wav	266.78	256.01	10.77	0.069	0.6723	0.6896	-0.0173	1150.25	1018.53	131.72	0.080	0.06	0.020
pa-036	bé	69.45-75.15	clips/pa-036__b__69.45.wav	264.50	256.01	8.49	0.054	0.6761	0.6896	-0.0135	1083.57	1018.53	65.04	0.050	0.06	-0.010
pa-036	clar	136.45-147.15	clips/pa-036__clar__136.45.wav	274.88	256.01	18.87	0.121	0.6948	0.6896	0.0052	1071.23	1018.53	52.70	0.100	0.06	0.040
pa-036	evidentment	202.85-211.95	clips/pa-036__evidentment__202.85.wav	253.66	256.01	-2.35	-0.015	0.6652	0.6896	-0.0244	1032.24	1018.53	13.71	0.060	0.06	0.000
pa-036	perquè	15.65-20.75	clips/pa-036__perqu__15.65.wav	274.47	256.01	18.46	0.118	0.7795	0.6896	0.0899	937.46	1018.53	-81.07	0.060	0.06	0.000
pa-037	diguem	469.77-482.03	clips/pa-037__diguem__469.77.wav	242.06	236.67	5.39	0.033	0.4395	0.4864	-0.0469	1334.90	1145.54	189.36	0.100	0.08	0.020
pa-037	llavors	92.53-106.79	clips/pa-037__llavors__92.53.wav	237.28	236.67	0.61	0.004	0.5309	0.4864	0.0445	1302.81	1145.54	157.27	0.060	0.08	-0.020
pa-037	perquè	186.29-198.91	clips/pa-037__perqu__186.29.wav	145.04	236.67	-91.63	-0.557	0.3873	0.4864	-0.0991	1255.14	1145.54	109.60	0.090	0.08	0.010
pa-037	vull dir	414.01-426.11	clips/pa-037__vull-dir__414.01.wav	240.41	236.67	3.74	0.023	0.4536	0.4864	-0.0328	1234.49	1145.54	88.95	0.080	0.08	0.000
pa-038	a nivell	455.49-460.15	clips/pa-038__a-nivell__455.49.wav	202.43	209.31	-6.88	-0.118	0.5776	0.5594	0.0182	1191.24	1184.59	6.65	0.060	0.08	-0.020
