id_persona	forma	interval_escolta	clip	f0_clip_hz	f0_persona_hz	delta_f0_hz	delta_f0_z_persona	veu_clip	veu_persona	delta_veu	centroid_clip_hz	centroid_persona_hz	delta_centroid_hz	pausa_clip_s	pausa_persona_s	delta_pausa_s
pa-048	a veure	393.93-397.03	clips/pa-048__a-veure__393.93.wav	191.91	188.75	3.16	0.024	0.3831	0.4176	-0.0345	1298.38	1228.99	69.39	0.080	0.10	-0.020
pa-048	bé	495.73-502.83	clips/pa-048__b__495.73.wav	170.15	188.75	-18.60	-0.143	0.3729	0.4176	-0.0447	1161.09	1228.99	-67.90	0.080	0.10	-0.020
pa-048	crec	110.97-117.27	clips/pa-048__crec__110.97.wav	211.25	188.75	22.50	0.173	0.4745	0.4176	0.0569	1442.66	1228.99	213.67	0.100	0.10	0.000
pa-048	doncs	302.89-306.79	clips/pa-048__doncs__302.89.wav	250.55	188.75	61.80	0.474	0.5206	0.4176	0.1030	1103.99	1228.99	-125.00	0.060	0.10	-0.040
pa-048	o sigui	581.65-585.99	clips/pa-048__o-sigui__581.65.wav	196.61	188.75	7.86	0.060	0.4537	0.4176	0.0361	1297.19	1228.99	68.20	0.100	0.10	0.000
pa-048	vull dir	993.69-999.19	clips/pa-048__vull-dir__993.69.wav	199.05	188.75	10.30	0.079	0.4197	0.4176	0.0021	1528.27	1228.99	299.28	0.120	0.10	0.020
pa-049	a veure	244.85-252.03	clips/pa-049__a-veure__244.85.wav	182.02	223.56	-41.54	-0.327	0.7793	0.6630	0.1163	1118.54	1275.60	-157.06	0.060	0.06	0.000
pa-049	crec	371.85-383.51	clips/pa-049__crec__371.85.wav	252.50	223.56	28.94	0.228	0.6186	0.6630	-0.0444	1622.86	1275.60	347.26	0.060	0.06	0.000
pa-049	o sigui	365.21-373.35	clips/pa-049__o-sigui__365.21.wav	199.21	223.56	-24.35	-0.192	0.7660	0.6630	0.1030	1258.24	1275.60	-17.36	0.040	0.06	-0.020
pa-049	perquè	68.85-75.71	clips/pa-049__perqu__68.85.wav	223.51	223.56	-0.05	-0.000	0.7018	0.6630	0.0388	1186.82	1275.60	-88.78	0.060	0.06	0.000
pa-051	clar	161.85-167.07	clips/pa-051__clar__161.85.wav	197.87	216.98	-19.11	-0.127	0.6269	0.6552	-0.0283	1380.87	971.59	409.28	0.080	0.08	0.000
pa-051	crec	208.57-213.39	clips/pa-051__crec__208.57.wav	221.57	216.98	4.59	0.030	0.6750	0.6552	0.0198	1163.47	971.59	191.88	0.040	0.08	-0.040
pa-051	perquè	123.85-128.35	clips/pa-051__perqu__123.85.wav	259.46	216.98	42.48	0.282	0.6607	0.6552	0.0055	968.39	971.59	-3.20	0.080	0.08	0.000
pa-052	clar	59.97-64.67	clips/pa-052__clar__59.97.wav	189.34	217.34	-28.00	-0.400	0.7393	0.8750	-0.1357	1068.83	876.93	191.90	0.060	0.07	-0.010
pa-053	perquè	113.93-120.79	clips/pa-053__perqu__113.93.wav	112.46	166.09	-53.63	-0.389	0.7251	0.7369	-0.0118	964.31	872.26	92.05	0.100	0.06	0.040
pa-054	bueno	51.69-55.75	clips/pa-054__bueno__51.69.wav	175.20	202.70	-27.50	-0.196	0.6139	0.7272	-0.1133	1192.88	1024.60	168.28	0.070	0.06	0.010
pa-054	perquè	80.45-85.43	clips/pa-054__perqu__80.45.wav	200.81	202.70	-1.89	-0.014	0.6089	0.7272	-0.1183	1339.75	1024.60	315.15	0.060	0.06	0.000
pa-055	evidentment	1644.01-1651.31	clips/pa-055__evidentment__1644.01.wav	290.49	258.93	31.56	0.182	0.4890	0.4784	0.0106	1488.53	1339.74	148.79	0.100	0.08	0.020
pa-055	perquè	148.53-153.11	clips/pa-055__perqu__148.53.wav	279.10	258.93	20.17	0.116	0.3509	0.4784	-0.1275	2013.82	1339.74	674.08	0.120	0.08	0.040
pa-055	reformeta	139.05-145.83	clips/pa-055__reformeta__139.05.wav	257.13	258.93	-1.80	-0.010	0.4201	0.4784	-0.0583	1885.34	1339.74	545.60	0.100	0.08	0.020
pa-056	a veure	673.21-676.71	clips/pa-056__a-veure__673.21.wav	152.41	143.08	9.33	0.066	0.4540	0.5440	-0.0900	1129.94	1062.06	67.88	0.060	0.06	0.000
pa-056	bé	436.49-441.47	clips/pa-056__b__436.49.wav	159.29	143.08	16.21	0.115	0.3387	0.5440	-0.2053	1709.65	1062.06	647.59	0.040	0.06	-0.020
pa-056	clar	62.45-66.87	clips/pa-056__clar__62.45.wav	140.81	143.08	-2.27	-0.016	0.7364	0.5440	0.1924	965.97	1062.06	-96.09	0.040	0.06	-0.020
pa-056	crec	347.05-353.03	clips/pa-056__crec__347.05.wav	273.02	143.08	129.94	0.924	0.4664	0.5440	-0.0776	1517.83	1062.06	455.77	0.080	0.06	0.020
pa-056	evidentment	43.45-48.59	clips/pa-056__evidentment__43.45.wav	130.26	143.08	-12.82	-0.091	0.5430	0.5440	-0.0010	1115.88	1062.06	53.82	0.070	0.06	0.010
pa-056	perquè	31.73-35.07	clips/pa-056__perqu__31.73.wav	135.56	143.08	-7.52	-0.053	0.5422	0.5440	-0.0018	1121.89	1062.06	59.83	0.040	0.06	-0.020
pa-056	tirar endavant	185.53-189.19	clips/pa-056__tirar-endavant__185.53.wav	110.03	143.08	-33.05	-0.235	0.4890	0.5440	-0.0550	982.34	1062.06	-79.72	0.090	0.06	0.030
pa-056	vull dir	842.65-848.07	clips/pa-056__vull-dir__842.65.wav	135.25	143.08	-7.83	-0.056	0.3630	0.5440	-0.1810	1532.71	1062.06	470.65	0.090	0.06	0.030
pa-057	diguem	929.81-935.31	clips/pa-057__diguem__929.81.wav	226.75	204.87	21.88	0.113	0.4380	0.5533	-0.1153	1962.97	1109.29	853.68	0.100	0.08	0.020
