fitxer	enllacos_externs	fora_subcorpus	fitxers_inexistents	mencio_brain	estat
persones/pa-054.md	0			no	independent
persones/pa-055.md	0			no	independent
persones/pa-056.md	1			no	independent
persones/pa-057.md	1			no	independent
persones/pa-058.md	0			no	independent
persones/pa-059.md	0			no	independent
persones/pa-060.md	0			no	independent
persones/pa-061.md	0			no	independent
persones/pa-062.md	0			no	independent
persones/pa-063.md	2			no	independent
persones/pa-064.md	0			no	independent
persones/pa-065.md	0			no	independent
persones/pa-066.md	2			no	independent
proveniencia/INDEX-AUDICIO.md	0			no	independent
proveniencia/README.md	0			sí	independent
proveniencia/auditoria-candidats.md	0			no	independent
proveniencia/autoritzacions.md	3			no	independent
proveniencia/candidats/README.md	0			no	independent
proveniencia/candidats/lead-cg-001-xavier-espot/README.md	0			no	independent
proveniencia/candidats/lead-cg-001-xavier-espot/analisi-acustica.md	0			no	independent
proveniencia/candidats/lead-cg-001-xavier-espot/comparacio-asr.md	0			no	independent
proveniencia/candidats/lead-cg-001-xavier-espot/formants.md	0			no	independent
proveniencia/candidats/lead-cg-001-xavier-espot/graf/README.md	0			no	independent
proveniencia/candidats/lead-cg-001-xavier-espot/informe-qa-greedy.md	0			no	independent
proveniencia/candidats/lead-cg-001-xavier-espot/informe.md	1			no	independent
proveniencia/candidats/lead-cg-001-xavier-espot/quadern-clips-formes.md	0			no	independent
proveniencia/candidats/lead-cg-001-xavier-espot/segmentacio-veus.md	0			no	independent
proveniencia/candidats/lead-cg-002-pere-lopez/README.md	0			no	independent
proveniencia/candidats/lead-cg-002-pere-lopez/analisi-acustica.md	0			no	independent
proveniencia/candidats/lead-cg-002-pere-lopez/comparacio-asr.md	0			no	independent
proveniencia/candidats/lead-cg-002-pere-lopez/informe.md	1			no	independent
proveniencia/candidats/lead-cg-002-pere-lopez/quadern-clips-formes.md	0			no	independent
proveniencia/candidats/lead-cg-003-roser-sune/README.md	0			no	independent
proveniencia/candidats/lead-cg-003-roser-sune/analisi-acustica.md	0			no	independent
proveniencia/candidats/lead-cg-003-roser-sune/comparacio-asr.md	0			no	independent
proveniencia/candidats/lead-cg-003-roser-sune/informe.md	1			no	independent
proveniencia/candidats/lead-cg-003-roser-sune/quadern-clips-formes.md	0			no	independent
proveniencia/candidats/lead-rtva-001/README.md	0			no	independent
proveniencia/candidats/lead-rtva-001/analisi-acustica.md	0			no	independent
proveniencia/candidats/lead-rtva-001/clusters-veus.md	0			no	independent
proveniencia/candidats/lead-rtva-001/comparacio-asr.md	0			no	independent
proveniencia/candidats/lead-rtva-001/formants.md	0			no	independent
proveniencia/candidats/lead-rtva-001/graf/README.md	0			no	independent
proveniencia/candidats/lead-rtva-001/informe.md	1			no	independent
proveniencia/candidats/lead-rtva-001/quadern-clips-formes.md	0			no	independent
proveniencia/candidats/lead-rtva-001/segmentacio-veus.md	0			no	independent
proveniencia/candidats/lead-rtva-001/stereo-canals.md	0			no	independent
proveniencia/candidats/lead-rtva-002-ian-moya/README.md	0			no	independent
proveniencia/candidats/lead-rtva-002-ian-moya/analisi-acustica.md	0			no	independent
proveniencia/candidats/lead-rtva-002-ian-moya/comparacio-asr.md	0			no	independent
proveniencia/candidats/lead-rtva-002-ian-moya/formants.md	0			no	independent
proveniencia/candidats/lead-rtva-002-ian-moya/graf/README.md	0			no	independent
proveniencia/candidats/lead-rtva-002-ian-moya/informe-qa-greedy.md	0			no	independent
proveniencia/candidats/lead-rtva-002-ian-moya/informe.md	1			no	independent
proveniencia/candidats/lead-rtva-002-ian-moya/quadern-clips-formes.md	0			no	independent
proveniencia/candidats/lead-rtva-002-ian-moya/segmentacio-veus.md	0			no	independent
proveniencia/candidats/lead-rtva-003-dj-neura/README.md	0			no	independent
proveniencia/candidats/lead-rtva-003-dj-neura/analisi-acustica.md	0			no	independent
proveniencia/candidats/lead-rtva-003-dj-neura/comparacio-asr.md	0			no	independent
proveniencia/candidats/lead-rtva-003-dj-neura/formants.md	0			no	independent
proveniencia/candidats/lead-rtva-003-dj-neura/graf/README.md	0			no	independent
proveniencia/candidats/lead-rtva-003-dj-neura/informe-qa-greedy.md	0			no	independent
proveniencia/candidats/lead-rtva-003-dj-neura/informe.md	1			no	independent
proveniencia/candidats/lead-rtva-003-dj-neura/quadern-clips-formes.md	0			no	independent
proveniencia/candidats/lead-rtva-003-dj-neura/segmentacio-veus.md	0			no	independent
proveniencia/candidats/lead-rtva-004-joan-mico/README.md	0			no	independent
proveniencia/candidats/lead-rtva-004-joan-mico/analisi-acustica.md	0			no	independent
proveniencia/candidats/lead-rtva-004-joan-mico/comparacio-asr.md	0			no	independent
proveniencia/candidats/lead-rtva-004-joan-mico/formants.md	0			no	independent
proveniencia/candidats/lead-rtva-004-joan-mico/graf/README.md	0			no	independent
proveniencia/candidats/lead-rtva-004-joan-mico/informe-qa-greedy.md	0			no	independent
proveniencia/candidats/lead-rtva-004-joan-mico/informe.md	1			no	independent
proveniencia/candidats/lead-rtva-004-joan-mico/quadern-clips-formes.md	0			no	independent
proveniencia/candidats/lead-rtva-004-joan-mico/segmentacio-veus.md	0			no	independent
proveniencia/candidats/lead-rtva-005-carine-montaner/README.md	0			no	independent
proveniencia/candidats/lead-rtva-005-carine-montaner/analisi-acustica.md	0			no	independent
proveniencia/candidats/lead-rtva-005-carine-montaner/comparacio-asr.md	0			no	independent
proveniencia/candidats/lead-rtva-005-carine-montaner/informe.md	1			no	independent
proveniencia/candidats/lead-rtva-005-carine-montaner/quadern-clips-formes.md	0			no	independent
proveniencia/candidats/lead-rtva-006-jaume-tomas/README.md	0			no	independent
proveniencia/candidats/lead-rtva-006-jaume-tomas/analisi-acustica.md	0			no	independent
proveniencia/candidats/lead-rtva-006-jaume-tomas/comparacio-asr.md	0			no	independent
proveniencia/candidats/lead-rtva-006-jaume-tomas/informe.md	1			no	independent
proveniencia/candidats/lead-rtva-006-jaume-tomas/quadern-clips-formes.md	0			no	independent
proveniencia/candidats/lead-rtva-007-robert-guirao/README.md	0			no	independent
proveniencia/candidats/lead-rtva-007-robert-guirao/analisi-acustica.md	0			no	independent
proveniencia/candidats/lead-rtva-007-robert-guirao/comparacio-asr.md	0			no	independent
proveniencia/candidats/lead-rtva-007-robert-guirao/informe.md	1			no	independent
proveniencia/candidats/lead-rtva-007-robert-guirao/quadern-clips-formes.md	0			no	independent
proveniencia/candidats/lead-rtva-008-mireia-pedescoll/README.md	0			no	independent
proveniencia/candidats/lead-rtva-008-mireia-pedescoll/analisi-acustica.md	0			no	independent
proveniencia/candidats/lead-rtva-008-mireia-pedescoll/comparacio-asr.md	0			no	independent
proveniencia/candidats/lead-rtva-008-mireia-pedescoll/informe.md	1			no	independent
proveniencia/candidats/lead-rtva-008-mireia-pedescoll/quadern-clips-formes.md	0			no	independent
proveniencia/informe-falsos-positius-boundary.md	0			no	independent
proveniencia/informe-forts-greedy.md	0			no	independent
proveniencia/informe-qa-equilibrada-triple.md	0			no	independent
proveniencia/informe-qa-equilibrada.md	0			no	independent
proveniencia/informe-qa-triple-complet.md	0			no	independent
proveniencia/informe-quarantena-20s.md	0			no	independent
proveniencia/informe-quarantena-comparativa.md	0			no	independent
proveniencia/informe-token-missing.md	0			no	independent
proveniencia/inventari-incerteses-asr.md	0			no	independent
proveniencia/pa-001/README.md	0			no	independent
proveniencia/pa-002/README.md	0			no	independent
proveniencia/pa-003/README.md	0			no	independent
proveniencia/pa-004/README.md	0			no	independent
proveniencia/pa-005/README.md	0			no	independent
proveniencia/pa-006/README.md	0			no	independent
proveniencia/pa-007/README.md	0			no	independent
proveniencia/pa-008/README.md	0			no	independent
proveniencia/pa-009/README.md	0			no	independent
proveniencia/pa-010/README.md	0			no	independent
proveniencia/pa-011/README.md	0			no	independent
proveniencia/pa-012/README.md	0			no	independent
proveniencia/pa-013/README.md	0			no	independent
proveniencia/pa-014/README.md	0			no	independent
proveniencia/pa-015/README.md	0			no	independent
proveniencia/pa-016/README.md	0			no	independent
proveniencia/pa-017/README.md	0			no	independent
proveniencia/pa-018/README.md	0			no	independent
proveniencia/pa-019/README.md	0			no	independent
proveniencia/pa-020/README.md	0			no	independent
proveniencia/pa-021/README.md	0			no	independent
proveniencia/pa-022/README.md	0			no	independent
proveniencia/pa-023/README.md	0			no	independent
proveniencia/pa-024/README.md	0			no	independent
proveniencia/pa-025/README.md	0			no	independent
proveniencia/pa-026/README.md	0			no	independent
proveniencia/pa-027/README.md	0			no	independent
proveniencia/pa-028/README.md	0			no	independent
proveniencia/pa-029/README.md	0			no	independent
proveniencia/pa-030/README.md	0			no	independent
proveniencia/pa-031/README.md	0			no	independent
proveniencia/pa-032/README.md	0			no	independent
proveniencia/pa-033/README.md	0			no	independent
proveniencia/pa-034/README.md	0			no	independent
proveniencia/pa-035/README.md	0			no	independent
proveniencia/pa-036/README.md	0			no	independent
proveniencia/pa-037/README.md	0			no	independent
proveniencia/pa-038/README.md	0			no	independent
proveniencia/pa-039/README.md	0			no	independent
proveniencia/pa-040/README.md	0			no	independent
proveniencia/pa-041/README.md	0			no	independent
proveniencia/pa-042/README.md	0			no	independent
proveniencia/pa-043/README.md	0			no	independent
proveniencia/pa-044/README.md	0			no	independent
proveniencia/pa-045/README.md	0			no	independent
proveniencia/pa-046/README.md	0			no	independent
proveniencia/pa-047/README.md	0			no	independent
proveniencia/pa-048/README.md	0			no	independent
proveniencia/pa-049/README.md	0			no	independent
proveniencia/pa-050/README.md	0			no	independent
proveniencia/pa-051/README.md	0			no	independent
proveniencia/pa-052/README.md	0			no	independent
proveniencia/pa-053/README.md	0			no	independent
proveniencia/pa-054/README.md	0			no	independent
proveniencia/pa-055/README.md	0			no	independent
proveniencia/pa-056/README.md	0			no	independent
proveniencia/pa-057/README.md	0			no	independent
proveniencia/pa-058/README.md	0			no	independent
proveniencia/pa-059/README.md	0			no	independent
proveniencia/pa-060/README.md	0			no	independent
proveniencia/pa-061/README.md	0			no	independent
proveniencia/pa-062/README.md	0			no	independent
proveniencia/pa-063/README.md	0			no	independent
proveniencia/pa-064/README.md	0			no	independent
proveniencia/pa-065/README.md	0			no	independent
proveniencia/pa-066/README.md	0			no	independent
proveniencia/pla-audicio.md	0			no	independent
proveniencia/protocol-audicio-anotacio.md	0			no	independent
proveniencia/quadern-audicio-consens.md	0			no	independent
proveniencia/quadern-audicio-equilibrada-prioritzat.md	0			no	independent
proveniencia/quadern-audicio-forts-divergencies.md	0			no	independent
proveniencia/quadern-audicio-forts.md	0			no	independent
proveniencia/quadern-audicio-global.md	0			no	independent
proveniencia/quadern-audicio-incerteses.md	0			no	independent
proveniencia/quadern-audicio-small-equilibrada.md	0			no	independent
proveniencia/quadern-audicio-triple-complet.md	0			no	independent
proveniencia/quadern-formes-small-token.md	0			no	independent
proveniencia/quadern-sessions-canoniques.md	0			no	independent
proveniencia/referencies-institucionals-casos-persistents.md	7			no	independent
proveniencia/referencies-linguistiques.md	0			no	independent
proveniencia/resum-clusters-prosodia.md	0			no	independent
proveniencia/resum-estat-audicio.md	0			no	independent
proveniencia/sessions/sessio-01.md	0			no	independent
proveniencia/sessions/sessio-02.md	0			no	independent
proveniencia/sessions/sessio-03.md	0			no	independent
proveniencia/sessions/sessio-04.md	0			no	independent
proveniencia/sessions/sessio-05.md	0			no	independent
proveniencia/sessions/sessio-06.md	0			no	independent
