id_persona	forma	clip	local_start_s	local_end_s	absolute_start_s	absolute_end_s	prob_min	prob_mean	centre_rel_s	f0_hz	f1_hz	f2_hz	f3_hz	estat
pa-009	clar	clips/pa-009__clar__99.25.wav	3.230	3.520	102.480	102.770	0.9195	0.9195	3.375		1076.84	1736.28	2729.34	token QA; no és consens de dos models; pendent d'audició
pa-009	doncs	clips/pa-009__doncs__139.25.wav	0.000	0.500	139.250	139.750	0.2017	0.2017	0.250		1869.58	3298.29	3916.76	token QA; no és consens de dos models; pendent d'audició
pa-009	evidentment	clips/pa-009__evidentment__947.25.wav	1.000	1.740	948.250	948.990	0.9520	0.9711	1.370	150.34	457.97	1691.63	2233.40	token QA; no és consens de dos models; pendent d'audició
pa-009	o sigui	clips/pa-009__o-sigui__234.25.wav	2.110	2.460	236.360	236.710	0.2229	0.5901	2.285		1840.13	2728.25	3251.38	token QA; no és consens de dos models; pendent d'audició
pa-009	perquè	clips/pa-009__perqu__349.25.wav	0.000	0.560	349.250	349.810	0.2138	0.2138	0.280	136.60	395.64	1494.25	2679.44	token QA; no és consens de dos models; pendent d'audició
pa-010	clar	clips/pa-010__clar__334.85.wav	3.280	3.500	338.130	338.350	0.9866	0.9866	3.390		499.53	1825.84	3431.68	token QA; no és consens de dos models; pendent d'audició
pa-010	de fet	clips/pa-010__de-fet__647.25.wav	1.480	1.990	648.730	649.240	0.6151	0.8000	1.735		1543.46	2465.09	3706.89	token QA; no és consens de dos models; pendent d'audició
pa-010	doncs	clips/pa-010__doncs__24.65.wav	2.510	2.770	27.160	27.420	0.4795	0.7395	2.640	149.45	443.73	1474.45	2487.36	token QA; no és consens de dos models; pendent d'audició
pa-010	llavors	clips/pa-010__llavors__386.25.wav	0.850	1.720	387.100	387.970	0.7955	0.8972	1.285	123.36	251.26	1749.14	2495.81	token QA; no és consens de dos models; pendent d'audició
pa-010	perquè	clips/pa-010__perqu__196.65.wav	0.000	0.300	196.650	196.950	0.2814	0.2814	0.150		514.86	1785.02	2435.89	token QA; no és consens de dos models; pendent d'audició
