prioritat_global	score_evidencia	categoria	forma	id_persona	interval_escolta	clip	consens_dos_asr	coincidencia_temporal_asr	forma_en_qa	conf_min_segment	conf_min_base_segment	estat_audicio
9	9	A-triple-consens	llavors	pa-010	386.25-391.75	clips/pa-010__llavors__386.25.wav	sí	sí	sí	0.021	0.104	pendent
9	9	A-triple-consens	perquè	pa-010	196.65-201.55	clips/pa-010__perqu__196.65.wav	sí	sí	sí	0.032	0.062	pendent
9	9	A-triple-consens	és a dir	pa-010	243.25-249.55	clips/pa-010__s-a-dir__243.25.wav	sí	sí	sí	0.132	0.088	pendent
9	9	A-triple-consens	a veure	pa-011	551.81-556.27	clips/pa-011__a-veure__551.81.wav	sí	sí	sí	0.374	0.350	pendent
9	9	A-triple-consens	bé	pa-011	185.57-189.31	clips/pa-011__b__185.57.wav	sí	sí	sí	0.073	0.130	pendent
9	9	A-triple-consens	de fet	pa-011	557.25-561.31	clips/pa-011__de-fet__557.25.wav	sí	sí	sí	0.319	0.379	pendent
9	9	A-triple-consens	doncs	pa-011	61.49-69.07	clips/pa-011__doncs__61.49.wav	sí	sí	sí	0.064	0.082	pendent
9	9	A-triple-consens	perquè	pa-011	27.61-31.55	clips/pa-011__perqu__27.61.wav	sí	sí	sí	0.090	0.051	pendent
9	9	A-triple-consens	és a dir	pa-011	48.09-54.67	clips/pa-011__s-a-dir__48.09.wav	sí	sí	sí	0.095	0.122	pendent
9	9	A-triple-consens	perquè	pa-012	369.25-374.75	clips/pa-012__perqu__369.25.wav	sí	sí	sí	0.398	0.147	pendent
9	9	A-triple-consens	perquè	pa-013	433.89-442.03	clips/pa-013__perqu__433.89.wav	sí	sí	sí	0.144	0.059	pendent
9	9	A-triple-consens	és a dir	pa-013	579.17-586.75	clips/pa-013__s-a-dir__579.17.wav	sí	sí	sí	0.108	0.311	pendent
9	9	A-triple-consens	aviam	pa-014	875.45-883.95	clips/pa-014__aviam__875.45.wav	sí	sí	sí	0.014	0.253	pendent
9	9	A-triple-consens	crec	pa-014	153.25-160.55	clips/pa-014__crec__153.25.wav	sí	sí	sí	0.226	0.100	pendent
9	9	A-triple-consens	evidentment	pa-014	28.65-37.55	clips/pa-014__evidentment__28.65.wav	sí	sí	sí	0.042	0.050	pendent
9	9	A-triple-consens	o sigui	pa-014	658.45-674.95	clips/pa-014__o-sigui__658.45.wav	sí	sí	sí	0.481	0.237	pendent
9	9	A-triple-consens	perquè	pa-014	105.85-115.75	clips/pa-014__perqu__105.85.wav	sí	sí	sí	0.085	0.011	pendent
9	9	A-triple-consens	doncs	pa-015	83.25-87.75	clips/pa-015__doncs__83.25.wav	sí	sí	sí	0.176	0.064	pendent
9	9	A-triple-consens	perquè	pa-015	86.25-92.75	clips/pa-015__perqu__86.25.wav	sí	sí	sí	0.369	0.068	pendent
9	9	A-triple-consens	a nivell	pa-016	333.81-340.39	clips/pa-016__a-nivell__333.81.wav	sí	sí	sí	0.071	0.058	pendent
9	9	A-triple-consens	a veure	pa-016	369.73-375.91	clips/pa-016__a-veure__369.73.wav	sí	sí	sí	0.051	0.081	pendent
9	9	A-triple-consens	bé	pa-016	170.05-177.19	clips/pa-016__b__170.05.wav	sí	sí	sí	0.040	0.038	pendent
9	9	A-triple-consens	clar	pa-016	175.69-180.35	clips/pa-016__clar__175.69.wav	sí	sí	sí	0.054	0.144	pendent
9	9	A-triple-consens	de fet	pa-016	318.53-324.03	clips/pa-016__de-fet__318.53.wav	sí	sí	sí	0.032	0.144	pendent
9	9	A-triple-consens	doncs	pa-016	62.33-69.43	clips/pa-016__doncs__62.33.wav	sí	sí	sí	0.051	0.144	pendent
9	9	A-triple-consens	evidentment	pa-016	456.85-463.03	clips/pa-016__evidentment__456.85.wav	sí	sí	sí	0.217	0.215	pendent
9	9	A-triple-consens	llavors	pa-016	15.05-20.91	clips/pa-016__llavors__15.05.wav	sí	sí	sí	0.054	0.069	pendent
9	9	A-triple-consens	perquè	pa-016	79.77-85.39	clips/pa-016__perqu__79.77.wav	sí	sí	sí	0.050	0.022	pendent
