forma	id_persona	interval_escolta	interval_base	clip	estat_clip	sha256	duracio_s
bé	pa-030	436.45-441.63	437.76-440.80	clips/pa-030__b__436.45.wav	existent	a2c22fe4e653269b64a3b7ec83b036a7c3abd3365f8c7cc42117f002eafa0952	5.180
bé	pa-031	329.13-333.07		clips/pa-031__b__329.13.wav	existent-extraient-sense-overlap	c680c63dfdd7c2d74eb0878c279ea82bb0eb55725c0691e749bf3a8bcd42792f	3.940
bé	pa-032	270.41-274.95	272.92-276.80	clips/pa-032__b__270.41.wav	existent	88e847eb334de667032cb557c02e66845e7087862b7c33cae06edb1efa1b65e3	4.540
bé	pa-033	103.09-107.43	103.88-106.52	clips/pa-033__b__103.09.wav	existent	725afb8868c8e1569d935fba4ca043d834faa1535a5b5f66a934de8f1a3ff987	4.340
bé	pa-034	18.85-23.15		clips/pa-034__b__18.85.wav	existent-extraient-sense-overlap	1f30c9f13a81e15ff61db047cab9d99d2e40492184c452071145911d324552e8	4.300
bé	pa-035	715.81-720.31	716.20-719.20	clips/pa-035__b__715.81.wav	existent	3bee08777cae7cfb8a9cf69ee991e50de4e3a6df2dcc6fa1c3ba08e8e03a9507	4.500
bé	pa-036	69.45-75.15	70.40-73.16	clips/pa-036__b__69.45.wav	existent	92f1604a22b86f3c74aa7470883843d51e3dff1b7b7ce032f1b62aa1ee5ea6a5	5.700
bé	pa-037	105.29-124.79	107.08-109.72	clips/pa-037__b__105.29.wav	existent	06492e67f98cb5ff6ac0d9ccce990af01b2ac560f6a02ec29f9173dfe995ec1d	19.500
bé	pa-038	26.77-31.71	26.32-30.60	clips/pa-038__b__26.77.wav	existent	9a8b5b80d6eb8653df738050cd79666a39bc0cf09610a317185389a897599200	4.940
bé	pa-039	27.77-32.03	28.96-31.16	clips/pa-039__b__27.77.wav	existent	9f205fdb77948f20db612fa965d1b98ea9dbc5150d1a003937b7c95e563147d6	4.260
bé	pa-040	32.81-38.63	34.04-37.96	clips/pa-040__b__32.81.wav	existent	51b3eada431d0bcb5efe581e64a820ef089bd36a1baf27a15188ae4da8889b38	5.820
bé	pa-041	130.25-137.75	131.16-134.56	clips/pa-041__b__130.25.wav	existent	a68aff31d4d7e3d50c926aba76d9f17f320b994cb7e11d53f0d490839d7f8276	7.500
bé	pa-045	83.49-91.43	83.16-86.40	clips/pa-045__b__83.49.wav	existent	361724fa3ca9a5367697b671f81950f433a0411978eaf451e4c8caa62c80e325	7.940
bé	pa-046	348.81-352.55	349.64-351.80	clips/pa-046__b__348.81.wav	existent	3b278759a27898565a9ba4b20321e1da89b959bed4c0db4ef3e3c77fbb2509bf	3.740
bé	pa-048	495.73-502.83	496.24-499.24	clips/pa-048__b__495.73.wav	existent	c387285fa37a49bf0183699c28c6cb6ad52afae3d174891ae1339efe5fd8ea55	7.100
bé	pa-049	74.21-82.63		clips/pa-049__b__74.21.wav	existent-extraient-sense-overlap	ef676d09815d210cee31283bdddfd05be42d436a5698ffae0e503200b028ab61	8.420
bé	pa-053	90.81-95.91		clips/pa-053__b__90.81.wav	existent-extraient-sense-overlap	9115c12d369b3bb197dfd272adb3d2860e2a3852cdc1be7efef9bd8739b77ed1	5.100
bé	pa-054	128.77-134.43		clips/pa-054__b__128.77.wav	existent-extraient-sense-overlap	a47dc6b094324d82ae2182181c82f324cf26cccdab245eedc3d6e602d0e91998	5.660
bé	pa-055	358.57-362.07	359.84-363.84	clips/pa-055__b__358.57.wav	existent	34d71f23eaa5314c8bbc13163699ad7326deffbea0194e1fd6adcb261df23837	3.500
bé	pa-056	436.49-441.47		clips/pa-056__b__436.49.wav	existent-extraient-sense-overlap	be3e64d686c52927c96745d0ba7df289b9d0957d0da403ef1b1da9fb03b1766d	4.980
bé	pa-057	203.57-209.03		clips/pa-057__b__203.57.wav	existent-extraient-sense-overlap	5492b3b2cf53849c1b03e9bc5aea26566bf9aff819e50f36a6b5389fd86c814e	5.460
