id_persona	forma	clip	json_full	estat
pa-011	doncs	clips/pa-011__doncs__61.49.wav	qa-clips-json-full/pa-011__doncs__61_49.json	pendent-audicio
pa-011	perquè	clips/pa-011__perqu__27.61.wav	qa-clips-json-full/pa-011__perqu__27_61.json	pendent-audicio
pa-011	és a dir	clips/pa-011__s-a-dir__48.09.wav	qa-clips-json-full/pa-011__s-a-dir__48_09.json	pendent-audicio
pa-012	perquè	clips/pa-012__perqu__369.25.wav	qa-clips-json-full/pa-012__perqu__369_25.json	pendent-audicio
pa-013	perquè	clips/pa-013__perqu__433.89.wav	qa-clips-json-full/pa-013__perqu__433_89.json	pendent-audicio
pa-013	és a dir	clips/pa-013__s-a-dir__579.17.wav	qa-clips-json-full/pa-013__s-a-dir__579_17.json	pendent-audicio
pa-014	aviam	clips/pa-014__aviam__875.45.wav	qa-clips-json-full/pa-014__aviam__875_45.json	pendent-audicio
pa-014	crec	clips/pa-014__crec__153.25.wav	qa-clips-json-full/pa-014__crec__153_25.json	pendent-audicio
pa-014	evidentment	clips/pa-014__evidentment__28.65.wav	qa-clips-json-full/pa-014__evidentment__28_65.json	pendent-audicio
pa-014	o sigui	clips/pa-014__o-sigui__658.45.wav	qa-clips-json-full/pa-014__o-sigui__658_45.json	pendent-audicio
pa-014	perquè	clips/pa-014__perqu__105.85.wav	qa-clips-json-full/pa-014__perqu__105_85.json	pendent-audicio
pa-015	doncs	clips/pa-015__doncs__83.25.wav	qa-clips-json-full/pa-015__doncs__83_25.json	pendent-audicio
pa-015	perquè	clips/pa-015__perqu__86.25.wav	qa-clips-json-full/pa-015__perqu__86_25.json	pendent-audicio
pa-016	a nivell	clips/pa-016__a-nivell__333.81.wav	qa-clips-json-full/pa-016__a-nivell__333_81.json	pendent-audicio
pa-016	a veure	clips/pa-016__a-veure__369.73.wav	qa-clips-json-full/pa-016__a-veure__369_73.json	pendent-audicio
pa-016	bé	clips/pa-016__b__170.05.wav	qa-clips-json-full/pa-016__b__170_05.json	pendent-audicio
pa-016	clar	clips/pa-016__clar__175.69.wav	qa-clips-json-full/pa-016__clar__175_69.json	pendent-audicio
pa-016	de fet	clips/pa-016__de-fet__318.53.wav	qa-clips-json-full/pa-016__de-fet__318_53.json	pendent-audicio
pa-016	doncs	clips/pa-016__doncs__62.33.wav	qa-clips-json-full/pa-016__doncs__62_33.json	pendent-audicio
pa-016	evidentment	clips/pa-016__evidentment__456.85.wav	qa-clips-json-full/pa-016__evidentment__456_85.json	pendent-audicio
pa-016	llavors	clips/pa-016__llavors__15.05.wav	qa-clips-json-full/pa-016__llavors__15_05.json	pendent-audicio
pa-016	perquè	clips/pa-016__perqu__79.77.wav	qa-clips-json-full/pa-016__perqu__79_77.json	pendent-audicio
pa-016	vull dir	clips/pa-016__vull-dir__322.53.wav	qa-clips-json-full/pa-016__vull-dir__322_53.json	pendent-audicio
pa-017	a nivell	clips/pa-017__a-nivell__143.25.wav	qa-clips-json-full/pa-017__a-nivell__143_25.json	pendent-audicio
pa-017	clar	clips/pa-017__clar__34.45.wav	qa-clips-json-full/pa-017__clar__34_45.json	pendent-audicio
pa-017	doncs	clips/pa-017__doncs__459.25.wav	qa-clips-json-full/pa-017__doncs__459_25.json	pendent-audicio
pa-017	llavors	clips/pa-017__llavors__361.25.wav	qa-clips-json-full/pa-017__llavors__361_25.json	pendent-audicio
pa-017	perquè	clips/pa-017__perqu__4.25.wav	qa-clips-json-full/pa-017__perqu__4_25.json	pendent-audicio
pa-017	tirar endavant	clips/pa-017__tirar-endavant__49.85.wav	qa-clips-json-full/pa-017__tirar-endavant__49_85.json	pendent-audicio
pa-017	vull dir	clips/pa-017__vull-dir__272.25.wav	qa-clips-json-full/pa-017__vull-dir__272_25.json	pendent-audicio
pa-017	és a dir	clips/pa-017__s-a-dir__487.25.wav	qa-clips-json-full/pa-017__s-a-dir__487_25.json	pendent-audicio
pa-018	a nivell	clips/pa-018__a-nivell__188.45.wav	qa-clips-json-full/pa-018__a-nivell__188_45.json	pendent-audicio
pa-018	crec	clips/pa-018__crec__7.49.wav	qa-clips-json-full/pa-018__crec__7_49.json	pendent-audicio
pa-018	diguem	clips/pa-018__diguem__715.49.wav	qa-clips-json-full/pa-018__diguem__715_49.json	pendent-audicio
pa-018	perquè	clips/pa-018__perqu__91.09.wav	qa-clips-json-full/pa-018__perqu__91_09.json	pendent-audicio
pa-019	a nivell	clips/pa-019__a-nivell__122.25.wav	qa-clips-json-full/pa-019__a-nivell__122_25.json	pendent-audicio
pa-019	bueno	clips/pa-019__bueno__328.25.wav	qa-clips-json-full/pa-019__bueno__328_25.json	pendent-audicio
pa-019	bé	clips/pa-019__b__195.25.wav	qa-clips-json-full/pa-019__b__195_25.json	pendent-audicio
pa-019	crec	clips/pa-019__crec__27.25.wav	qa-clips-json-full/pa-019__crec__27_25.json	pendent-audicio
pa-019	diguem	clips/pa-019__diguem__109.25.wav	qa-clips-json-full/pa-019__diguem__109_25.json	pendent-audicio
pa-019	evidentment	clips/pa-019__evidentment__93.25.wav	qa-clips-json-full/pa-019__evidentment__93_25.json	pendent-audicio
pa-019	llavors	clips/pa-019__llavors__422.25.wav	qa-clips-json-full/pa-019__llavors__422_25.json	pendent-audicio
pa-020	aviam	clips/pa-020__aviam__252.21.wav	qa-clips-json-full/pa-020__aviam__252_21.json	pendent-audicio
pa-020	bé	clips/pa-020__b__146.37.wav	qa-clips-json-full/pa-020__b__146_37.json	pendent-audicio
pa-020	clar	clips/pa-020__clar__89.81.wav	qa-clips-json-full/pa-020__clar__89_81.json	pendent-audicio
pa-020	perquè	clips/pa-020__perqu__9.41.wav	qa-clips-json-full/pa-020__perqu__9_41.json	pendent-audicio
pa-021	bueno	clips/pa-021__bueno__12.25.wav	qa-clips-json-full/pa-021__bueno__12_25.json	pendent-audicio
pa-021	crec	clips/pa-021__crec__115.53.wav	qa-clips-json-full/pa-021__crec__115_53.json	pendent-audicio
pa-021	doncs	clips/pa-021__doncs__12.25.wav	qa-clips-json-full/pa-021__doncs__12_25.json	pendent-audicio
pa-021	evidentment	clips/pa-021__evidentment__211.41.wav	qa-clips-json-full/pa-021__evidentment__211_41.json	pendent-audicio
pa-021	perquè	clips/pa-021__perqu__15.45.wav	qa-clips-json-full/pa-021__perqu__15_45.json	pendent-audicio
pa-021	vull dir	clips/pa-021__vull-dir__314.29.wav	qa-clips-json-full/pa-021__vull-dir__314_29.json	pendent-audicio
pa-021	és a dir	clips/pa-021__s-a-dir__32.29.wav	qa-clips-json-full/pa-021__s-a-dir__32_29.json	pendent-audicio
pa-022	a veure	clips/pa-022__a-veure__238.61.wav	qa-clips-json-full/pa-022__a-veure__238_61.json	pendent-audicio
pa-022	clar	clips/pa-022__clar__107.73.wav	qa-clips-json-full/pa-022__clar__107_73.json	pendent-audicio
pa-022	crec	clips/pa-022__crec__243.73.wav	qa-clips-json-full/pa-022__crec__243_73.json	pendent-audicio
pa-022	evidentment	clips/pa-022__evidentment__303.01.wav	qa-clips-json-full/pa-022__evidentment__303_01.json	pendent-audicio
pa-022	o sigui	clips/pa-022__o-sigui__42.93.wav	qa-clips-json-full/pa-022__o-sigui__42_93.json	pendent-audicio
pa-022	perquè	clips/pa-022__perqu__111.69.wav	qa-clips-json-full/pa-022__perqu__111_69.json	pendent-audicio
pa-022	reformeta	clips/pa-022__reformeta__125.53.wav	qa-clips-json-full/pa-022__reformeta__125_53.json	pendent-audicio
pa-022	és a dir	clips/pa-022__s-a-dir__11.49.wav	qa-clips-json-full/pa-022__s-a-dir__11_49.json	pendent-audicio
pa-023	a nivell	clips/pa-023__a-nivell__418.57.wav	qa-clips-json-full/pa-023__a-nivell__418_57.json	pendent-audicio
pa-023	a veure	clips/pa-023__a-veure__268.81.wav	qa-clips-json-full/pa-023__a-veure__268_81.json	pendent-audicio
pa-023	bé	clips/pa-023__b__409.37.wav	qa-clips-json-full/pa-023__b__409_37.json	pendent-audicio
pa-023	perquè	clips/pa-023__perqu__29.09.wav	qa-clips-json-full/pa-023__perqu__29_09.json	pendent-audicio
pa-023	és a dir	clips/pa-023__s-a-dir__207.17.wav	qa-clips-json-full/pa-023__s-a-dir__207_17.json	pendent-audicio
pa-025	a veure	clips/pa-025__a-veure__388.01.wav	qa-clips-json-full/pa-025__a-veure__388_01.json	pendent-audicio
pa-025	crec	clips/pa-025__crec__4.25.wav	qa-clips-json-full/pa-025__crec__4_25.json	pendent-audicio
pa-025	de fet	clips/pa-025__de-fet__890.85.wav	qa-clips-json-full/pa-025__de-fet__890_85.json	pendent-audicio
pa-025	diguem	clips/pa-025__diguem__500.89.wav	qa-clips-json-full/pa-025__diguem__500_89.json	pendent-audicio
pa-025	evidentment	clips/pa-025__evidentment__1156.61.wav	qa-clips-json-full/pa-025__evidentment__1156_61.json	pendent-audicio
pa-025	perquè	clips/pa-025__perqu__37.17.wav	qa-clips-json-full/pa-025__perqu__37_17.json	pendent-audicio
pa-025	reformeta	clips/pa-025__reformeta__1085.53.wav	qa-clips-json-full/pa-025__reformeta__1085_53.json	pendent-audicio
pa-026	a nivell	clips/pa-026__a-nivell__38.25.wav	qa-clips-json-full/pa-026__a-nivell__38_25.json	pendent-audicio
pa-026	a veure	clips/pa-026__a-veure__64.09.wav	qa-clips-json-full/pa-026__a-veure__64_09.json	pendent-audicio
pa-026	perquè	clips/pa-026__perqu__150.53.wav	qa-clips-json-full/pa-026__perqu__150_53.json	pendent-audicio
pa-026	reformeta	clips/pa-026__reformeta__138.61.wav	qa-clips-json-full/pa-026__reformeta__138_61.json	pendent-audicio
pa-027	crec	clips/pa-027__crec__8.81.wav	qa-clips-json-full/pa-027__crec__8_81.json	pendent-audicio
