id_persona	forma	clip	json_full	estat
pa-048	llavors	clips/pa-048__llavors__1244.97.wav	qa-clips-json-full/pa-048__llavors__1244_97.json	pendent-audicio
pa-048	o sigui	clips/pa-048__o-sigui__581.65.wav	qa-clips-json-full/pa-048__o-sigui__581_65.json	pendent-audicio
pa-048	vull dir	clips/pa-048__vull-dir__993.69.wav	qa-clips-json-full/pa-048__vull-dir__993_69.json	pendent-audicio
pa-048	és a dir	clips/pa-048__s-a-dir__1130.61.wav	qa-clips-json-full/pa-048__s-a-dir__1130_61.json	pendent-audicio
pa-049	a veure	clips/pa-049__a-veure__244.85.wav	qa-clips-json-full/pa-049__a-veure__244_85.json	pendent-audicio
pa-049	bueno	clips/pa-049__bueno__269.05.wav	qa-clips-json-full/pa-049__bueno__269_05.json	pendent-audicio
pa-049	clar	clips/pa-049__clar__382.01.wav	qa-clips-json-full/pa-049__clar__382_01.json	pendent-audicio
pa-049	crec	clips/pa-049__crec__371.85.wav	qa-clips-json-full/pa-049__crec__371_85.json	pendent-audicio
pa-049	diguem	clips/pa-049__diguem__213.13.wav	qa-clips-json-full/pa-049__diguem__213_13.json	pendent-audicio
pa-049	o sigui	clips/pa-049__o-sigui__365.21.wav	qa-clips-json-full/pa-049__o-sigui__365_21.json	pendent-audicio
pa-053	perquè	clips/pa-053__perqu__113.93.wav	qa-clips-json-full/pa-053__perqu__113_93.json	pendent-audicio
pa-054	bueno	clips/pa-054__bueno__51.69.wav	qa-clips-json-full/pa-054__bueno__51_69.json	pendent-audicio
pa-054	perquè	clips/pa-054__perqu__80.45.wav	qa-clips-json-full/pa-054__perqu__80_45.json	pendent-audicio
pa-055	a nivell	clips/pa-055__a-nivell__38.09.wav	qa-clips-json-full/pa-055__a-nivell__38_09.json	pendent-audicio
pa-055	a veure	clips/pa-055__a-veure__63.89.wav	qa-clips-json-full/pa-055__a-veure__63_89.json	pendent-audicio
pa-055	evidentment	clips/pa-055__evidentment__1644.01.wav	qa-clips-json-full/pa-055__evidentment__1644_01.json	pendent-audicio
pa-055	perquè	clips/pa-055__perqu__148.53.wav	qa-clips-json-full/pa-055__perqu__148_53.json	pendent-audicio
pa-055	reformeta	clips/pa-055__reformeta__139.05.wav	qa-clips-json-full/pa-055__reformeta__139_05.json	pendent-audicio
pa-056	a veure	clips/pa-056__a-veure__673.21.wav	qa-clips-json-full/pa-056__a-veure__673_21.json	pendent-audicio
pa-056	clar	clips/pa-056__clar__62.45.wav	qa-clips-json-full/pa-056__clar__62_45.json	pendent-audicio
pa-056	crec	clips/pa-056__crec__347.05.wav	qa-clips-json-full/pa-056__crec__347_05.json	pendent-audicio
pa-056	evidentment	clips/pa-056__evidentment__43.45.wav	qa-clips-json-full/pa-056__evidentment__43_45.json	pendent-audicio
pa-056	perquè	clips/pa-056__perqu__31.73.wav	qa-clips-json-full/pa-056__perqu__31_73.json	pendent-audicio
pa-056	tirar endavant	clips/pa-056__tirar-endavant__185.53.wav	qa-clips-json-full/pa-056__tirar-endavant__185_53.json	pendent-audicio
pa-056	vull dir	clips/pa-056__vull-dir__842.65.wav	qa-clips-json-full/pa-056__vull-dir__842_65.json	pendent-audicio
pa-057	diguem	clips/pa-057__diguem__929.81.wav	qa-clips-json-full/pa-057__diguem__929_81.json	pendent-audicio
pa-057	llavors	clips/pa-057__llavors__42.85.wav	qa-clips-json-full/pa-057__llavors__42_85.json	pendent-audicio
pa-057	perquè	clips/pa-057__perqu__249.45.wav	qa-clips-json-full/pa-057__perqu__249_45.json	pendent-audicio
pa-058	a nivell	clips/pa-058__a-nivell__188.37.wav	qa-clips-json-full/pa-058__a-nivell__188_37.json	pendent-audicio
pa-058	diguem	clips/pa-058__diguem__715.21.wav	qa-clips-json-full/pa-058__diguem__715_21.json	pendent-audicio
pa-058	perquè	clips/pa-058__perqu__91.09.wav	qa-clips-json-full/pa-058__perqu__91_09.json	pendent-audicio
pa-058	vull dir	clips/pa-058__vull-dir__975.13.wav	qa-clips-json-full/pa-058__vull-dir__975_13.json	pendent-audicio
pa-058	és a dir	clips/pa-058__s-a-dir__74.41.wav	qa-clips-json-full/pa-058__s-a-dir__74_41.json	pendent-audicio
pa-059	a nivell	clips/pa-059__a-nivell__142.93.wav	qa-clips-json-full/pa-059__a-nivell__142_93.json	pendent-audicio
pa-059	clar	clips/pa-059__clar__36.61.wav	qa-clips-json-full/pa-059__clar__36_61.json	pendent-audicio
pa-059	perquè	clips/pa-059__perqu__4.09.wav	qa-clips-json-full/pa-059__perqu__4_09.json	pendent-audicio
pa-059	tirar endavant	clips/pa-059__tirar-endavant__49.77.wav	qa-clips-json-full/pa-059__tirar-endavant__49_77.json	pendent-audicio
pa-059	vull dir	clips/pa-059__vull-dir__271.81.wav	qa-clips-json-full/pa-059__vull-dir__271_81.json	pendent-audicio
pa-059	és a dir	clips/pa-059__s-a-dir__487.81.wav	qa-clips-json-full/pa-059__s-a-dir__487_81.json	pendent-audicio
pa-060	a veure	clips/pa-060__a-veure__268.57.wav	qa-clips-json-full/pa-060__a-veure__268_57.json	pendent-audicio
pa-060	crec	clips/pa-060__crec__42.05.wav	qa-clips-json-full/pa-060__crec__42_05.json	pendent-audicio
pa-060	de fet	clips/pa-060__de-fet__72.57.wav	qa-clips-json-full/pa-060__de-fet__72_57.json	pendent-audicio
pa-060	perquè	clips/pa-060__perqu__29.05.wav	qa-clips-json-full/pa-060__perqu__29_05.json	pendent-audicio
pa-060	és a dir	clips/pa-060__s-a-dir__207.33.wav	qa-clips-json-full/pa-060__s-a-dir__207_33.json	pendent-audicio
pa-061	a nivell	clips/pa-061__a-nivell__1357.21.wav	qa-clips-json-full/pa-061__a-nivell__1357_21.json	pendent-audicio
pa-061	a veure	clips/pa-061__a-veure__579.17.wav	qa-clips-json-full/pa-061__a-veure__579_17.json	pendent-audicio
pa-061	bueno	clips/pa-061__bueno__171.05.wav	qa-clips-json-full/pa-061__bueno__171_05.json	pendent-audicio
pa-061	bé	clips/pa-061__b__662.89.wav	qa-clips-json-full/pa-061__b__662_89.json	pendent-audicio
pa-061	crec	clips/pa-061__crec__428.85.wav	qa-clips-json-full/pa-061__crec__428_85.json	pendent-audicio
pa-061	evidentment	clips/pa-061__evidentment__672.69.wav	qa-clips-json-full/pa-061__evidentment__672_69.json	pendent-audicio
pa-061	llavors	clips/pa-061__llavors__380.77.wav	qa-clips-json-full/pa-061__llavors__380_77.json	pendent-audicio
pa-062	bueno	clips/pa-062__bueno__297.17.wav	qa-clips-json-full/pa-062__bueno__297_17.json	pendent-audicio
pa-062	crec	clips/pa-062__crec__1037.89.wav	qa-clips-json-full/pa-062__crec__1037_89.json	pendent-audicio
pa-062	diguem	clips/pa-062__diguem__191.37.wav	qa-clips-json-full/pa-062__diguem__191_37.json	pendent-audicio
pa-062	perquè	clips/pa-062__perqu__73.97.wav	qa-clips-json-full/pa-062__perqu__73_97.json	pendent-audicio
pa-062	és a dir	clips/pa-062__s-a-dir__973.65.wav	qa-clips-json-full/pa-062__s-a-dir__973_65.json	pendent-audicio
pa-063	a nivell	clips/pa-063__a-nivell__1143.61.wav	qa-clips-json-full/pa-063__a-nivell__1143_61.json	pendent-audicio
pa-063	a veure	clips/pa-063__a-veure__402.13.wav	qa-clips-json-full/pa-063__a-veure__402_13.json	pendent-audicio
pa-063	bé	clips/pa-063__b__105.97.wav	qa-clips-json-full/pa-063__b__105_97.json	pendent-audicio
pa-063	clar	clips/pa-063__clar__392.49.wav	qa-clips-json-full/pa-063__clar__392_49.json	pendent-audicio
pa-063	doncs	clips/pa-063__doncs__609.05.wav	qa-clips-json-full/pa-063__doncs__609_05.json	pendent-audicio
pa-063	llavors	clips/pa-063__llavors__39.49.wav	qa-clips-json-full/pa-063__llavors__39_49.json	pendent-audicio
pa-063	perquè	clips/pa-063__perqu__142.61.wav	qa-clips-json-full/pa-063__perqu__142_61.json	pendent-audicio
pa-064	a veure	clips/pa-064__a-veure__587.61.wav	qa-clips-json-full/pa-064__a-veure__587_61.json	pendent-audicio
pa-064	bé	clips/pa-064__b__97.93.wav	qa-clips-json-full/pa-064__b__97_93.json	pendent-audicio
pa-064	clar	clips/pa-064__clar__109.97.wav	qa-clips-json-full/pa-064__clar__109_97.json	pendent-audicio
pa-064	crec	clips/pa-064__crec__1335.77.wav	qa-clips-json-full/pa-064__crec__1335_77.json	pendent-audicio
pa-064	o sigui	clips/pa-064__o-sigui__36.73.wav	qa-clips-json-full/pa-064__o-sigui__36_73.json	pendent-audicio
pa-064	és a dir	clips/pa-064__s-a-dir__258.61.wav	qa-clips-json-full/pa-064__s-a-dir__258_61.json	pendent-audicio
pa-065	bé	clips/pa-065__b__138.57.wav	qa-clips-json-full/pa-065__b__138_57.json	pendent-audicio
pa-065	clar	clips/pa-065__clar__221.29.wav	qa-clips-json-full/pa-065__clar__221_29.json	pendent-audicio
pa-065	crec	clips/pa-065__crec__1276.85.wav	qa-clips-json-full/pa-065__crec__1276_85.json	pendent-audicio
pa-065	doncs	clips/pa-065__doncs__157.49.wav	qa-clips-json-full/pa-065__doncs__157_49.json	pendent-audicio
pa-065	o sigui	clips/pa-065__o-sigui__191.65.wav	qa-clips-json-full/pa-065__o-sigui__191_65.json	pendent-audicio
pa-065	perquè	clips/pa-065__perqu__129.17.wav	qa-clips-json-full/pa-065__perqu__129_17.json	pendent-audicio
pa-065	és a dir	clips/pa-065__s-a-dir__221.29.wav	qa-clips-json-full/pa-065__s-a-dir__221_29.json	pendent-audicio
pa-066	a nivell	clips/pa-066__a-nivell__25.21.wav	qa-clips-json-full/pa-066__a-nivell__25_21.json	pendent-audicio
pa-066	bueno	clips/pa-066__bueno__357.23.wav	qa-clips-json-full/pa-066__bueno__357_23.json	pendent-audicio
pa-066	bé	clips/pa-066__b__10.13.wav	qa-clips-json-full/pa-066__b__10_13.json	pendent-audicio
pa-066	crec	clips/pa-066__crec__219.63.wav	qa-clips-json-full/pa-066__crec__219_63.json	pendent-audicio
pa-066	de fet	clips/pa-066__de-fet__44.37.wav	qa-clips-json-full/pa-066__de-fet__44_37.json	pendent-audicio
pa-066	evidentment	clips/pa-066__evidentment__89.75.wav	qa-clips-json-full/pa-066__evidentment__89_75.json	pendent-audicio
pa-066	llavors	clips/pa-066__llavors__16.21.wav	qa-clips-json-full/pa-066__llavors__16_21.json	pendent-audicio
pa-066	perquè	clips/pa-066__perqu__21.81.wav	qa-clips-json-full/pa-066__perqu__21_81.json	pendent-audicio
