id_persona	forma	clip	absolute_start_s	absolute_end_s	prob_min	punt	proporcio	temps_rel_s	f0_hz	f1_hz	f2_hz	f3_hz	intensity_db
pa-008	a veure	clips/pa-008__a-veure__668.25.wav	670.060	670.740	0.9329	2	0.35	2.048	163.26	480.70	1750.09	2900.41	65.05
pa-008	a veure	clips/pa-008__a-veure__668.25.wav	670.060	670.740	0.9329	3	0.50	2.150	160.21	492.62	1769.45	3053.54	63.17
pa-008	a veure	clips/pa-008__a-veure__668.25.wav	670.060	670.740	0.9329	4	0.65	2.252	180.28	517.73	1672.01	2344.66	68.70
pa-008	a veure	clips/pa-008__a-veure__668.25.wav	670.060	670.740	0.9329	5	0.80	2.354	177.20	410.84	1190.80	3126.83	65.55
pa-008	aleshores	clips/pa-008__aleshores__1315.25.wav	1316.250	1316.720	0.3096	1	0.20	1.094		806.96	1761.00	3099.15	43.90
pa-008	aleshores	clips/pa-008__aleshores__1315.25.wav	1316.250	1316.720	0.3096	2	0.35	1.164		1308.68	1705.16	2990.68	41.82
pa-008	aleshores	clips/pa-008__aleshores__1315.25.wav	1316.250	1316.720	0.3096	3	0.50	1.235		1664.16	2363.70	3128.22	39.60
pa-008	aleshores	clips/pa-008__aleshores__1315.25.wav	1316.250	1316.720	0.3096	4	0.65	1.305		677.10	1568.18	2828.87	36.45
pa-008	aleshores	clips/pa-008__aleshores__1315.25.wav	1316.250	1316.720	0.3096	5	0.80	1.376		1265.86	2282.77	3206.34	31.47
pa-009	bé	clips/pa-009__b__557.25.wav	560.680	560.930	0.9886	1	0.20	3.480	138.69	433.24	1234.39	2523.04	64.99
pa-009	bé	clips/pa-009__b__557.25.wav	560.680	560.930	0.9886	2	0.35	3.518	178.71	438.68	1190.06	2468.60	60.11
pa-009	bé	clips/pa-009__b__557.25.wav	560.680	560.930	0.9886	3	0.50	3.555	217.49	340.48	1174.53	2388.64	55.46
pa-009	bé	clips/pa-009__b__557.25.wav	560.680	560.930	0.9886	4	0.65	3.593	120.29	495.37	1708.63	2526.39	54.48
pa-009	bé	clips/pa-009__b__557.25.wav	560.680	560.930	0.9886	5	0.80	3.630	116.49	529.92	1880.14	2555.46	53.31
pa-009	evidentment	clips/pa-009__evidentment__947.25.wav	948.160	948.930	0.4761	1	0.20	1.064	161.03	486.86	1959.88	2541.04	64.23
pa-009	evidentment	clips/pa-009__evidentment__947.25.wav	948.160	948.930	0.4761	2	0.35	1.179	192.32	322.56	2256.15	3652.32	68.02
pa-009	evidentment	clips/pa-009__evidentment__947.25.wav	948.160	948.930	0.4761	3	0.50	1.295	153.64	621.08	1772.44	2446.18	67.11
pa-009	evidentment	clips/pa-009__evidentment__947.25.wav	948.160	948.930	0.4761	4	0.65	1.410	156.15	381.46	1936.23	2591.16	61.92
pa-009	evidentment	clips/pa-009__evidentment__947.25.wav	948.160	948.930	0.4761	5	0.80	1.526	148.26	544.22	1617.93	2390.58	62.88
pa-010	clar	clips/pa-010__clar__334.85.wav	338.150	338.300	0.8078	1	0.20	3.330		1641.03	3076.81	3443.85	49.53
pa-010	clar	clips/pa-010__clar__334.85.wav	338.150	338.300	0.8078	2	0.35	3.353		1569.63	3191.35	3463.48	46.09
pa-010	clar	clips/pa-010__clar__334.85.wav	338.150	338.300	0.8078	3	0.50	3.375		1743.47	3386.13	3488.35	47.29
pa-010	clar	clips/pa-010__clar__334.85.wav	338.150	338.300	0.8078	4	0.65	3.397		516.29	2101.27	3454.02	51.15
pa-010	clar	clips/pa-010__clar__334.85.wav	338.150	338.300	0.8078	5	0.80	3.420		640.65	647.63	2594.67	59.68
pa-011	bé	clips/pa-011__b__185.57.wav	187.940	188.040	0.9981	1	0.20	2.390	181.01	511.71	1468.14	1802.77	69.16
pa-011	bé	clips/pa-011__b__185.57.wav	187.940	188.040	0.9981	2	0.35	2.405	180.25	424.92	1479.47	1864.15	71.51
