forma	id_persona	estat_persona	interval_font	interval_escolta	interval_base	coincidencia_temporal_asr	conf_min_segment	conf_min_base_segment	prioritat_asr	consens_dos_asr	ratio_veu_wav	f0_median_hz_orientatiu	clip_suggerit	estat_audicio	forma_confirmada_auditivament	nota_audicio	trets_fonetics_observats	prioritat_global
és a dir	pa-023	analitzada-provisional-contextual	207.92-212.80	207.17-213.55	207.80-212.80	sí	0.046	0.162	alta	sí	0.6249	136.86	clips/pa-023__s-a-dir__207.17.wav	pendent				9
a veure	pa-025	analitzada-provisional-contextual	388.76-394.48	388.01-395.23	388.80-390.96	sí	0.037	0.072	alta	sí	0.5929	247.75	clips/pa-025__a-veure__388.01.wav	pendent				9
bueno	pa-025	analitzada-provisional-contextual	910.00-913.32	909.25-914.07	909.72-913.12	sí	0.048	0.120	alta	sí	0.5929	247.75	clips/pa-025__bueno__909.25.wav	pendent				9
bé	pa-025	analitzada-provisional-contextual	1024.52-1026.92	1023.77-1027.67	1024.60-1026.84	sí	0.147	0.085	alta	sí	0.5929	247.75	clips/pa-025__b__1023.77.wav	pendent				9
crec	pa-025	analitzada-provisional-contextual	5.00-8.36	4.25-9.11	0.00-12.00	sí	0.022	0.032	alta	sí	0.5929	247.75	clips/pa-025__crec__4.25.wav	pendent				9
de fet	pa-025	analitzada-provisional-contextual	891.60-893.56	890.85-894.31	891.36-895.76	sí	0.055	0.121	alta	sí	0.5929	247.75	clips/pa-025__de-fet__890.85.wav	pendent				9
diguem	pa-025	analitzada-provisional-contextual	501.64-505.68	500.89-506.43	501.76-505.44	sí	0.036	0.063	alta	sí	0.5929	247.75	clips/pa-025__diguem__500.89.wav	pendent				9
doncs	pa-025	analitzada-provisional-contextual	60.64-65.28	59.89-66.03	60.52-65.16	sí	0.022	0.131	alta	sí	0.5929	247.75	clips/pa-025__doncs__59.89.wav	pendent				9
evidentment	pa-025	analitzada-provisional-contextual	1157.36-1159.56	1156.61-1160.31	1154.44-1157.80	sí	0.063	0.070	alta	sí	0.5929	247.75	clips/pa-025__evidentment__1156.61.wav	pendent				9
perquè	pa-025	analitzada-provisional-contextual	37.92-39.68	37.17-40.43	37.92-39.60	sí	0.032	0.033	alta	sí	0.5929	247.75	clips/pa-025__perqu__37.17.wav	pendent				9
reformeta	pa-025	analitzada-provisional-contextual	1086.28-1090.76	1085.53-1091.51	1081.24-1088.24	sí	0.083	0.061	alta	sí	0.5929	247.75	clips/pa-025__reformeta__1085.53.wav	pendent				9
vull dir	pa-025	analitzada-provisional-contextual	644.48-648.84	643.73-649.59	644.48-646.72	sí	0.170	0.036	alta	sí	0.5929	247.75	clips/pa-025__vull-dir__643.73.wav	pendent				9
és a dir	pa-025	analitzada-provisional-contextual	65.36-70.20	64.61-70.95	65.24-70.16	sí	0.059	0.106	alta	sí	0.5929	247.75	clips/pa-025__s-a-dir__64.61.wav	pendent				9
a nivell	pa-026	analitzada-provisional-contextual	39.00-41.00	38.25-41.75	39.24-45.72	sí	0.071	0.074	alta	sí	0.4779	260.14	clips/pa-026__a-nivell__38.25.wav	pendent				9
a veure	pa-026	analitzada-provisional-contextual	64.84-67.64	64.09-68.39	63.04-67.44	sí	0.041	0.316	alta	sí	0.4779	260.14	clips/pa-026__a-veure__64.09.wav	pendent				9
bueno	pa-026	analitzada-provisional-contextual	195.64-200.00	194.89-200.75	195.76-200.04	sí	0.034	0.090	alta	sí	0.4779	260.14	clips/pa-026__bueno__194.89.wav	pendent				9
clar	pa-026	analitzada-provisional-contextual	7.08-8.92	6.33-9.67	7.16-8.88	sí	0.033	0.077	alta	sí	0.4779	260.14	clips/pa-026__clar__6.33.wav	pendent				9
evidentment	pa-026	analitzada-provisional-contextual	1649.56-1653.08	1648.81-1653.83	1646.16-1650.36	sí	0.103	0.101	alta	sí	0.4779	260.14	clips/pa-026__evidentment__1648.81.wav	pendent				9
perquè	pa-026	analitzada-provisional-contextual	151.28-155.92	150.53-156.67	150.32-155.88	sí	0.056	0.099	alta	sí	0.4779	260.14	clips/pa-026__perqu__150.53.wav	pendent				9
reformeta	pa-026	analitzada-provisional-contextual	139.36-144.92	138.61-145.67	139.40-144.92	sí	0.100	0.045	alta	sí	0.4779	260.14	clips/pa-026__reformeta__138.61.wav	pendent				9
és a dir	pa-026	analitzada-provisional-contextual	64.84-67.64	64.09-68.39	63.04-67.44	sí	0.041	0.316	alta	sí	0.4779	260.14	clips/pa-026__s-a-dir__64.09.wav	pendent				9
bé	pa-027	analitzada-provisional-contextual	31.72-35.80	30.97-36.55	31.76-35.72	sí	0.047	0.095	alta	sí	0.5503	223.42	clips/pa-027__b__30.97.wav	pendent				9
crec	pa-027	analitzada-provisional-contextual	9.56-13.64	8.81-14.39	8.80-12.04	sí	0.030	0.075	alta	sí	0.5503	223.42	clips/pa-027__crec__8.81.wav	pendent				9
de fet	pa-027	analitzada-provisional-contextual	110.20-114.36	109.45-115.11	111.04-114.24	sí	0.161	0.045	alta	sí	0.5503	223.42	clips/pa-027__de-fet__109.45.wav	pendent				9
diguem	pa-027	analitzada-provisional-contextual	58.52-62.52	57.77-63.27	58.72-62.64	sí	0.038	0.124	alta	sí	0.5503	223.42	clips/pa-027__diguem__57.77.wav	pendent				9
doncs	pa-027	analitzada-provisional-contextual	18.76-23.76	18.01-24.51	18.88-23.72	sí	0.034	0.081	alta	sí	0.5503	223.42	clips/pa-027__doncs__18.01.wav	pendent				9
evidentment	pa-027	analitzada-provisional-contextual	174.84-177.48	174.09-178.23	174.72-177.32	sí	0.094	0.037	alta	sí	0.5503	223.42	clips/pa-027__evidentment__174.09.wav	pendent				9
perquè	pa-027	analitzada-provisional-contextual	9.56-13.64	8.81-14.39	8.80-12.04	sí	0.050	0.075	alta	sí	0.5503	223.42	clips/pa-027__perqu__8.81.wav	pendent				9
bueno	pa-028	analitzada-provisional-contextual	29.12-31.84	28.37-32.59	28.60-30.40	sí	0.022	0.028	alta	sí	0.4831	137.61	clips/pa-028__bueno__28.37.wav	pendent				9
bé	pa-028	analitzada-provisional-contextual	183.24-186.64	182.49-187.39	183.32-186.72	sí	0.064	0.058	alta	sí	0.4831	137.61	clips/pa-028__b__182.49.wav	pendent				9
clar	pa-028	analitzada-provisional-contextual	291.08-294.40	290.33-295.15	291.00-295.12	sí	0.074	0.071	alta	sí	0.4831	137.61	clips/pa-028__clar__290.33.wav	pendent				9
de fet	pa-028	analitzada-provisional-contextual	31.92-36.32	31.17-37.07	33.48-36.36	sí	0.093	0.061	alta	sí	0.4831	137.61	clips/pa-028__de-fet__31.17.wav	pendent				9
diguem	pa-028	analitzada-provisional-contextual	169.64-173.40	168.89-174.15	169.68-176.48	sí	0.067	0.095	alta	sí	0.4831	137.61	clips/pa-028__diguem__168.89.wav	pendent				9
doncs	pa-028	analitzada-provisional-contextual	330.08-334.04	329.33-334.79	329.84-333.72	sí	0.092	0.130	alta	sí	0.4831	137.61	clips/pa-028__doncs__329.33.wav	pendent				9
llavors	pa-028	analitzada-provisional-contextual	151.76-155.16	151.01-155.91	151.80-155.08	sí	0.067	0.069	alta	sí	0.4831	137.61	clips/pa-028__llavors__151.01.wav	pendent				9
perquè	pa-028	analitzada-provisional-contextual	143.64-147.24	142.89-147.99	143.48-149.12	sí	0.047	0.071	alta	sí	0.4831	137.61	clips/pa-028__perqu__142.89.wav	pendent				9
a nivell	pa-029	analitzada-provisional-contextual	417.84-420.72	417.09-421.47	417.84-420.76	sí	0.072	0.080	alta	sí	0.5524	205.71	clips/pa-029__a-nivell__417.09.wav	pendent				9
clar	pa-029	analitzada-provisional-contextual	359.36-361.36	358.61-362.11	358.28-363.28	sí	0.224	0.085	alta	sí	0.5524	205.71	clips/pa-029__clar__358.61.wav	pendent				9
diguem	pa-029	analitzada-provisional-contextual	930.44-934.76	929.69-935.51	930.60-934.60	sí	0.116	0.180	alta	sí	0.5524	205.71	clips/pa-029__diguem__929.69.wav	pendent				9
tirar endavant	pa-029	analitzada-provisional-contextual	57.48-62.48	56.73-63.23	57.44-62.44	sí	0.064	0.116	alta	sí	0.5524	205.71	clips/pa-029__tirar-endavant__56.73.wav	pendent				9
a veure	pa-030	analitzada-provisional-contextual	674.16-676.16	673.41-676.91	673.84-675.92	sí	0.138	0.052	alta	sí	0.5426	140.30	clips/pa-030__a-veure__673.41.wav	pendent				9
bueno	pa-030	analitzada-provisional-contextual	459.80-462.32	459.05-463.07	459.76-462.04	sí	0.083	0.100	alta	sí	0.5426	140.30	clips/pa-030__bueno__459.05.wav	pendent				9
bé	pa-030	analitzada-provisional-contextual	437.20-440.88	436.45-441.63	437.76-440.80	sí	0.033	0.081	alta	sí	0.5426	140.30	clips/pa-030__b__436.45.wav	pendent				9
clar	pa-030	analitzada-provisional-contextual	62.64-66.08	61.89-66.83	62.40-66.00	sí	0.033	0.145	alta	sí	0.5426	140.30	clips/pa-030__clar__61.89.wav	pendent				9
crec	pa-030	analitzada-provisional-contextual	347.20-352.24	346.45-352.99	347.16-352.44	sí	0.022	0.054	alta	sí	0.5426	140.30	clips/pa-030__crec__346.45.wav	pendent				9
evidentment	pa-030	analitzada-provisional-contextual	44.28-47.88	43.53-48.63	44.52-48.32	sí	0.086	0.203	alta	sí	0.5426	140.30	clips/pa-030__evidentment__43.53.wav	pendent				9
perquè	pa-030	analitzada-provisional-contextual	32.64-35.64	31.89-36.39	32.72-35.72	sí	0.022	0.114	alta	sí	0.5426	140.30	clips/pa-030__perqu__31.89.wav	pendent				9
vull dir	pa-030	analitzada-provisional-contextual	843.44-847.48	842.69-848.23	843.52-847.56	sí	0.080	0.077	alta	sí	0.5426	140.30	clips/pa-030__vull-dir__842.69.wav	pendent				9
és a dir	pa-030	analitzada-provisional-contextual	193.88-198.68	193.13-199.43	194.12-198.44	sí	0.061	0.074	alta	sí	0.5426	140.30	clips/pa-030__s-a-dir__193.13.wav	pendent				9
bueno	pa-031	analitzada-provisional-contextual	112.48-114.92	111.73-115.67	110.00-116.80	sí	0.019	0.108	alta	sí	0.5634	150.72	clips/pa-031__bueno__111.73.wav	pendent				9
crec	pa-031	analitzada-provisional-contextual	87.76-91.88	87.01-92.63	87.16-93.72	sí	0.033	0.057	alta	sí	0.5634	150.72	clips/pa-031__crec__87.01.wav	pendent				9
de fet	pa-031	analitzada-provisional-contextual	10.68-13.48	9.93-14.23	10.72-13.40	sí	0.133	0.189	alta	sí	0.5634	150.72	clips/pa-031__de-fet__9.93.wav	pendent				9
perquè	pa-031	analitzada-provisional-contextual	33.44-36.72	32.69-37.47	33.48-36.64	sí	0.060	0.087	alta	sí	0.5634	150.72	clips/pa-031__perqu__32.69.wav	pendent				9
vull dir	pa-031	analitzada-provisional-contextual	208.52-212.00	207.77-212.75	208.44-210.84	sí	0.108	0.078	alta	sí	0.5634	150.72	clips/pa-031__vull-dir__207.77.wav	pendent				9
bueno	pa-032	analitzada-provisional-contextual	45.48-49.88	44.73-50.63	44.64-49.64	sí	0.065	0.065	alta	sí	0.4974	219.16	clips/pa-032__bueno__44.73.wav	pendent				9
bé	pa-032	analitzada-provisional-contextual	271.16-274.20	270.41-274.95	272.92-276.80	sí	0.044	0.073	alta	sí	0.4974	219.16	clips/pa-032__b__270.41.wav	pendent				9
clar	pa-032	analitzada-provisional-contextual	156.08-161.40	155.33-162.15	156.08-160.60	sí	0.021	0.061	alta	sí	0.4974	219.16	clips/pa-032__clar__155.33.wav	pendent				9
perquè	pa-032	analitzada-provisional-contextual	9.96-14.32	9.21-15.07	10.00-14.72	sí	0.042	0.036	alta	sí	0.4974	219.16	clips/pa-032__perqu__9.21.wav	pendent				9
bé	pa-033	analitzada-provisional-contextual	103.84-106.68	103.09-107.43	103.88-106.52	sí	0.078	0.101	alta	sí	0.5461	281.48	clips/pa-033__b__103.09.wav	pendent				9
clar	pa-033	analitzada-provisional-contextual	55.24-56.92	54.49-57.67	54.80-57.52	sí	0.122	0.101	alta	sí	0.5461	281.48	clips/pa-033__clar__54.49.wav	pendent				9
diguem	pa-033	analitzada-provisional-contextual	49.76-55.16	49.01-55.91	49.68-54.72	sí	0.122	0.105	alta	sí	0.5461	281.48	clips/pa-033__diguem__49.01.wav	pendent				9
doncs	pa-033	analitzada-provisional-contextual	7.36-10.04	6.61-10.79	7.28-9.96	sí	0.092	0.092	alta	sí	0.5461	281.48	clips/pa-033__doncs__6.61.wav	pendent				9
perquè	pa-033	analitzada-provisional-contextual	19.64-22.68	18.89-23.43	19.64-24.36	sí	0.078	0.085	alta	sí	0.5461	281.48	clips/pa-033__perqu__18.89.wav	pendent				9
vull dir	pa-033	analitzada-provisional-contextual	57.00-61.88	56.25-62.63	54.80-57.52	sí	0.059	0.101	alta	sí	0.5461	281.48	clips/pa-033__vull-dir__56.25.wav	pendent				9
a nivell	pa-034	analitzada-provisional-contextual	144.56-148.16	143.81-148.91	144.52-148.04	sí	0.039	0.101	alta	sí	0.6198	199.61	clips/pa-034__a-nivell__143.81.wav	pendent				9
a veure	pa-034	analitzada-provisional-contextual	94.80-99.64	94.05-100.39	94.72-99.44	sí	0.045	0.029	alta	sí	0.6198	199.61	clips/pa-034__a-veure__94.05.wav	pendent				9
clar	pa-034	analitzada-provisional-contextual	55.80-58.96	55.05-59.71	56.00-59.24	sí	0.039	0.096	alta	sí	0.6198	199.61	clips/pa-034__clar__55.05.wav	pendent				9
crec	pa-034	analitzada-provisional-contextual	652.40-656.52	651.65-657.27	652.12-656.32	sí	0.096	0.047	alta	sí	0.6198	199.61	clips/pa-034__crec__651.65.wav	pendent				9
diguem	pa-034	analitzada-provisional-contextual	505.20-507.76	504.45-508.51	504.08-507.08	sí	0.056	0.083	alta	sí	0.6198	199.61	clips/pa-034__diguem__504.45.wav	pendent				9
perquè	pa-034	analitzada-provisional-contextual	52.60-55.72	51.85-56.47	54.32-55.92	sí	0.025	0.163	alta	sí	0.6198	199.61	clips/pa-034__perqu__51.85.wav	pendent				9
reformeta	pa-034	analitzada-provisional-contextual	192.08-197.84	191.33-198.59	193.96-197.92	sí	0.109	0.042	alta	sí	0.6198	199.61	clips/pa-034__reformeta__191.33.wav	pendent				9
tirar endavant	pa-034	analitzada-provisional-contextual	691.08-694.92	690.33-695.67	691.36-695.16	sí	0.082	0.151	alta	sí	0.6198	199.61	clips/pa-034__tirar-endavant__690.33.wav	pendent				9
bé	pa-035	analitzada-provisional-contextual	716.56-719.56	715.81-720.31	716.20-719.20	sí	0.071	0.190	alta	sí	0.4963	150.02	clips/pa-035__b__715.81.wav	pendent				9
crec	pa-035	analitzada-provisional-contextual	873.52-879.16	872.77-879.91	873.32-877.60	sí	0.054	0.073	alta	sí	0.4963	150.02	clips/pa-035__crec__872.77.wav	pendent				9
evidentment	pa-035	analitzada-provisional-contextual	473.68-481.04	472.93-481.79	475.28-477.28	sí	0.047	0.135	alta	sí	0.4963	150.02	clips/pa-035__evidentment__472.93.wav	pendent				9
perquè	pa-035	analitzada-provisional-contextual	181.88-185.60	181.13-186.35	181.72-184.96	sí	0.026	0.070	alta	sí	0.4963	150.02	clips/pa-035__perqu__181.13.wav	pendent				9
és a dir	pa-035	analitzada-provisional-contextual	583.04-589.00	582.29-589.75	583.08-588.44	sí	0.029	0.034	alta	sí	0.4963	150.02	clips/pa-035__s-a-dir__582.29.wav	pendent				9
a nivell	pa-036	analitzada-provisional-contextual	387.20-395.20	386.45-395.95	391.92-395.16	sí	0.239	0.129	alta	sí	0.6896	256.01	clips/pa-036__a-nivell__386.45.wav	pendent				9
a veure	pa-036	analitzada-provisional-contextual	153.80-159.40	153.05-160.15	154.16-159.36	sí	0.358	0.093	alta	sí	0.6896	256.01	clips/pa-036__a-veure__153.05.wav	pendent				9
bé	pa-036	analitzada-provisional-contextual	70.20-74.40	69.45-75.15	70.40-73.16	sí	0.184	0.070	alta	sí	0.6896	256.01	clips/pa-036__b__69.45.wav	pendent				9
clar	pa-036	analitzada-provisional-contextual	137.20-146.40	136.45-147.15	140.04-146.28	sí	0.139	0.037	alta	sí	0.6896	256.01	clips/pa-036__clar__136.45.wav	pendent				9
doncs	pa-036	analitzada-provisional-contextual	368.00-376.00	367.25-376.75	372.40-375.92	sí	0.152	0.161	alta	sí	0.6896	256.01	clips/pa-036__doncs__367.25.wav	pendent				9
evidentment	pa-036	analitzada-provisional-contextual	203.60-211.20	202.85-211.95	207.36-210.96	sí	0.234	0.090	alta	sí	0.6896	256.01	clips/pa-036__evidentment__202.85.wav	pendent				9
llavors	pa-036	analitzada-provisional-contextual	536.00-538.00	535.25-538.75	535.88-538.08	sí	0.400	0.075	alta	sí	0.6896	256.01	clips/pa-036__llavors__535.25.wav	pendent				9
perquè	pa-036	analitzada-provisional-contextual	16.40-20.00	15.65-20.75	16.48-19.92	sí	0.099	0.114	alta	sí	0.6896	256.01	clips/pa-036__perqu__15.65.wav	pendent				9
vull dir	pa-036	analitzada-provisional-contextual	633.00-637.00	632.25-637.75	633.12-635.44	sí	0.234	0.052	alta	sí	0.6896	256.01	clips/pa-036__vull-dir__632.25.wav	pendent				9
bueno	pa-037	analitzada-provisional-contextual	106.04-124.04	105.29-124.79	112.12-113.84	sí	0.051	0.057	alta	sí	0.4864	236.67	clips/pa-037__bueno__105.29.wav	pendent				9
bé	pa-037	analitzada-provisional-contextual	106.04-124.04	105.29-124.79	107.08-109.72	sí	0.025	0.023	alta	sí	0.4864	236.67	clips/pa-037__b__105.29.wav	pendent				9
diguem	pa-037	analitzada-provisional-contextual	470.52-481.28	469.77-482.03	473.24-478.04	sí	0.055	0.208	alta	sí	0.4864	236.67	clips/pa-037__diguem__469.77.wav	pendent				9
doncs	pa-037	analitzada-provisional-contextual	21.24-27.32	20.49-28.07	21.20-24.72	sí	0.056	0.103	alta	sí	0.4864	236.67	clips/pa-037__doncs__20.49.wav	pendent				9
llavors	pa-037	analitzada-provisional-contextual	93.28-106.04	92.53-106.79	93.40-98.04	sí	0.024	0.141	alta	sí	0.4864	236.67	clips/pa-037__llavors__92.53.wav	pendent				9
perquè	pa-037	analitzada-provisional-contextual	187.04-198.16	186.29-198.91	193.24-198.88	sí	0.012	0.027	alta	sí	0.4864	236.67	clips/pa-037__perqu__186.29.wav	pendent				9
vull dir	pa-037	analitzada-provisional-contextual	414.76-425.36	414.01-426.11	413.44-417.72	sí	0.031	0.052	alta	sí	0.4864	236.67	clips/pa-037__vull-dir__414.01.wav	pendent				9
a nivell	pa-038	analitzada-provisional-contextual	456.24-459.40	455.49-460.15	452.64-460.32	sí	0.061	0.039	alta	sí	0.5594	209.31	clips/pa-038__a-nivell__455.49.wav	pendent				9
bueno	pa-038	analitzada-provisional-contextual	875.36-877.36	874.61-878.11	875.28-877.08	sí	0.067	0.073	alta	sí	0.5594	209.31	clips/pa-038__bueno__874.61.wav	pendent				9
bé	pa-038	analitzada-provisional-contextual	27.52-30.96	26.77-31.71	26.32-30.60	sí	0.021	0.115	alta	sí	0.5594	209.31	clips/pa-038__b__26.77.wav	pendent				9
clar	pa-038	analitzada-provisional-contextual	97.16-100.56	96.41-101.31	99.84-103.84	sí	0.052	0.071	alta	sí	0.5594	209.31	clips/pa-038__clar__96.41.wav	pendent				9
crec	pa-038	analitzada-provisional-contextual	221.44-226.04	220.69-226.79	220.60-226.68	sí	0.094	0.042	alta	sí	0.5594	209.31	clips/pa-038__crec__220.69.wav	pendent				9
diguem	pa-038	analitzada-provisional-contextual	252.00-259.80	251.25-260.55	254.68-260.72	sí	0.022	0.157	alta	sí	0.5594	209.31	clips/pa-038__diguem__251.25.wav	pendent				9
llavors	pa-038	analitzada-provisional-contextual	264.88-269.08	264.13-269.83	265.44-269.04	sí	0.019	0.124	alta	sí	0.5594	209.31	clips/pa-038__llavors__264.13.wav	pendent				9
o sigui	pa-038	analitzada-provisional-contextual	17.40-22.12	16.65-22.87	16.96-26.32	sí	0.037	0.051	alta	sí	0.5594	209.31	clips/pa-038__o-sigui__16.65.wav	pendent				9
perquè	pa-038	analitzada-provisional-contextual	279.88-282.76	279.13-283.51	279.96-282.12	sí	0.019	0.047	alta	sí	0.5594	209.31	clips/pa-038__perqu__279.13.wav	pendent				9
reformeta	pa-038	analitzada-provisional-contextual	1822.44-1827.32	1821.69-1828.07	1822.52-1825.76	sí	0.032	0.107	alta	sí	0.5594	209.31	clips/pa-038__reformeta__1821.69.wav	pendent				9
vull dir	pa-038	analitzada-provisional-contextual	1577.32-1581.64	1576.57-1582.39	1575.72-1581.80	sí	0.150	0.043	alta	sí	0.5594	209.31	clips/pa-038__vull-dir__1576.57.wav	pendent				9
bueno	pa-039	analitzada-provisional-contextual	531.64-536.48	530.89-537.23	531.68-535.20	sí	0.182	0.077	alta	sí	0.5011	153.52	clips/pa-039__bueno__530.89.wav	pendent				9
bé	pa-039	analitzada-provisional-contextual	28.52-31.28	27.77-32.03	28.96-31.16	sí	0.049	0.094	alta	sí	0.5011	153.52	clips/pa-039__b__27.77.wav	pendent				9
clar	pa-039	analitzada-provisional-contextual	46.04-48.96	45.29-49.71	46.00-48.88	sí	0.031	0.061	alta	sí	0.5011	153.52	clips/pa-039__clar__45.29.wav	pendent				9
crec	pa-039	analitzada-provisional-contextual	91.60-95.20	90.85-95.95	92.16-95.08	sí	0.072	0.091	alta	sí	0.5011	153.52	clips/pa-039__crec__90.85.wav	pendent				9
evidentment	pa-039	analitzada-provisional-contextual	184.92-187.92	184.17-188.67	183.88-187.00	sí	0.194	0.079	alta	sí	0.5011	153.52	clips/pa-039__evidentment__184.17.wav	pendent				9
perquè	pa-039	analitzada-provisional-contextual	18.84-20.56	18.09-21.31	17.76-20.32	sí	0.034	0.158	alta	sí	0.5011	153.52	clips/pa-039__perqu__18.09.wav	pendent				9
bé	pa-040	analitzada-provisional-contextual	33.56-37.88	32.81-38.63	34.04-37.96	sí	0.070	0.075	alta	sí	0.6419	202.23	clips/pa-040__b__32.81.wav	pendent				9
crec	pa-040	analitzada-provisional-contextual	5.12-7.04	4.37-7.79	5.20-7.20	sí	0.015	0.073	alta	sí	0.6419	202.23	clips/pa-040__crec__4.37.wav	pendent				9
de fet	pa-040	analitzada-provisional-contextual	70.92-72.76	70.17-73.51	70.92-73.88	sí	0.076	0.050	alta	sí	0.6419	202.23	clips/pa-040__de-fet__70.17.wav	pendent				9
doncs	pa-040	analitzada-provisional-contextual	210.80-214.24	210.05-214.99	210.00-212.84	sí	0.095	0.122	alta	sí	0.6419	202.23	clips/pa-040__doncs__210.05.wav	pendent				9
evidentment	pa-040	analitzada-provisional-contextual	104.68-106.20	103.93-106.95	104.60-110.04	sí	0.077	0.123	alta	sí	0.6419	202.23	clips/pa-040__evidentment__103.93.wav	pendent				9
perquè	pa-040	analitzada-provisional-contextual	25.96-29.32	25.21-30.07	25.32-29.32	sí	0.040	0.109	alta	sí	0.6419	202.23	clips/pa-040__perqu__25.21.wav	pendent				9
bé	pa-041	analitzada-provisional-contextual	131.00-137.00	130.25-137.75	131.16-134.56	sí	0.140	0.033	alta	sí	0.6135	248.90	clips/pa-041__b__130.25.wav	pendent				9
clar	pa-041	analitzada-provisional-contextual	0.00-10.00	0.00-10.75	3.40-9.20	sí	0.031	0.116	alta	sí	0.6135	248.90	clips/pa-041__clar__0.00.wav	pendent				9
crec	pa-041	analitzada-provisional-contextual	57.00-62.00	56.25-62.75	57.20-60.00	sí	0.140	0.053	alta	sí	0.6135	248.90	clips/pa-041__crec__56.25.wav	pendent				9
doncs	pa-041	analitzada-provisional-contextual	210.00-217.00	209.25-217.75	210.44-214.32	sí	0.322	0.014	alta	sí	0.6135	248.90	clips/pa-041__doncs__209.25.wav	pendent				9
ensenyança	pa-041	analitzada-provisional-contextual	524.00-531.00	523.25-531.75	529.12-530.68	sí	0.441	0.101	alta	sí	0.6135	248.90	clips/pa-041__ensenyan-a__523.25.wav	pendent				9
evidentment	pa-041	analitzada-provisional-contextual	354.00-360.00	353.25-360.75	354.16-357.28	sí	0.446	0.080	alta	sí	0.6135	248.90	clips/pa-041__evidentment__353.25.wav	pendent				9
llavors	pa-041	analitzada-provisional-contextual	109.00-115.00	108.25-115.75	105.72-110.72	sí	0.244	0.182	alta	sí	0.6135	248.90	clips/pa-041__llavors__108.25.wav	pendent				9
perquè	pa-041	analitzada-provisional-contextual	70.00-76.00	69.25-76.75	73.04-75.64	sí	0.031	0.109	alta	sí	0.6135	248.90	clips/pa-041__perqu__69.25.wav	pendent				9
és a dir	pa-041	analitzada-provisional-contextual	260.00-265.00	259.25-265.75	260.20-262.48	sí	0.217	0.029	alta	sí	0.6135	248.90	clips/pa-041__s-a-dir__259.25.wav	pendent				9
clar	pa-042	analitzada-provisional-contextual	102.72-105.88	101.97-106.63	99.40-102.44	sí	0.047	0.106	alta	sí	0.6921	240.26	clips/pa-042__clar__101.97.wav	pendent				9
crec	pa-042	analitzada-provisional-contextual	32.76-36.60	32.01-37.35	32.96-36.64	sí	0.054	0.171	alta	sí	0.6921	240.26	clips/pa-042__crec__32.01.wav	pendent				9
perquè	pa-042	analitzada-provisional-contextual	29.88-32.68	29.13-33.43	30.08-32.88	sí	0.088	0.060	alta	sí	0.6921	240.26	clips/pa-042__perqu__29.13.wav	pendent				9
bueno	pa-043	analitzada-provisional-contextual	0.00-3.00	0.00-3.75	0.00-3.28	sí	0.045	0.058	alta	sí	0.5729	218.55	clips/pa-043__bueno__0.00.wav	pendent				9
crec	pa-043	analitzada-provisional-contextual	103.00-108.00	102.25-108.75	103.12-107.64	sí	0.307	0.060	alta	sí	0.5729	218.55	clips/pa-043__crec__102.25.wav	pendent				9
doncs	pa-043	analitzada-provisional-contextual	16.00-19.00	15.25-19.75	15.72-19.04	sí	0.326	0.037	alta	sí	0.5729	218.55	clips/pa-043__doncs__15.25.wav	pendent				9
és a dir	pa-043	analitzada-provisional-contextual	108.00-111.00	107.25-111.75	107.80-111.08	sí	0.123	0.113	alta	sí	0.5729	218.55	clips/pa-043__s-a-dir__107.25.wav	pendent				9
a veure	pa-045	analitzada-provisional-contextual	341.68-345.16	340.93-345.91	341.48-345.00	sí	0.069	0.011	alta	sí	0.5086	271.02	clips/pa-045__a-veure__340.93.wav	pendent				9
aleshores	pa-045	analitzada-provisional-contextual	1194.16-1197.16	1193.41-1197.91	1193.04-1197.04	sí	0.271	0.139	alta	sí	0.5086	271.02	clips/pa-045__aleshores__1193.41.wav	pendent				9
bueno	pa-045	analitzada-provisional-contextual	261.80-270.16	261.05-270.91	261.68-270.52	sí	0.019	0.032	alta	sí	0.5086	271.02	clips/pa-045__bueno__261.05.wav	pendent				9
bé	pa-045	analitzada-provisional-contextual	84.24-90.68	83.49-91.43	83.16-86.40	sí	0.020	0.026	alta	sí	0.5086	271.02	clips/pa-045__b__83.49.wav	pendent				9
clar	pa-045	analitzada-provisional-contextual	400.60-405.20	399.85-405.95	400.48-405.20	sí	0.027	0.098	alta	sí	0.5086	271.02	clips/pa-045__clar__399.85.wav	pendent				9
crec	pa-045	analitzada-provisional-contextual	241.36-244.88	240.61-245.63	242.88-245.56	sí	0.041	0.037	alta	sí	0.5086	271.02	clips/pa-045__crec__240.61.wav	pendent				9
evidentment	pa-045	analitzada-provisional-contextual	290.88-297.56	290.13-298.31	290.44-297.60	sí	0.052	0.064	alta	sí	0.5086	271.02	clips/pa-045__evidentment__290.13.wav	pendent				9
llavors	pa-045	analitzada-provisional-contextual	195.68-199.56	194.93-200.31	195.76-199.48	sí	0.032	0.084	alta	sí	0.5086	271.02	clips/pa-045__llavors__194.93.wav	pendent				9
o sigui	pa-045	analitzada-provisional-contextual	226.92-232.56	226.17-233.31	226.76-232.72	sí	0.032	0.041	alta	sí	0.5086	271.02	clips/pa-045__o-sigui__226.17.wav	pendent				9
