forma	id_persona	estat_persona	interval_font	interval_escolta	interval_base	coincidencia_temporal_asr	conf_min_segment	conf_min_base_segment	prioritat_asr	consens_dos_asr	ratio_veu_wav	f0_median_hz_orientatiu	clip_suggerit	estat_audicio	forma_confirmada_auditivament	nota_audicio	trets_fonetics_observats	prioritat_global
de fet	pa-008	analitzada-provisional-contextual	800.00-804.00	799.25-804.75	797.42-802.42	sí	0.468	0.099	alta	sí	0.4359	175.86	clips/pa-008__de-fet__799.25.wav	pendent				9
diguem	pa-008	analitzada-provisional-contextual	375.00-379.00	374.25-379.75	375.12-382.56	sí	0.267	0.051	alta	sí	0.4359	175.86	clips/pa-008__diguem__374.25.wav	pendent				9
doncs	pa-008	analitzada-provisional-contextual	56.00-59.00	55.25-59.75	55.64-59.04	sí	0.152	0.045	alta	sí	0.4359	175.86	clips/pa-008__doncs__55.25.wav	pendent				9
és a dir	pa-008	analitzada-provisional-contextual	1111.00-1114.00	1110.25-1114.75	1112.24-1117.88	sí	0.325	0.074	alta	sí	0.4359	175.86	clips/pa-008__s-a-dir__1110.25.wav	pendent				9
bé	pa-009	analitzada-provisional-contextual	558.00-561.00	557.25-561.75	557.76-563.20	sí	0.240	0.029	alta	sí	0.5436	188.15	clips/pa-009__b__557.25.wav	pendent				9
clar	pa-009	analitzada-provisional-contextual	100.00-105.00	99.25-105.75	100.52-102.36	sí	0.411	0.134	alta	sí	0.5436	188.15	clips/pa-009__clar__99.25.wav	pendent				9
doncs	pa-009	analitzada-provisional-contextual	140.00-145.00	139.25-145.75	139.64-145.04	sí	0.150	0.044	alta	sí	0.5436	188.15	clips/pa-009__doncs__139.25.wav	pendent				9
evidentment	pa-009	analitzada-provisional-contextual	948.00-951.00	947.25-951.75	945.80-953.80	sí	0.242	0.093	alta	sí	0.5436	188.15	clips/pa-009__evidentment__947.25.wav	pendent				9
o sigui	pa-009	analitzada-provisional-contextual	235.00-238.00	234.25-238.75	234.80-237.36	sí	0.245	0.224	alta	sí	0.5436	188.15	clips/pa-009__o-sigui__234.25.wav	pendent				9
perquè	pa-009	analitzada-provisional-contextual	350.00-356.00	349.25-356.75	348.48-352.24	sí	0.101	0.175	alta	sí	0.5436	188.15	clips/pa-009__perqu__349.25.wav	pendent				9
