id_persona	forma	interval_escolta	clip	json_small	estat
pa-046	diguem	626.01-630.19	clips/pa-046__diguem__626.01.wav	qa-cua-small-json/pa-046__diguem__626_01.json	pendent-audicio
pa-049	diguem	213.13-220.43	clips/pa-049__diguem__213.13.wav	qa-cua-small-json/pa-049__diguem__213_13.json	pendent-audicio
pa-057	diguem	929.81-935.31	clips/pa-057__diguem__929.81.wav	qa-cua-small-json/pa-057__diguem__929_81.json	pendent-audicio
pa-058	diguem	715.21-718.91	clips/pa-058__diguem__715.21.wav	qa-cua-small-json/pa-058__diguem__715_21.json	pendent-audicio
pa-060	diguem	55.05-60.91	clips/pa-060__diguem__55.05.wav	qa-cua-small-json/pa-060__diguem__55_05.json	pendent-audicio
pa-062	diguem	191.37-197.03	clips/pa-062__diguem__191.37.wav	qa-cua-small-json/pa-062__diguem__191_37.json	pendent-audicio
pa-001	crec	97.33-100.95	clips/pa-001__crec__97.33.wav	qa-cua-small-json/pa-001__crec__97_33.json	pendent-audicio
pa-002	crec	248.25-254.75	clips/pa-002__crec__248.25.wav	qa-cua-small-json/pa-002__crec__248_25.json	pendent-audicio
pa-003	crec	0.00-7.19	clips/pa-003__crec__0.00.wav	qa-cua-small-json/pa-003__crec__0_00.json	pendent-audicio
pa-010	crec	1033.25-1036.75	clips/pa-010__crec__1033.25.wav	qa-cua-small-json/pa-010__crec__1033_25.json	pendent-audicio
pa-014	crec	153.25-160.55	clips/pa-014__crec__153.25.wav	qa-cua-small-json/pa-014__crec__153_25.json	pendent-audicio
pa-016	crec	93.17-100.83	clips/pa-016__crec__93.17.wav	qa-cua-small-json/pa-016__crec__93_17.json	pendent-audicio
pa-018	crec	7.49-12.83	clips/pa-018__crec__7.49.wav	qa-cua-small-json/pa-018__crec__7_49.json	pendent-audicio
pa-019	crec	27.25-31.75	clips/pa-019__crec__27.25.wav	qa-cua-small-json/pa-019__crec__27_25.json	pendent-audicio
pa-021	crec	115.53-120.03	clips/pa-021__crec__115.53.wav	qa-cua-small-json/pa-021__crec__115_53.json	pendent-audicio
pa-022	crec	243.73-249.43	clips/pa-022__crec__243.73.wav	qa-cua-small-json/pa-022__crec__243_73.json	pendent-audicio
pa-023	crec	42.93-50.23	clips/pa-023__crec__42.93.wav	qa-cua-small-json/pa-023__crec__42_93.json	pendent-audicio
pa-024	crec	368.01-372.63	clips/pa-024__crec__368.01.wav	qa-cua-small-json/pa-024__crec__368_01.json	pendent-audicio
pa-025	crec	4.25-9.11	clips/pa-025__crec__4.25.wav	qa-cua-small-json/pa-025__crec__4_25.json	pendent-audicio
pa-027	crec	8.81-14.39	clips/pa-027__crec__8.81.wav	qa-cua-small-json/pa-027__crec__8_81.json	pendent-audicio
pa-030	crec	346.45-352.99	clips/pa-030__crec__346.45.wav	qa-cua-small-json/pa-030__crec__346_45.json	pendent-audicio
pa-031	crec	87.01-92.63	clips/pa-031__crec__87.01.wav	qa-cua-small-json/pa-031__crec__87_01.json	pendent-audicio
pa-034	crec	651.65-657.27	clips/pa-034__crec__651.65.wav	qa-cua-small-json/pa-034__crec__651_65.json	pendent-audicio
pa-035	crec	872.77-879.91	clips/pa-035__crec__872.77.wav	qa-cua-small-json/pa-035__crec__872_77.json	pendent-audicio
pa-037	crec	424.61-437.99	clips/pa-037__crec__424.61.wav	qa-cua-small-json/pa-037__crec__424_61.json	pendent-audicio
pa-038	crec	220.69-226.79	clips/pa-038__crec__220.69.wav	qa-cua-small-json/pa-038__crec__220_69.json	pendent-audicio
pa-039	crec	90.85-95.95	clips/pa-039__crec__90.85.wav	qa-cua-small-json/pa-039__crec__90_85.json	pendent-audicio
pa-040	crec	4.37-7.79	clips/pa-040__crec__4.37.wav	qa-cua-small-json/pa-040__crec__4_37.json	pendent-audicio
pa-041	crec	56.25-62.75	clips/pa-041__crec__56.25.wav	qa-cua-small-json/pa-041__crec__56_25.json	pendent-audicio
pa-042	crec	32.01-37.35	clips/pa-042__crec__32.01.wav	qa-cua-small-json/pa-042__crec__32_01.json	pendent-audicio
pa-043	crec	102.25-108.75	clips/pa-043__crec__102.25.wav	qa-cua-small-json/pa-043__crec__102_25.json	pendent-audicio
pa-045	crec	240.61-245.63	clips/pa-045__crec__240.61.wav	qa-cua-small-json/pa-045__crec__240_61.json	pendent-audicio
pa-046	crec	208.41-212.47	clips/pa-046__crec__208.41.wav	qa-cua-small-json/pa-046__crec__208_41.json	pendent-audicio
pa-048	crec	110.97-117.27	clips/pa-048__crec__110.97.wav	qa-cua-small-json/pa-048__crec__110_97.json	pendent-audicio
pa-049	crec	371.85-383.51	clips/pa-049__crec__371.85.wav	qa-cua-small-json/pa-049__crec__371_85.json	pendent-audicio
pa-051	crec	208.57-213.39	clips/pa-051__crec__208.57.wav	qa-cua-small-json/pa-051__crec__208_57.json	pendent-audicio
pa-056	crec	347.05-353.03	clips/pa-056__crec__347.05.wav	qa-cua-small-json/pa-056__crec__347_05.json	pendent-audicio
pa-058	crec	6.69-12.71	clips/pa-058__crec__6.69.wav	qa-cua-small-json/pa-058__crec__6_69.json	pendent-audicio
pa-060	crec	42.05-50.19	clips/pa-060__crec__42.05.wav	qa-cua-small-json/pa-060__crec__42_05.json	pendent-audicio
pa-061	crec	428.85-435.63	clips/pa-061__crec__428.85.wav	qa-cua-small-json/pa-061__crec__428_85.json	pendent-audicio
pa-062	crec	1037.89-1041.47	clips/pa-062__crec__1037.89.wav	qa-cua-small-json/pa-062__crec__1037_89.json	pendent-audicio
pa-063	crec	758.81-763.23	clips/pa-063__crec__758.81.wav	qa-cua-small-json/pa-063__crec__758_81.json	pendent-audicio
pa-064	crec	1335.77-1345.39	clips/pa-064__crec__1335.77.wav	qa-cua-small-json/pa-064__crec__1335_77.json	pendent-audicio
pa-065	crec	1276.85-1281.67	clips/pa-065__crec__1276.85.wav	qa-cua-small-json/pa-065__crec__1276_85.json	pendent-audicio
pa-066	crec	219.63-227.13	clips/pa-066__crec__219.63.wav	qa-cua-small-json/pa-066__crec__219_63.json	pendent-audicio
pa-001	bueno	207.01-212.99	clips/pa-001__bueno__207.01.wav	qa-cua-small-json/pa-001__bueno__207_01.json	pendent-audicio
pa-002	bueno	433.25-440.75	clips/pa-002__bueno__433.25.wav	qa-cua-small-json/pa-002__bueno__433_25.json	pendent-audicio
pa-003	bueno	227.05-235.71	clips/pa-003__bueno__227.05.wav	qa-cua-small-json/pa-003__bueno__227_05.json	pendent-audicio
pa-007	bueno	475.25-480.75	clips/pa-007__bueno__475.25.wav	qa-cua-small-json/pa-007__bueno__475_25.json	pendent-audicio
pa-008	bueno	969.25-973.75	clips/pa-008__bueno__969.25.wav	qa-cua-small-json/pa-008__bueno__969_25.json	pendent-audicio
pa-016	bueno	93.17-100.83	clips/pa-016__bueno__93.17.wav	qa-cua-small-json/pa-016__bueno__93_17.json	pendent-audicio
pa-017	bueno	823.25-829.75	clips/pa-017__bueno__823.25.wav	qa-cua-small-json/pa-017__bueno__823_25.json	pendent-audicio
pa-018	bueno	23.21-28.91	clips/pa-018__bueno__23.21.wav	qa-cua-small-json/pa-018__bueno__23_21.json	pendent-audicio
pa-019	bueno	328.25-333.75	clips/pa-019__bueno__328.25.wav	qa-cua-small-json/pa-019__bueno__328_25.json	pendent-audicio
pa-020	bueno	13.57-19.47	clips/pa-020__bueno__13.57.wav	qa-cua-small-json/pa-020__bueno__13_57.json	pendent-audicio
pa-021	bueno	12.25-16.87	clips/pa-021__bueno__12.25.wav	qa-cua-small-json/pa-021__bueno__12_25.json	pendent-audicio
pa-022	bueno	122.85-126.95	clips/pa-022__bueno__122.85.wav	qa-cua-small-json/pa-022__bueno__122_85.json	pendent-audicio
pa-023	bueno	96.81-100.35	clips/pa-023__bueno__96.81.wav	qa-cua-small-json/pa-023__bueno__96_81.json	pendent-audicio
pa-024	bueno	147.29-152.07	clips/pa-024__bueno__147.29.wav	qa-cua-small-json/pa-024__bueno__147_29.json	pendent-audicio
pa-025	bueno	909.25-914.07	clips/pa-025__bueno__909.25.wav	qa-cua-small-json/pa-025__bueno__909_25.json	pendent-audicio
pa-026	bueno	194.89-200.75	clips/pa-026__bueno__194.89.wav	qa-cua-small-json/pa-026__bueno__194_89.json	pendent-audicio
pa-027	bueno	35.13-40.47	clips/pa-027__bueno__35.13.wav	qa-cua-small-json/pa-027__bueno__35_13.json	pendent-audicio
pa-028	bueno	28.37-32.59	clips/pa-028__bueno__28.37.wav	qa-cua-small-json/pa-028__bueno__28_37.json	pendent-audicio
pa-029	bueno	720.69-724.19	clips/pa-029__bueno__720.69.wav	qa-cua-small-json/pa-029__bueno__720_69.json	pendent-audicio
pa-030	bueno	459.05-463.07	clips/pa-030__bueno__459.05.wav	qa-cua-small-json/pa-030__bueno__459_05.json	pendent-audicio
pa-031	bueno	111.73-115.67	clips/pa-031__bueno__111.73.wav	qa-cua-small-json/pa-031__bueno__111_73.json	pendent-audicio
pa-032	bueno	44.73-50.63	clips/pa-032__bueno__44.73.wav	qa-cua-small-json/pa-032__bueno__44_73.json	pendent-audicio
pa-034	bueno	33.81-39.07	clips/pa-034__bueno__33.81.wav	qa-cua-small-json/pa-034__bueno__33_81.json	pendent-audicio
pa-035	bueno	195.49-202.11	clips/pa-035__bueno__195.49.wav	qa-cua-small-json/pa-035__bueno__195_49.json	pendent-audicio
pa-036	bueno	76.25-84.15	clips/pa-036__bueno__76.25.wav	qa-cua-small-json/pa-036__bueno__76_25.json	pendent-audicio
pa-037	bueno	105.29-124.79	clips/pa-037__bueno__105.29.wav	qa-cua-small-json/pa-037__bueno__105_29.json	pendent-audicio
pa-038	bueno	874.61-878.11	clips/pa-038__bueno__874.61.wav	qa-cua-small-json/pa-038__bueno__874_61.json	pendent-audicio
pa-039	bueno	530.89-537.23	clips/pa-039__bueno__530.89.wav	qa-cua-small-json/pa-039__bueno__530_89.json	pendent-audicio
pa-041	bueno	165.25-173.75	clips/pa-041__bueno__165.25.wav	qa-cua-small-json/pa-041__bueno__165_25.json	pendent-audicio
pa-043	bueno	0.00-3.75	clips/pa-043__bueno__0.00.wav	qa-cua-small-json/pa-043__bueno__0_00.json	pendent-audicio
pa-045	bueno	261.05-270.91	clips/pa-045__bueno__261.05.wav	qa-cua-small-json/pa-045__bueno__261_05.json	pendent-audicio
pa-046	bueno	128.01-131.51	clips/pa-046__bueno__128.01.wav	qa-cua-small-json/pa-046__bueno__128_01.json	pendent-audicio
pa-048	bueno	227.17-233.03	clips/pa-048__bueno__227.17.wav	qa-cua-small-json/pa-048__bueno__227_17.json	pendent-audicio
pa-049	bueno	269.05-275.83	clips/pa-049__bueno__269.05.wav	qa-cua-small-json/pa-049__bueno__269_05.json	pendent-audicio
pa-051	bueno	41.97-47.43	clips/pa-051__bueno__41.97.wav	qa-cua-small-json/pa-051__bueno__41_97.json	pendent-audicio
pa-052	bueno	41.97-47.23	clips/pa-052__bueno__41.97.wav	qa-cua-small-json/pa-052__bueno__41_97.json	pendent-audicio
pa-054	bueno	51.69-55.75	clips/pa-054__bueno__51.69.wav	qa-cua-small-json/pa-054__bueno__51_69.json	pendent-audicio
pa-055	bueno	194.93-200.67	clips/pa-055__bueno__194.93.wav	qa-cua-small-json/pa-055__bueno__194_93.json	pendent-audicio
pa-056	bueno	458.97-462.83	clips/pa-056__bueno__458.97.wav	qa-cua-small-json/pa-056__bueno__458_97.json	pendent-audicio
pa-057	bueno	1128.89-1136.35	clips/pa-057__bueno__1128.89.wav	qa-cua-small-json/pa-057__bueno__1128_89.json	pendent-audicio
pa-058	bueno	23.17-28.91	clips/pa-058__bueno__23.17.wav	qa-cua-small-json/pa-058__bueno__23_17.json	pendent-audicio
pa-059	bueno	166.17-173.63	clips/pa-059__bueno__166.17.wav	qa-cua-small-json/pa-059__bueno__166_17.json	pendent-audicio
pa-060	bueno	150.05-157.07	clips/pa-060__bueno__150.05.wav	qa-cua-small-json/pa-060__bueno__150_05.json	pendent-audicio
pa-061	bueno	171.05-174.55	clips/pa-061__bueno__171.05.wav	qa-cua-small-json/pa-061__bueno__171_05.json	pendent-audicio
pa-062	bueno	297.17-302.03	clips/pa-062__bueno__297.17.wav	qa-cua-small-json/pa-062__bueno__297_17.json	pendent-audicio
pa-063	bueno	801.17-804.67	clips/pa-063__bueno__801.17.wav	qa-cua-small-json/pa-063__bueno__801_17.json	pendent-audicio
pa-065	bueno	1389.05-1393.75	clips/pa-065__bueno__1389.05.wav	qa-cua-small-json/pa-065__bueno__1389_05.json	pendent-audicio
pa-066	bueno	357.23-362.57	clips/pa-066__bueno__357.23.wav	qa-cua-small-json/pa-066__bueno__357_23.json	pendent-audicio
pa-001	clar	129.77-134.51	clips/pa-001__clar__129.77.wav	qa-cua-small-json/pa-001__clar__129_77.json	pendent-audicio
pa-002	clar	186.25-190.75	clips/pa-002__clar__186.25.wav	qa-cua-small-json/pa-002__clar__186_25.json	pendent-audicio
pa-003	clar	451.89-459.15	clips/pa-003__clar__451.89.wav	qa-cua-small-json/pa-003__clar__451_89.json	pendent-audicio
pa-005	clar	155.93-159.99	clips/pa-005__clar__155.93.wav	qa-cua-small-json/pa-005__clar__155_93.json	pendent-audicio
pa-006	clar	379.25-383.75	clips/pa-006__clar__379.25.wav	qa-cua-small-json/pa-006__clar__379_25.json	pendent-audicio
pa-007	clar	344.25-349.75	clips/pa-007__clar__344.25.wav	qa-cua-small-json/pa-007__clar__344_25.json	pendent-audicio
pa-008	clar	841.25-846.75	clips/pa-008__clar__841.25.wav	qa-cua-small-json/pa-008__clar__841_25.json	pendent-audicio
pa-009	clar	99.25-105.75	clips/pa-009__clar__99.25.wav	qa-cua-small-json/pa-009__clar__99_25.json	pendent-audicio
pa-010	clar	334.85-339.35	clips/pa-010__clar__334.85.wav	qa-cua-small-json/pa-010__clar__334_85.json	pendent-audicio
pa-014	clar	978.45-982.95	clips/pa-014__clar__978.45.wav	qa-cua-small-json/pa-014__clar__978_45.json	pendent-audicio
pa-016	clar	175.69-180.35	clips/pa-016__clar__175.69.wav	qa-cua-small-json/pa-016__clar__175_69.json	pendent-audicio
pa-017	clar	34.45-42.35	clips/pa-017__clar__34.45.wav	qa-cua-small-json/pa-017__clar__34_45.json	pendent-audicio
pa-018	clar	112.73-117.35	clips/pa-018__clar__112.73.wav	qa-cua-small-json/pa-018__clar__112_73.json	pendent-audicio
pa-019	clar	415.25-419.75	clips/pa-019__clar__415.25.wav	qa-cua-small-json/pa-019__clar__415_25.json	pendent-audicio
pa-020	clar	89.81-94.31	clips/pa-020__clar__89.81.wav	qa-cua-small-json/pa-020__clar__89_81.json	pendent-audicio
pa-021	clar	125.89-131.23	clips/pa-021__clar__125.89.wav	qa-cua-small-json/pa-021__clar__125_89.json	pendent-audicio
pa-022	clar	107.73-113.11	clips/pa-022__clar__107.73.wav	qa-cua-small-json/pa-022__clar__107_73.json	pendent-audicio
pa-024	clar	648.09-656.83	clips/pa-024__clar__648.09.wav	qa-cua-small-json/pa-024__clar__648_09.json	pendent-audicio
pa-025	clar	116.09-119.95	clips/pa-025__clar__116.09.wav	qa-cua-small-json/pa-025__clar__116_09.json	pendent-audicio
pa-026	clar	6.33-9.67	clips/pa-026__clar__6.33.wav	qa-cua-small-json/pa-026__clar__6_33.json	pendent-audicio
pa-027	clar	35.13-40.47	clips/pa-027__clar__35.13.wav	qa-cua-small-json/pa-027__clar__35_13.json	pendent-audicio
pa-028	clar	290.33-295.15	clips/pa-028__clar__290.33.wav	qa-cua-small-json/pa-028__clar__290_33.json	pendent-audicio
pa-029	clar	358.61-362.11	clips/pa-029__clar__358.61.wav	qa-cua-small-json/pa-029__clar__358_61.json	pendent-audicio
pa-030	clar	61.89-66.83	clips/pa-030__clar__61.89.wav	qa-cua-small-json/pa-030__clar__61_89.json	pendent-audicio
pa-031	clar	154.57-158.95	clips/pa-031__clar__154.57.wav	qa-cua-small-json/pa-031__clar__154_57.json	pendent-audicio
pa-032	clar	155.33-162.15	clips/pa-032__clar__155.33.wav	qa-cua-small-json/pa-032__clar__155_33.json	pendent-audicio
pa-033	clar	54.49-57.67	clips/pa-033__clar__54.49.wav	qa-cua-small-json/pa-033__clar__54_49.json	pendent-audicio
pa-034	clar	55.05-59.71	clips/pa-034__clar__55.05.wav	qa-cua-small-json/pa-034__clar__55_05.json	pendent-audicio
pa-035	clar	223.61-233.59	clips/pa-035__clar__223.61.wav	qa-cua-small-json/pa-035__clar__223_61.json	pendent-audicio
pa-036	clar	136.45-147.15	clips/pa-036__clar__136.45.wav	qa-cua-small-json/pa-036__clar__136_45.json	pendent-audicio
pa-037	clar	186.29-198.91	clips/pa-037__clar__186.29.wav	qa-cua-small-json/pa-037__clar__186_29.json	pendent-audicio
pa-038	clar	96.41-101.31	clips/pa-038__clar__96.41.wav	qa-cua-small-json/pa-038__clar__96_41.json	pendent-audicio
pa-039	clar	45.29-49.71	clips/pa-039__clar__45.29.wav	qa-cua-small-json/pa-039__clar__45_29.json	pendent-audicio
pa-041	clar	0.00-10.75	clips/pa-041__clar__0.00.wav	qa-cua-small-json/pa-041__clar__0_00.json	pendent-audicio
pa-042	clar	101.97-106.63	clips/pa-042__clar__101.97.wav	qa-cua-small-json/pa-042__clar__101_97.json	pendent-audicio
pa-045	clar	399.85-405.95	clips/pa-045__clar__399.85.wav	qa-cua-small-json/pa-045__clar__399_85.json	pendent-audicio
pa-046	clar	172.53-177.71	clips/pa-046__clar__172.53.wav	qa-cua-small-json/pa-046__clar__172_53.json	pendent-audicio
pa-048	clar	389.65-392.15	clips/pa-048__clar__389.65.wav	qa-cua-small-json/pa-048__clar__389_65.json	pendent-audicio
pa-049	clar	382.01-390.11	clips/pa-049__clar__382.01.wav	qa-cua-small-json/pa-049__clar__382_01.json	pendent-audicio
pa-051	clar	161.85-167.07	clips/pa-051__clar__161.85.wav	qa-cua-small-json/pa-051__clar__161_85.json	pendent-audicio
pa-052	clar	59.97-64.67	clips/pa-052__clar__59.97.wav	qa-cua-small-json/pa-052__clar__59_97.json	pendent-audicio
pa-055	clar	6.29-9.67	clips/pa-055__clar__6.29.wav	qa-cua-small-json/pa-055__clar__6_29.json	pendent-audicio
pa-056	clar	62.45-66.87	clips/pa-056__clar__62.45.wav	qa-cua-small-json/pa-056__clar__62_45.json	pendent-audicio
pa-057	clar	357.57-364.07	clips/pa-057__clar__357.57.wav	qa-cua-small-json/pa-057__clar__357_57.json	pendent-audicio
pa-058	clar	112.81-117.27	clips/pa-058__clar__112.81.wav	qa-cua-small-json/pa-058__clar__112_81.json	pendent-audicio
pa-059	clar	36.61-42.23	clips/pa-059__clar__36.61.wav	qa-cua-small-json/pa-059__clar__36_61.json	pendent-audicio
pa-061	clar	376.69-382.19	clips/pa-061__clar__376.69.wav	qa-cua-small-json/pa-061__clar__376_69.json	pendent-audicio
pa-062	clar	202.37-208.31	clips/pa-062__clar__202.37.wav	qa-cua-small-json/pa-062__clar__202_37.json	pendent-audicio
pa-063	clar	392.49-397.11	clips/pa-063__clar__392.49.wav	qa-cua-small-json/pa-063__clar__392_49.json	pendent-audicio
pa-064	clar	109.97-115.87	clips/pa-064__clar__109.97.wav	qa-cua-small-json/pa-064__clar__109_97.json	pendent-audicio
pa-065	clar	221.29-226.15	clips/pa-065__clar__221.29.wav	qa-cua-small-json/pa-065__clar__221_29.json	pendent-audicio
pa-001	vull dir	621.37-625.39	clips/pa-001__vull-dir__621.37.wav	qa-cua-small-json/pa-001__vull-dir__621_37.json	pendent-audicio
pa-002	vull dir	172.25-176.75	clips/pa-002__vull-dir__172.25.wav	qa-cua-small-json/pa-002__vull-dir__172_25.json	pendent-audicio
pa-004	vull dir	143.45-150.59	clips/pa-004__vull-dir__143.45.wav	qa-cua-small-json/pa-004__vull-dir__143_45.json	pendent-audicio
pa-014	vull dir	19.65-30.15	clips/pa-014__vull-dir__19.65.wav	qa-cua-small-json/pa-014__vull-dir__19_65.json	pendent-audicio
pa-016	vull dir	322.53-327.83	clips/pa-016__vull-dir__322.53.wav	qa-cua-small-json/pa-016__vull-dir__322_53.json	pendent-audicio
pa-017	vull dir	272.25-279.75	clips/pa-017__vull-dir__272.25.wav	qa-cua-small-json/pa-017__vull-dir__272_25.json	pendent-audicio
pa-020	vull dir	165.45-170.99	clips/pa-020__vull-dir__165.45.wav	qa-cua-small-json/pa-020__vull-dir__165_45.json	pendent-audicio
pa-021	vull dir	314.29-323.11	clips/pa-021__vull-dir__314.29.wav	qa-cua-small-json/pa-021__vull-dir__314_29.json	pendent-audicio
pa-022	vull dir	308.17-312.27	clips/pa-022__vull-dir__308.17.wav	qa-cua-small-json/pa-022__vull-dir__308_17.json	pendent-audicio
pa-023	vull dir	22.05-26.43	clips/pa-023__vull-dir__22.05.wav	qa-cua-small-json/pa-023__vull-dir__22_05.json	pendent-audicio
pa-025	vull dir	643.73-649.59	clips/pa-025__vull-dir__643.73.wav	qa-cua-small-json/pa-025__vull-dir__643_73.json	pendent-audicio
pa-026	vull dir	311.77-316.07	clips/pa-026__vull-dir__311.77.wav	qa-cua-small-json/pa-026__vull-dir__311_77.json	pendent-audicio
pa-027	vull dir	254.25-260.87	clips/pa-027__vull-dir__254.25.wav	qa-cua-small-json/pa-027__vull-dir__254_25.json	pendent-audicio
pa-030	vull dir	842.69-848.23	clips/pa-030__vull-dir__842.69.wav	qa-cua-small-json/pa-030__vull-dir__842_69.json	pendent-audicio
pa-031	vull dir	207.77-212.75	clips/pa-031__vull-dir__207.77.wav	qa-cua-small-json/pa-031__vull-dir__207_77.json	pendent-audicio
pa-032	vull dir	389.29-393.79	clips/pa-032__vull-dir__389.29.wav	qa-cua-small-json/pa-032__vull-dir__389_29.json	pendent-audicio
pa-033	vull dir	56.25-62.63	clips/pa-033__vull-dir__56.25.wav	qa-cua-small-json/pa-033__vull-dir__56_25.json	pendent-audicio
pa-034	vull dir	58.29-61.51	clips/pa-034__vull-dir__58.29.wav	qa-cua-small-json/pa-034__vull-dir__58_29.json	pendent-audicio
pa-036	vull dir	632.25-637.75	clips/pa-036__vull-dir__632.25.wav	qa-cua-small-json/pa-036__vull-dir__632_25.json	pendent-audicio
pa-037	vull dir	414.01-426.11	clips/pa-037__vull-dir__414.01.wav	qa-cua-small-json/pa-037__vull-dir__414_01.json	pendent-audicio
pa-038	vull dir	1576.57-1582.39	clips/pa-038__vull-dir__1576.57.wav	qa-cua-small-json/pa-038__vull-dir__1576_57.json	pendent-audicio
pa-041	vull dir	264.25-271.75	clips/pa-041__vull-dir__264.25.wav	qa-cua-small-json/pa-041__vull-dir__264_25.json	pendent-audicio
pa-045	vull dir	779.57-785.23	clips/pa-045__vull-dir__779.57.wav	qa-cua-small-json/pa-045__vull-dir__779_57.json	pendent-audicio
pa-048	vull dir	993.69-999.19	clips/pa-048__vull-dir__993.69.wav	qa-cua-small-json/pa-048__vull-dir__993_69.json	pendent-audicio
pa-049	vull dir	208.09-214.63	clips/pa-049__vull-dir__208.09.wav	qa-cua-small-json/pa-049__vull-dir__208_09.json	pendent-audicio
pa-055	vull dir	311.73-315.91	clips/pa-055__vull-dir__311.73.wav	qa-cua-small-json/pa-055__vull-dir__311_73.json	pendent-audicio
pa-056	vull dir	842.65-848.07	clips/pa-056__vull-dir__842.65.wav	qa-cua-small-json/pa-056__vull-dir__842_65.json	pendent-audicio
pa-058	vull dir	975.13-979.55	clips/pa-058__vull-dir__975.13.wav	qa-cua-small-json/pa-058__vull-dir__975_13.json	pendent-audicio
pa-059	vull dir	271.81-279.35	clips/pa-059__vull-dir__271.81.wav	qa-cua-small-json/pa-059__vull-dir__271_81.json	pendent-audicio
pa-060	vull dir	20.65-26.35	clips/pa-060__vull-dir__20.65.wav	qa-cua-small-json/pa-060__vull-dir__20_65.json	pendent-audicio
pa-061	vull dir	193.57-200.03	clips/pa-061__vull-dir__193.57.wav	qa-cua-small-json/pa-061__vull-dir__193_57.json	pendent-audicio
pa-062	vull dir	316.81-326.39	clips/pa-062__vull-dir__316.81.wav	qa-cua-small-json/pa-062__vull-dir__316_81.json	pendent-audicio
pa-063	vull dir	822.45-827.51	clips/pa-063__vull-dir__822.45.wav	qa-cua-small-json/pa-063__vull-dir__822_45.json	pendent-audicio
pa-065	vull dir	1401.05-1404.55	clips/pa-065__vull-dir__1401.05.wav	qa-cua-small-json/pa-065__vull-dir__1401_05.json	pendent-audicio
pa-001	o sigui	49.17-54.35	clips/pa-001__o-sigui__49.17.wav	qa-cua-small-json/pa-001__o-sigui__49_17.json	pendent-audicio
pa-005	o sigui	373.33-379.95	clips/pa-005__o-sigui__373.33.wav	qa-cua-small-json/pa-005__o-sigui__373_33.json	pendent-audicio
pa-006	o sigui	136.25-143.75	clips/pa-006__o-sigui__136.25.wav	qa-cua-small-json/pa-006__o-sigui__136_25.json	pendent-audicio
pa-009	o sigui	234.25-238.75	clips/pa-009__o-sigui__234.25.wav	qa-cua-small-json/pa-009__o-sigui__234_25.json	pendent-audicio
pa-014	o sigui	658.45-674.95	clips/pa-014__o-sigui__658.45.wav	qa-cua-small-json/pa-014__o-sigui__658_45.json	pendent-audicio
pa-015	o sigui	104.25-109.75	clips/pa-015__o-sigui__104.25.wav	qa-cua-small-json/pa-015__o-sigui__104_25.json	pendent-audicio
pa-016	o sigui	311.25-316.15	clips/pa-016__o-sigui__311.25.wav	qa-cua-small-json/pa-016__o-sigui__311_25.json	pendent-audicio
pa-022	o sigui	42.93-48.95	clips/pa-022__o-sigui__42.93.wav	qa-cua-small-json/pa-022__o-sigui__42_93.json	pendent-audicio
pa-024	o sigui	554.49-565.07	clips/pa-024__o-sigui__554.49.wav	qa-cua-small-json/pa-024__o-sigui__554_49.json	pendent-audicio
pa-025	o sigui	1462.85-1472.59	clips/pa-025__o-sigui__1462.85.wav	qa-cua-small-json/pa-025__o-sigui__1462_85.json	pendent-audicio
pa-026	o sigui	434.17-437.67	clips/pa-026__o-sigui__434.17.wav	qa-cua-small-json/pa-026__o-sigui__434_17.json	pendent-audicio
pa-027	o sigui	361.61-366.71	clips/pa-027__o-sigui__361.61.wav	qa-cua-small-json/pa-027__o-sigui__361_61.json	pendent-audicio
pa-029	o sigui	243.13-248.63	clips/pa-029__o-sigui__243.13.wav	qa-cua-small-json/pa-029__o-sigui__243_13.json	pendent-audicio
pa-030	o sigui	1016.41-1021.47	clips/pa-030__o-sigui__1016.41.wav	qa-cua-small-json/pa-030__o-sigui__1016_41.json	pendent-audicio
pa-034	o sigui	1106.09-1110.75	clips/pa-034__o-sigui__1106.09.wav	qa-cua-small-json/pa-034__o-sigui__1106_09.json	pendent-audicio
pa-038	o sigui	16.65-22.87	clips/pa-038__o-sigui__16.65.wav	qa-cua-small-json/pa-038__o-sigui__16_65.json	pendent-audicio
pa-040	o sigui	115.73-119.91	clips/pa-040__o-sigui__115.73.wav	qa-cua-small-json/pa-040__o-sigui__115_73.json	pendent-audicio
pa-045	o sigui	226.17-233.31	clips/pa-045__o-sigui__226.17.wav	qa-cua-small-json/pa-045__o-sigui__226_17.json	pendent-audicio
pa-046	o sigui	230.61-235.23	clips/pa-046__o-sigui__230.61.wav	qa-cua-small-json/pa-046__o-sigui__230_61.json	pendent-audicio
pa-048	o sigui	581.65-585.99	clips/pa-048__o-sigui__581.65.wav	qa-cua-small-json/pa-048__o-sigui__581_65.json	pendent-audicio
pa-049	o sigui	365.21-373.35	clips/pa-049__o-sigui__365.21.wav	qa-cua-small-json/pa-049__o-sigui__365_21.json	pendent-audicio
pa-055	o sigui	434.17-437.67	clips/pa-055__o-sigui__434.17.wav	qa-cua-small-json/pa-055__o-sigui__434_17.json	pendent-audicio
pa-056	o sigui	1016.49-1021.67	clips/pa-056__o-sigui__1016.49.wav	qa-cua-small-json/pa-056__o-sigui__1016_49.json	pendent-audicio
