id_persona	cluster	distancia_centre	ratio_veu	rms_db_median	zcr_median	f0_median_hz	f0_p10_hz	f0_p90_hz	paraules_minut_span	pausa_percent_span	estat_cluster
pa-043	prosodia-3	1.868	0.5729	-32.0900	0.0986	218.5500	187.9000	369.1000	155.3400	0.0000	exploratori; revisió auditiva pendent
pa-045	prosodia-4	1.639	0.5086	-34.6600	0.0782	271.0200	146.2600	342.3000	148.5000	5.7200	exploratori; revisió auditiva pendent
pa-046	prosodia-2	1.611	0.5707	-32.6600	0.0736	232.3100	131.4700	328.2000	142.0300	8.5500	exploratori; revisió auditiva pendent
pa-048	prosodia-4	1.785	0.4176	-39.3800	0.0782	188.7500	129.4500	325.2700	111.7400	7.9900	exploratori; revisió auditiva pendent
pa-049	prosodia-2	1.671	0.6630	-29.0100	0.0829	223.5600	127.8500	329.2900	151.0100	2.7300	exploratori; revisió auditiva pendent
pa-051	prosodia-1	3.059	0.6552	-30.3800	0.0673	216.9800	123.7700	330.2000	134.8600	22.8800	exploratori; revisió auditiva pendent
pa-052	prosodia-1	3.402	0.8750	-21.8900	0.0689	217.3400	146.2900	293.1800	63.0800	5.3800	exploratori; revisió auditiva pendent
pa-053	prosodia-1	1.706	0.7369	-24.3200	0.0516	166.0900	100.2100	316.1500	127.3000	13.6600	exploratori; revisió auditiva pendent
pa-054	prosodia-1	1.487	0.7272	-25.9800	0.0673	202.7000	129.6100	323.8400	117.9500	18.8500	exploratori; revisió auditiva pendent
pa-055	prosodia-4	2.259	0.4784	-36.1900	0.0908	258.9300	112.5100	344.9800	124.2100	13.7400	exploratori; revisió auditiva pendent
pa-056	prosodia-2	1.442	0.5440	-33.4500	0.0689	143.0800	108.7500	317.7700	160.0000	3.3000	exploratori; revisió auditiva pendent
pa-057	prosodia-2	1.444	0.5533	-33.8400	0.0798	204.8700	96.7000	336.6500	162.2800	2.6300	exploratori; revisió auditiva pendent
pa-058	prosodia-2	1.788	0.5861	-31.1800	0.0610	264.9200	125.5400	328.0100	134.0500	2.1800	exploratori; revisió auditiva pendent
pa-059	prosodia-2	1.232	0.5560	-32.0800	0.0673	213.7300	150.9300	331.2600	145.7800	3.0700	exploratori; revisió auditiva pendent
pa-060	prosodia-2	1.751	0.6257	-30.1900	0.0673	137.2600	120.1200	306.2100	139.7200	5.1000	exploratori; revisió auditiva pendent
pa-061	prosodia-3	2.080	0.7310	-28.6600	0.1095	245.4100	146.2600	332.4100	126.1600	7.5300	exploratori; revisió auditiva pendent
pa-062	prosodia-4	1.958	0.5339	-33.9500	0.0657	229.4400	131.1900	340.2900	137.9100	9.5800	exploratori; revisió auditiva pendent
pa-063	prosodia-2	2.107	0.5948	-31.8100	0.0720	214.7700	168.5500	292.7700	139.2800	6.4200	exploratori; revisió auditiva pendent
pa-064	prosodia-2	1.659	0.5412	-33.1600	0.0689	207.0300	127.2700	334.4900	119.0700	5.2500	exploratori; revisió auditiva pendent
pa-065	prosodia-2	1.608	0.4966	-35.1400	0.0704	186.9000	126.7400	328.0300	158.1200	8.1200	exploratori; revisió auditiva pendent
pa-066	prosodia-3	1.211	0.6222	-31.7700	0.0814	255.4700	174.7200	337.0400	148.5400	3.6500	exploratori; revisió auditiva pendent
