forma	id_persona	interval_escolta	clip	forma_en_qa	durada_s	veu_proporcio	rms_p10_db	rms_p50_db	rms_p90_db	zcr_p10	zcr_p90	f0_median_hz	f0_iqr_hz	centroid_median_hz	centroid_p90_hz	segments_veu	pausa_mediana_s	mostres_f0	nota
bé	pa-024	175.29-180.79	clips/pa-024__b__175.29.wav	no	5.500	0.3029	-55.84	-38.60	-29.36	0.0349	0.1596	332.96	53.02	840.78	1882.72	11	0.070	41	descriptor orientatiu; no és anotació fonètica
bé	pa-025	1023.77-1027.67	clips/pa-025__b__1023.77.wav	no	3.900	0.6031	-46.39	-33.16	-22.65	0.0376	0.3488	280.46	107.99	907.57	3566.97	14	0.100	59	descriptor orientatiu; no és anotació fonètica
bé	pa-026	99.97-103.47	clips/pa-026__b__99.97.wav	sí	3.500	0.1897	-62.54	-51.55	-29.97	0.0563	0.2786	304.24	49.11	2115.92	2909.90	5	0.120	17	descriptor orientatiu; no és anotació fonètica
bé	pa-027	30.97-36.55	clips/pa-027__b__30.97.wav	no	5.580	0.4532	-55.50	-36.52	-25.74	0.0344	0.2113	214.73	134.30	1025.33	2137.11	18	0.100	63	descriptor orientatiu; no és anotació fonètica
bé	pa-028	182.49-187.39	clips/pa-028__b__182.49.wav	sí	4.900	0.4426	-59.91	-37.51	-24.10	0.0188	0.2254	146.72	37.58	1393.46	2583.45	12	0.080	52	descriptor orientatiu; no és anotació fonètica
bé	pa-029	42.97-46.79	clips/pa-029__b__42.97.wav	no	3.820	0.6316	-42.16	-30.28	-21.26	0.0516	0.2629	211.38	189.71	1119.15	2847.53	12	0.040	59	descriptor orientatiu; no és anotació fonètica
bé	pa-030	436.45-441.63	clips/pa-030__b__436.45.wav	sí	5.180	0.3643	-63.36	-47.22	-25.37	0.0423	0.1804	162.97	116.69	1637.11	2284.72	10	0.060	47	descriptor orientatiu; no és anotació fonètica
bé	pa-031	329.13-333.07	clips/pa-031__b__329.13.wav	no	3.940	0.5867	-63.30	-31.71	-24.69	0.0305	0.1901	142.75	184.63	847.67	2287.74	6	0.100	58	descriptor orientatiu; no és anotació fonètica
bé	pa-032	270.41-274.95	clips/pa-032__b__270.41.wav	sí	4.540	0.5177	-61.60	-34.19	-22.65	0.0329	0.1635	239.97	80.29	986.18	2137.80	10	0.120	58	descriptor orientatiu; no és anotació fonètica
bé	pa-033	103.09-107.43	clips/pa-033__b__103.09.wav	sí	4.340	0.6991	-46.59	-29.43	-21.12	0.0376	0.3302	247.18	92.54	938.35	3247.96	18	0.060	74	descriptor orientatiu; no és anotació fonètica
bé	pa-034	18.85-23.15	clips/pa-034__b__18.85.wav	sí	4.300	0.5935	-49.58	-33.51	-26.49	0.0302	0.2562	169.96	55.20	1100.52	2785.07	14	0.120	64	descriptor orientatiu; no és anotació fonètica
