forma	n_tokens	n_parlants	f0_median_hz	f1_median_hz	f2_median_hz	f3_median_hz
a nivell	15	15	140.15	566.70	1850.56	2615.37
a veure	21	20	149.76	596.96	1509.90	2565.99
aleshores	1	1		1567.02	2587.02	3187.61
aviam	2	2	120.35	576.65	1719.08	2499.80
bueno	13	12	140.55	755.32	1634.00	2786.85
bé	31	26	140.00	459.96	1742.93	2647.25
clar	22	21	136.43	606.80	1768.51	2615.68
crec	26	26	139.87	584.95	1764.83	2894.31
de fet	13	13	116.67	486.38	1820.82	2621.87
diguem	14	14	122.10	394.00	1844.41	2741.32
doncs	17	16	149.45	620.12	1893.86	2887.19
ensenyança	1	1	145.05	433.77	1670.25	2698.89
evidentment	20	20	96.80	552.38	1745.24	2540.59
llavors	14	14	131.85	542.66	1732.77	2997.66
o sigui	11	11	108.19	670.15	1866.05	2972.81
perquè	43	43	135.31	535.18	1783.93	2679.44
reformeta	6	6	193.97	466.44	1631.31	2819.39
tirar endavant	5	5	150.58	591.97	1807.60	3097.48
vull dir	15	14	142.08	445.28	1598.88	2628.97
és a dir	19	19	125.70	615.77	1889.81	2842.32
