id_persona	forma	clip	occurrence	local_start_s	local_end_s	absolute_start_s	absolute_end_s	prob_min	text	centre_rel_s	f0_hz	f1_hz	f2_hz	f3_hz	estat
pa-027	és a dir	clips/pa-027__s-a-dir__185.61.wav	1	2.000	2.580	187.610	188.190	0.0979	és a dir	2.290	113.13	809.94	2257.49	3244.43	coincidència small/base; mesures instrumentals; pendent d’audició
pa-028	doncs	clips/pa-028__doncs__329.33.wav	1	0.000	0.360	329.330	329.690	0.0937	Doncs	0.180	176.75	366.55	680.00	2496.72	coincidència small/base; mesures instrumentals; pendent d’audició
pa-029	tirar endavant	clips/pa-029__tirar-endavant__56.73.wav	1	4.880	5.370	61.610	62.100	0.6249	tirar endavant	5.125	98.85	551.55	1931.58	2701.23	coincidència small/base; mesures instrumentals; pendent d’audició
pa-030	tirar endavant	clips/pa-030__tirar-endavant__185.61.wav	1	1.470	2.430	187.080	188.040	0.5971	tirar endavant	1.950	111.91	559.52	1475.33	2009.28	coincidència small/base; mesures instrumentals; pendent d’audició
pa-030	vull dir	clips/pa-030__vull-dir__842.69.wav	1	0.750	1.800	843.440	844.490	0.5334	vull dir	1.275		851.81	2221.90	3115.51	coincidència small/base; mesures instrumentals; pendent d’audició
pa-031	de fet	clips/pa-031__de-fet__9.93.wav	1	0.120	0.720	10.050	10.650	0.3602	de fet	0.420		1159.58	1901.94	2525.72	coincidència small/base; mesures instrumentals; pendent d’audició
pa-032	bueno	clips/pa-032__bueno__44.73.wav	1	0.070	0.440	44.800	45.170	0.2786	bueno	0.255		826.35	1587.18	2775.46	coincidència small/base; mesures instrumentals; pendent d’audició
pa-032	aleshores	clips/pa-032__aleshores__79.09.wav	1	2.250	3.030	81.340	82.120	0.1872	aleshores	2.640	107.16	436.26	1502.39	2267.47	coincidència small/base; mesures instrumentals; pendent d’audició
pa-033	de fet	clips/pa-033__de-fet__249.69.wav	1	0.930	1.350	250.620	251.040	0.6256	de fet	1.140	116.74	459.86	1750.71	2425.34	coincidència small/base; mesures instrumentals; pendent d’audició
pa-034	a veure	clips/pa-034__a-veure__94.05.wav	1	2.320	3.000	96.370	97.050	0.3355	a veure	2.660	134.20	533.51	2156.77	2815.35	coincidència small/base; mesures instrumentals; pendent d’audició
pa-034	diguem	clips/pa-034__diguem__504.45.wav	1	2.000	2.380	506.450	506.830	0.3271	diguem	2.190	134.87	568.38	2288.86	2860.31	coincidència small/base; mesures instrumentals; pendent d’audició
pa-036	evidentment	clips/pa-036__evidentment__202.85.wav	1	4.920	5.560	207.770	208.410	0.3747	evidentment	5.240	91.40	516.06	1693.08	2505.07	coincidència small/base; mesures instrumentals; pendent d’audició
pa-036	a nivell	clips/pa-036__a-nivell__386.45.wav	1	7.450	8.040	393.900	394.490	0.8840	a nivell	7.745	91.45	435.02	1934.11	2583.72	coincidència small/base; mesures instrumentals; pendent d’audició
pa-038	vull dir	clips/pa-038__vull-dir__1576.57.wav	1	3.690	4.440	1580.260	1581.010	0.6515	vull dir	4.065		863.48	1894.22	2868.83	coincidència small/base; mesures instrumentals; pendent d’audició
pa-038	reformeta	clips/pa-038__reformeta__1821.69.wav	1	3.230	3.970	1824.920	1825.660	0.9914	reformeta	3.600		581.68	1764.63	3012.67	coincidència small/base; mesures instrumentals; pendent d’audició
pa-040	de fet	clips/pa-040__de-fet__70.17.wav	1	2.030	2.060	72.200	72.230	0.6490	de fet	2.045	83.35	346.24	1717.57	2526.09	coincidència small/base; mesures instrumentals; pendent d’audició
pa-041	vull dir	clips/pa-041__vull-dir__264.25.wav	1	0.290	1.130	264.540	265.380	0.2244	vull dir	0.710	205.19	448.91	1802.64	2686.73	coincidència small/base; mesures instrumentals; pendent d’audició
pa-041	ensenyança	clips/pa-041__ensenyan-a__523.25.wav	1	7.000	7.000	530.250	530.250	0.5361	ensenyança	7.000		677.10	1799.86	2846.69	coincidència small/base; mesures instrumentals; pendent d’audició
pa-042	perquè	clips/pa-042__perqu__29.13.wav	1	2.100	2.440	31.230	31.570	0.5302	perquè	2.270	269.20	552.95	2056.07	2755.30	coincidència small/base; mesures instrumentals; pendent d’audició
pa-043	crec	clips/pa-043__crec__102.25.wav	1	5.000	5.240	107.250	107.490	0.9936	crec	5.120	173.25	700.69	1837.18	2600.09	coincidència small/base; mesures instrumentals; pendent d’audició
pa-045	evidentment	clips/pa-045__evidentment__290.13.wav	1	1.000	1.750	291.130	291.880	0.5521	evidentment	1.375	76.71	370.18	1429.43	2213.07	coincidència small/base; mesures instrumentals; pendent d’audició
pa-046	diguem	clips/pa-046__diguem__626.01.wav	1	1.980	2.410	627.990	628.420	0.3353	diguem	2.195	118.35	399.98	1432.10	2456.83	coincidència small/base; mesures instrumentals; pendent d’audició
pa-048	crec	clips/pa-048__crec__110.97.wav	1	2.490	2.610	113.460	113.580	0.9820	crec	2.550	139.53	651.98	1617.43	3157.88	coincidència small/base; mesures instrumentals; pendent d’audició
pa-048	a nivell	clips/pa-048__a-nivell__435.77.wav	1	3.800	4.240	439.570	440.010	0.3484	a nivell	4.020	169.69	401.68	1882.96	2824.58	coincidència small/base; mesures instrumentals; pendent d’audició
pa-049	a veure	clips/pa-049__a-veure__244.85.wav	1	8.420	8.600	253.270	253.450	0.5898	a veure	7.165					coincidència small/base; mesures instrumentals; pendent d’audició
pa-051	crec	clips/pa-051__crec__208.57.wav	1	0.120	0.370	208.690	208.940	0.9472	crec	0.245	109.38	479.98	1603.08	2520.11	coincidència small/base; mesures instrumentals; pendent d’audició
pa-053	perquè	clips/pa-053__perqu__113.93.wav	1	2.000	2.710	115.930	116.640	0.4895	perquè	2.355	109.22	1133.34	1743.32	3151.71	coincidència small/base; mesures instrumentals; pendent d’audició
pa-054	bueno	clips/pa-054__bueno__51.69.wav	1	0.790	0.910	52.480	52.600	0.9223	bueno	0.850	173.35	366.11	2284.68	3414.67	coincidència small/base; mesures instrumentals; pendent d’audició
pa-055	reformeta	clips/pa-055__reformeta__139.05.wav	1	2.850	3.800	141.900	142.850	0.9761	reformeta	3.325		368.71	1818.78	2634.03	coincidència small/base; mesures instrumentals; pendent d’audició
pa-056	vull dir	clips/pa-056__vull-dir__842.65.wav	1	0.750	1.800	843.400	844.450	0.6352	vull dir	1.275		794.29	1998.16	2520.05	coincidència small/base; mesures instrumentals; pendent d’audició
pa-057	tirar endavant	clips/pa-057__tirar-endavant__56.61.wav	1	5.150	5.800	61.760	62.410	0.6046	tirar endavant	5.475		289.91	1528.73	2699.95	coincidència small/base; mesures instrumentals; pendent d’audició
pa-058	perquè	clips/pa-058__perqu__91.09.wav	1	1.530	1.890	92.620	92.980	0.9219	perquè	1.710	144.46	422.72	756.12	2439.10	coincidència small/base; mesures instrumentals; pendent d’audició
pa-059	clar	clips/pa-059__clar__36.61.wav	1	1.580	1.730	38.190	38.340	0.9126	clar	1.655	186.88	850.76	1640.31	3046.10	coincidència small/base; mesures instrumentals; pendent d’audició
pa-060	de fet	clips/pa-060__de-fet__72.57.wav	1	4.000	4.850	76.570	77.420	0.3825	de fet	4.425		656.53	1927.28	3050.90	coincidència small/base; mesures instrumentals; pendent d’audició
pa-062	és a dir	clips/pa-062__s-a-dir__973.65.wav	1	2.000	2.440	975.650	976.090	0.2861	és a dir	2.220	84.39	446.02	1380.76	2535.98	coincidència small/base; mesures instrumentals; pendent d’audició
pa-063	crec	clips/pa-063__crec__758.81.wav	1	2.800	3.010	761.610	761.820	0.9937	crec	2.905		1021.28	2226.64	3434.73	coincidència small/base; mesures instrumentals; pendent d’audició
pa-063	o sigui	clips/pa-063__o-sigui__826.09.wav	1	0.000	0.540	826.090	826.630	0.0141	O sigui	0.270	167.62	391.44	886.76	2541.21	coincidència small/base; mesures instrumentals; pendent d’audició
pa-065	bé	clips/pa-065__b__138.57.wav	1	1.380	1.710	139.950	140.280	0.2481	bé	1.545	125.51	408.57	1651.04	2378.66	coincidència small/base; mesures instrumentals; pendent d’audició
pa-065	doncs	clips/pa-065__doncs__157.49.wav	1	2.240	2.270	159.730	159.760	0.5466	doncs	2.255	140.60	281.36	2046.36	2717.53	coincidència small/base; mesures instrumentals; pendent d’audició
pa-066	bueno	clips/pa-066__bueno__357.23.wav	1	2.000	2.020	359.230	359.250	0.6883	bueno	2.010	138.63	557.28	826.99	2824.68	coincidència small/base; mesures instrumentals; pendent d’audició
