id_persona	estat	tokens	tipus_lexics	type_token_ratio	repeticio_3gram	marcadors	formes_territorials	pronoms_clitics	perifrasi_past_aparent	primera_persona	negacio	nota
pa-034	analitzada-provisional-contextual	3661	693	0.1893	0.1207	bé=25;bueno=26;clar=57;doncs=28;llavors=25;és a dir=3;o sigui=1;vull dir=156;a veure=7;diguem=1;perquè=32;per tant=14;a nivell=9;no?=109	parròquia=2;comú=1;Canillo=5;Massana=1	305	116	34	191	recompte ASR; validar contra àudio
pa-035	analitzada-provisional-contextual	1559	530	0.3400	0.0464	bé=3;bueno=1;clar=2;doncs=2;és a dir=1;a veure=2;evidentment=1;perquè=7	comú=1;comuns=1;Escaldes=1	204	92	18	18	recompte ASR; validar contra àudio
pa-036	analitzada-provisional-contextual	2022	571	0.2824	0.0466	bé=4;bueno=3;clar=5;doncs=1;llavors=1;vull dir=1;a veure=1;evidentment=4;perquè=22;per tant=2;a nivell=1	comú=5;copríncep=1;Canillo=1;Ordino=1;Escaldes=1;Sant Julià=1	252	81	21	24	recompte ASR; validar contra àudio
pa-037	analitzada-provisional-contextual	1144	411	0.3593	0.0372	bé=5;bueno=4;clar=4;doncs=3;llavors=3;vull dir=1;diguem=1;perquè=8	parròquia=1;comú=1;Canillo=1	114	36	20	22	recompte ASR; validar contra àudio
pa-038	analitzada-provisional-contextual	4735	1139	0.2405	0.0593	bé=25;bueno=1;clar=7;doncs=2;llavors=9;o sigui=7;vull dir=1;a veure=1;diguem=3;perquè=16;a nivell=2;no?=8	parròquia=1;comuns=2;copríncep=1;coprínceps=12;veguer=1;Canillo=1;Escaldes=4	615	116	36	106	recompte ASR; validar contra àudio
pa-039	analitzada-provisional-contextual	1452	485	0.3340	0.0350	bé=8;bueno=1;clar=9;doncs=5;és a dir=1;diguem=2;evidentment=1;perquè=13;per tant=4;no?=5	comú=1;Canillo=1;Sant Julià=4	176	35	18	38	recompte ASR; validar contra àudio
pa-040	analitzada-provisional-contextual	709	290	0.4090	0.0397	bé=3;doncs=1;de fet=1;o sigui=1;evidentment=1;perquè=5	parròquia=1	88	18	12	8	recompte ASR; validar contra àudio
pa-041	analitzada-provisional-contextual	1573	501	0.3185	0.0551	bé=3;bueno=3;clar=6;doncs=4;llavors=2;és a dir=2;vull dir=1;a veure=6;evidentment=1;perquè=18;per tant=10		173	16	20	32	recompte ASR; validar contra àudio
pa-042	analitzada-provisional-contextual	1048	349	0.3330	0.0418	clar=12;perquè=4;no?=3	Sant Julià=1	115	10	11	32	recompte ASR; validar contra àudio
pa-043	analitzada-provisional-contextual	367	163	0.4441	0.0224	bueno=1;doncs=2;és a dir=1		25	1	1	5	recompte ASR; validar contra àudio
pa-044	quarantena-asr	4421	1071	0.2423	0.2402	bé=10;bueno=11;clar=2;doncs=3;llavors=3;és a dir=1;o sigui=7;vull dir=2;a veure=2;perquè=18;a nivell=1;no?=4	veguer=1	649	78	27	230	recompte ASR; validar contra àudio
pa-045	analitzada-provisional-contextual	3933	1016	0.2583	0.1675	bé=8;bueno=6;clar=9;doncs=2;llavors=10;aleshores=1;o sigui=20;vull dir=3;a veure=1;evidentment=12;perquè=16;a nivell=1;no?=8	comunal=1;santuari=1;Escaldes=1	404	48	19	96	recompte ASR; validar contra àudio
pa-046	analitzada-provisional-contextual	2947	767	0.2603	0.0729	bé=13;bueno=15;clar=12;doncs=16;llavors=3;aleshores=4;és a dir=4;o sigui=2;diguem=2;evidentment=3;perquè=18;no?=13	Canillo=2	338	22	37	45	recompte ASR; validar contra àudio
pa-047	quarantena-asr	4094	931	0.2274	0.3759	bé=4;bueno=4;doncs=1;llavors=1;aleshores=1;és a dir=1;o sigui=2;vull dir=1;a veure=1;perquè=19;per tant=2;a nivell=1;no?=1		563	62	33	198	recompte ASR; validar contra àudio
pa-048	analitzada-provisional-contextual	2823	838	0.2968	0.0593	bé=2;bueno=3;clar=1;doncs=1;llavors=2;aleshores=2;és a dir=1;o sigui=1;vull dir=2;a veure=3;perquè=24;a nivell=2;no?=5	andorrana=1;santuari=1	362	13	41	108	recompte ASR; validar contra àudio
pa-049	analitzada-provisional-contextual	3943	1057	0.2681	0.0588	bé=10;bueno=11;clar=19;doncs=1;llavors=12;aleshores=2;és a dir=1;o sigui=8;vull dir=23;a veure=1;aviam=4;diguem=1;evidentment=2;perquè=36;a nivell=1;no?=4	andorrana=1;parròquia=3;comú=1;aiguats=1;Escaldes=1	454	66	40	82	recompte ASR; validar contra àudio
pa-050	quarantena-asr	5884	371	0.0631	5.6463	bé=2;clar=2;llavors=2;aleshores=2;de fet=4;o sigui=1;a veure=1;perquè=8;per tant=3;no?=1		876	398	6	15	recompte ASR; validar contra àudio
