expedient	model	tokens	tipus_lexics	type_token_ratio	repeticio_3gram	marcadors_discursius	formes_territorials	formes_contacte	pronoms_clitics	perifrasi_past_aparent	primera_persona	negacio	nota	estat
lead-yt-057-gabriel-lezkano	small	2578	739	0.2867	0.0540	bé=11;bueno=4;clar=9;doncs=6;és a dir=2;o sigui=1;a veure=1;aviam=1;evidentment=1;per tant=1;no?=4		castellà=2;espanyol=2;espanyola=1;anglès=1	246	21	46	55	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-yt-057-gabriel-lezkano	base	2766	724	0.2617	0.2384	bé=9;bueno=4;clar=4;doncs=2;llavors=1;és a dir=1;o sigui=2;evidentment=1;per tant=1;no?=2		castellà=3;espanyol=3;espanyola=1;anglès=1	301	18	34	275	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
