id_a	id_b	distancia_mad	features	nota
pa-041	pa-042	9.323	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-026	pa-042	9.569	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-042	pa-055	9.609	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-043	pa-066	5.982	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-026	pa-043	9.011	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-019	pa-045	2.885	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-020	pa-045	3.016	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-016	pa-045	3.337	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-046	pa-063	2.641	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-027	pa-046	2.864	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-030	pa-046	2.932	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-045	pa-048	4.675	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-037	pa-048	5.326	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-022	pa-049	4.361	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-049	pa-064	4.371	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-025	pa-049	4.658	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-001	pa-051	3.822	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-036	pa-051	4.366	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-034	pa-051	4.684	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-052	pa-054	4.379	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-052	pa-053	5.751	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-051	pa-052	10.531	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-053	pa-054	5.691	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-014	pa-053	10.723	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-051	pa-054	7.809	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-055	pa-062	4.741	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-055	pa-064	5.104	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-055	pa-065	5.176	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-058	pa-060	2.131	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-003	pa-061	36.926	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-021	pa-061	43.906	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-062	pa-065	2.568	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-036	pa-062	4.838	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-060	pa-063	3.060	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-023	pa-063	3.067	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-046	pa-064	3.537	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
