id	persona	forma	clip	f0_hz	f1_hz	f2_hz	f3_hz	pausa_mediana_s	veu_proporcio	centroid_median_hz	estat
lead-rtva-002-ian-moya::és a dir	Ian Moya	és a dir	clips/ian__s-a-dir__539.76.wav	139.67	501.78	798.25	3401.12	0.06	0.8559	1573.98	mesura instrumental; pendent d’audició
lead-rtva-002-ian-moya::vull dir	Ian Moya	vull dir	clips/ian__vull-dir__177.36.wav	109.57	445.14	1455.28	2361.28	0.06	0.8025	1654.41	mesura instrumental; pendent d’audició
lead-rtva-003-dj-neura::a veure	DJ Neura	a veure	clips/dj-neura__a-veure__33.00.wav		1885.94	3332.73	4167.78	0.07	0.8095	1333.39	mesura instrumental; pendent d’audició
lead-rtva-003-dj-neura::aleshores	DJ Neura	aleshores	clips/dj-neura__aleshores__50.00.wav	92.2	425.51	1858.48	2040.98	0.02	0.9055	1229.39	mesura instrumental; pendent d’audició
lead-rtva-003-dj-neura::bé	DJ Neura	bé	clips/dj-neura__b__44.00.wav		798.4	2042.92	3244.05	0.05	0.8246	1259.26	mesura instrumental; pendent d’audició
lead-rtva-003-dj-neura::bueno	DJ Neura	bueno	clips/dj-neura__bueno__39.00.wav	96.58	515.57	1931.5	2575.8	0.08	0.8653	1376.26	mesura instrumental; pendent d’audició
lead-rtva-003-dj-neura::clar	DJ Neura	clar	clips/dj-neura__clar__50.00.wav	92.2	425.51	1858.48	2040.98	0.02	0.9055	1229.39	mesura instrumental; pendent d’audició
lead-rtva-003-dj-neura::de fet	DJ Neura	de fet	clips/dj-neura__de-fet__33.00.wav		1885.94	3332.73	4167.78	0.07	0.8095	1333.39	mesura instrumental; pendent d’audició
lead-rtva-003-dj-neura::doncs	DJ Neura	doncs	clips/dj-neura__doncs__44.00.wav		798.4	2042.92	3244.05	0.05	0.8246	1259.26	mesura instrumental; pendent d’audició
lead-rtva-003-dj-neura::no?	DJ Neura	no?	clips/dj-neura__no__44.00.wav		798.4	2042.92	3244.05	0.05	0.8246	1259.26	mesura instrumental; pendent d’audició
lead-rtva-003-dj-neura::o sigui	DJ Neura	o sigui	clips/dj-neura__o-sigui__394.08.wav	72.82	503.77	2065.67	2922.01	0.06	0.8089	1093.75	mesura instrumental; pendent d’audició
lead-rtva-003-dj-neura::perquè	DJ Neura	perquè	clips/dj-neura__perqu__416.76.wav		921.58	1605.14	3443.0	0.04	0.8288	1312.67	mesura instrumental; pendent d’audició
lead-rtva-004-joan-mico::bé	Joan Micó	bé	clips/joan-mico__b__154.52.wav	129.74	177.63	1276.87	2474.22	0.08	0.7258	754.54	mesura instrumental; pendent d’audició
lead-rtva-004-joan-mico::bueno	Joan Micó	bueno	clips/joan-mico__bueno__75.24.wav	157.89	381.1	1741.56	2574.7	0.02	0.7532	886.97	mesura instrumental; pendent d’audició
lead-rtva-004-joan-mico::clar	Joan Micó	clar	clips/joan-mico__clar__205.88.wav	124.84	286.53	2316.79	2321.52	0.06	0.6926	824.35	mesura instrumental; pendent d’audició
lead-rtva-004-joan-mico::comuns	Joan Micó	comuns	clips/joan-mico__comuns__995.92.wav	116.89	474.32	1098.27	2404.01	0.08	0.6218	717.62	mesura instrumental; pendent d’audició
lead-rtva-004-joan-mico::de fet	Joan Micó	de fet	clips/joan-mico__de-fet__766.48.wav		777.27	1907.04	2491.68	0.1	0.6385	904.88	mesura instrumental; pendent d’audició
lead-rtva-004-joan-mico::doncs	Joan Micó	doncs	clips/joan-mico__doncs__92.28.wav	127.01	467.75	1739.28	2387.85	0.07	0.7608	803.64	mesura instrumental; pendent d’audició
lead-rtva-004-joan-mico::llavors	Joan Micó	llavors	clips/joan-mico__llavors__239.48.wav	212.47	296.77	2311.55	2966.74	0.1	0.7023	885.17	mesura instrumental; pendent d’audició
lead-rtva-004-joan-mico::no?	Joan Micó	no?	clips/joan-mico__no__64.24.wav	125.26	235.26	774.69	2269.78	0.05	0.7669	786.9	mesura instrumental; pendent d’audició
lead-rtva-004-joan-mico::o sigui	Joan Micó	o sigui	clips/joan-mico__o-sigui__379.88.wav	144.01	222.77	1263.44	2434.89	0.08	0.696	825.06	mesura instrumental; pendent d’audició
lead-rtva-004-joan-mico::per tant	Joan Micó	per tant	clips/joan-mico__per-tant__42.28.wav	103.35	749.82	1327.62	3012.57	0.08	0.7746	1218.95	mesura instrumental; pendent d’audició
lead-rtva-004-joan-mico::perquè	Joan Micó	perquè	clips/joan-mico__perqu__87.00.wav		327.88	1544.32	2711.4	0.08	0.6128	906.34	mesura instrumental; pendent d’audició
lead-rtva-004-joan-mico::vull dir	Joan Micó	vull dir	clips/joan-mico__vull-dir__60.84.wav	144.46	430.22	871.2	2191.75	0.04	0.7948	744.39	mesura instrumental; pendent d’audició
lead-cg-001-xavier-espot::andorrana	Xavier Espot	andorrana	clips/xavier-espot__andorrana__58.76.wav		480.47	1495.01	2429.17	0.06	0.5863	1187.11	mesura instrumental; pendent d’audició
lead-cg-001-xavier-espot::comú	Xavier Espot	comú	clips/xavier-espot__com__103.48.wav	110.66	374.66	1622.3	2542.4	0.07	0.4649	2027.44	mesura instrumental; pendent d’audició
