forma	parlant	ocurrencies	segments_temporals	conf_min_segment	prioritat
bueno	pa-065	3	1389.80-1393.00,1466.76-1472.68,1495.84-1500.84	0.054	alta
bueno	pa-066	1	357.98-361.82	0.039	alta
clar	pa-001	5	130.52-133.76,434.80-436.80,793.48-797.20,919.44-922.48,1084.52-1088.24	0.055	alta
clar	pa-002	14	187.00-190.00,292.00-295.00,470.00-474.00,474.00-477.00,659.00-664.00,684.00-689.00,689.00-694.00,746.00-750.00	0.095	alta
clar	pa-003	1	452.64-458.40	0.070	alta
clar	pa-005	3	156.68-159.24,279.84-287.24,291.88-298.12	0.063	alta
clar	pa-006	1	380.00-383.00	0.416	alta
clar	pa-007	1	345.00-349.00	0.549	alta
clar	pa-008	1	842.00-846.00	0.394	alta
clar	pa-009	1	100.00-105.00	0.411	alta
clar	pa-010	5	335.60-338.60,377.00-382.00,382.00-387.00,610.00-615.00,998.00-1002.00	0.040	alta
clar	pa-014	1	979.20-982.20	0.451	alta
clar	pa-016	12	176.44-179.60,315.40-319.28,362.48-367.48,387.76-391.08,394.36-400.40,411.48-416.32,469.68-472.24,589.44-597.20	0.054	alta
clar	pa-017	5	35.20-41.60,55.40-61.20,528.00-536.00,564.00-569.00,569.00-576.00	0.177	alta
clar	pa-018	12	113.48-116.60,1004.40-1011.00,1359.36-1363.48,2192.52-2194.24,2203.44-2208.12,2224.48-2228.00,2304.84-2306.56,2314.92-2320.56	0.040	alta
clar	pa-019	1	416.00-419.00	0.474	alta
clar	pa-020	28	90.56-93.56,116.24-118.24,136.40-138.40,252.96-255.68,308.52-311.04,313.56-316.04,328.92-330.92,480.28-485.64	0.021	alta
clar	pa-021	9	126.64-130.48,155.72-159.16,181.20-184.24,309.24-314.96,337.52-340.72,405.12-409.44,528.84-533.84,621.40-625.92	0.044	alta
clar	pa-022	2	108.48-112.36,619.76-623.96	0.076	alta
clar	pa-024	21	648.84-656.08,740.96-744.24,765.48-768.48,797.12-802.00,802.12-805.04,848.88-851.88,859.72-861.16,948.20-950.84	0.016	alta
clar	pa-025	9	116.84-119.20,429.00-434.04,545.12-549.28,648.92-652.12,1077.68-1081.16,1220.56-1223.56,1308.68-1313.08,1458.56-1463.52	0.021	alta
clar	pa-026	10	7.08-8.92,381.28-385.04,621.64-624.64,705.72-707.72,713.40-715.72,1027.24-1029.92,1614.72-1617.72,1653.16-1655.68	0.033	alta
clar	pa-027	11	35.88-39.72,66.04-68.04,478.04-481.48,569.72-574.44,640.68-642.60,744.52-746.76,766.68-769.24,806.04-809.80	0.101	alta
clar	pa-028	2	291.08-294.40,390.80-395.96	0.074	alta
clar	pa-029	1	359.36-361.36	0.224	alta
clar	pa-030	8	62.64-66.08,114.24-118.20,168.76-172.84,616.24-621.28,912.76-915.36,941.52-943.92,1002.12-1005.96,1083.44-1087.40	0.033	alta
clar	pa-031	4	155.32-158.20,170.40-175.12,181.80-184.88,191.76-195.80	0.064	alta
clar	pa-032	6	156.08-161.40,200.00-205.68,217.52-222.36,240.84-243.72,318.16-323.64,347.12-351.12	0.021	alta
clar	pa-033	1	55.24-56.92	0.122	alta
clar	pa-034	55	55.80-58.96,63.20-66.76,94.80-99.64,120.08-122.88,255.32-257.84,345.36-348.60,361.68-364.16,372.64-376.92	0.039	alta
clar	pa-035	2	224.36-232.84,674.48-680.52	0.052	alta
clar	pa-036	5	137.20-146.40,164.40-170.60,257.60-265.60,538.00-545.00,567.00-574.00	0.139	alta
clar	pa-037	4	187.04-198.16,326.24-338.84,363.20-372.64,372.64-381.12	0.012	alta
clar	pa-038	7	97.16-100.56,456.24-459.40,1269.60-1272.60,1302.20-1307.76,1359.72-1362.36,2053.12-2059.24,2111.56-2113.56	0.052	alta
clar	pa-039	9	46.04-48.96,118.92-125.12,234.40-238.20,263.08-266.52,282.96-286.48,299.16-303.44,395.32-398.84,451.56-455.64	0.031	alta
clar	pa-041	6	0.00-10.00,173.00-180.00,197.00-201.00,278.00-285.00,669.00-679.00,685.00-690.00	0.031	alta
clar	pa-042	12	102.72-105.88,163.00-166.20,187.72-191.08,196.52-198.28,211.68-214.56,214.64-216.96,327.84-331.64,348.68-353.88	0.047	alta
clar	pa-045	7	400.60-405.20,780.32-784.48,973.32-976.64,1079.32-1085.32,1102.12-1104.12,1160.28-1163.28,1289.16-1295.04	0.027	alta
clar	pa-046	12	173.28-176.96,222.60-227.12,317.32-322.00,439.64-443.40,472.24-476.92,514.52-516.52,608.44-611.96,658.16-661.32	0.076	alta
clar	pa-048	1	390.40-391.40	0.055	alta
clar	pa-049	17	382.76-389.36,396.00-399.80,431.16-434.60,434.60-435.60,451.60-456.80,531.08-535.28,582.12-583.12,587.12-589.12	0.070	alta
clar	pa-051	2	162.60-166.32,183.76-186.68	0.070	alta
clar	pa-052	1	60.72-63.92	0.029	alta
clar	pa-055	10	7.04-8.92,380.92-384.80,621.44-623.84,705.88-707.88,712.60-715.68,1025.08-1029.84,1614.68-1617.60,1654.36-1658.44	0.038	alta
clar	pa-056	7	63.20-66.12,113.52-117.36,168.60-172.60,612.96-624.36,940.44-943.92,999.96-1006.12,1083.52-1087.36	0.016	alta
clar	pa-057	1	358.32-363.32	0.027	alta
clar	pa-058	12	113.56-116.52,1004.20-1010.48,1359.28-1363.36,2192.12-2197.48,2203.16-2206.48,2224.32-2227.44,2314.88-2320.56,2439.64-2443.12	0.023	alta
clar	pa-059	5	37.36-41.48,54.20-59.12,533.32-536.00,563.24-565.24,569.24-575.64	0.045	alta
clar	pa-061	7	377.44-381.44,457.76-462.96,478.92-481.88,632.28-637.52,921.56-926.00,1046.80-1050.76,1293.60-1298.12	0.024	alta
clar	pa-062	3	203.12-207.56,925.76-930.44,1344.60-1349.44	0.055	alta
clar	pa-063	3	393.24-396.36,599.08-603.44,910.48-913.40	0.091	alta
clar	pa-064	3	110.72-115.12,127.72-133.40,1185.60-1188.52	0.078	alta
clar	pa-065	13	222.04-225.40,287.76-293.08,320.00-323.40,381.20-384.08,757.76-762.12,774.08-777.20,822.68-825.60,952.52-956.64	0.029	alta
vull dir	pa-001	2	622.12-624.64,972.08-976.24	0.134	alta
vull dir	pa-002	5	173.00-176.00,1268.00-1273.00,1480.00-1482.00,1596.00-1601.00,2611.00-2614.00	0.050	alta
vull dir	pa-004	1	144.20-149.84	0.051	alta
vull dir	pa-014	8	20.40-29.40,180.80-187.80,187.80-195.20,195.20-208.00,208.00-216.60,258.00-268.40,268.40-275.80,275.80-282.80	0.116	alta
vull dir	pa-016	2	323.28-327.08,507.08-511.20	0.175	alta
vull dir	pa-017	5	273.00-279.00,328.00-332.00,504.00-510.00,528.00-536.00,569.00-576.00	0.322	alta
vull dir	pa-020	12	166.20-170.24,387.52-389.92,406.16-410.04,462.88-466.96,606.28-608.64,1088.00-1090.36,1098.32-1101.88,1145.32-1148.16	0.034	alta
vull dir	pa-021	2	315.04-322.36,813.52-817.32	0.088	alta
vull dir	pa-022	4	308.92-311.52,426.64-430.36,566.72-568.88,673.60-678.20	0.038	alta
vull dir	pa-023	19	22.80-25.68,49.56-55.32,118.96-123.36,130.88-135.00,180.28-183.56,183.64-186.24,197.64-201.80,353.60-357.56	0.040	alta
vull dir	pa-025	1	644.48-648.84	0.170	alta
vull dir	pa-026	2	312.52-315.32,1611.40-1614.64	0.053	alta
vull dir	pa-027	5	255.00-260.12,277.08-280.44,344.68-347.00,437.48-440.52,478.04-481.48	0.047	alta
vull dir	pa-030	1	843.44-847.48	0.080	alta
vull dir	pa-031	2	208.52-212.00,533.20-536.36	0.108	alta
vull dir	pa-032	1	390.04-393.04	0.039	alta
vull dir	pa-033	2	57.00-61.88,245.36-247.40	0.059	alta
vull dir	pa-034	140	59.04-60.76,71.16-75.56,77.04-80.84,80.92-82.92,99.72-101.20,120.08-122.88,127.68-129.60,131.76-137.20	0.022	alta
vull dir	pa-036	1	633.00-637.00	0.234	alta
vull dir	pa-037	1	414.76-425.36	0.031	alta
vull dir	pa-038	1	1577.32-1581.64	0.150	alta
vull dir	pa-041	1	265.00-271.00	0.742	normal
vull dir	pa-045	3	780.32-784.48,819.36-821.36,854.04-856.04	0.072	alta
vull dir	pa-048	1	994.44-998.44	0.103	alta
vull dir	pa-049	23	208.84-213.88,223.60-231.20,382.76-389.36,404.36-408.60,431.16-434.60,440.12-444.76,451.60-456.80,589.12-592.60	0.018	alta
vull dir	pa-055	2	312.48-315.16,1612.20-1614.60	0.070	alta
vull dir	pa-056	1	843.40-847.32	0.156	alta
vull dir	pa-058	1	975.88-978.80	0.125	alta
vull dir	pa-059	5	272.56-278.60,327.88-330.80,507.76-510.52,526.84-529.00,565.24-569.24	0.054	alta
vull dir	pa-060	19	21.40-25.60,49.52-55.32,119.00-123.36,130.84-134.92,178.72-181.88,183.88-186.36,197.88-201.88,353.20-357.64	0.023	alta
vull dir	pa-061	2	194.32-199.28,408.52-412.96	0.078	alta
vull dir	pa-062	10	317.56-325.64,325.76-328.60,328.72-331.48,331.60-334.20,334.32-336.64,336.76-339.28,339.40-341.76,341.88-344.36	0.003	alta
vull dir	pa-063	1	823.20-826.76	0.127	alta
vull dir	pa-065	1	1401.80-1403.80	0.365	alta
o sigui	pa-001	10	49.92-53.60,180.04-182.96,302.96-305.56,448.84-454.12,497.44-500.28,579.48-582.56,735.24-737.64,879.40-881.40	0.043	alta
o sigui	pa-005	1	374.08-379.20	0.057	alta
o sigui	pa-006	4	137.00-143.00,316.00-321.00,586.00-593.00,608.00-611.00	0.212	alta
o sigui	pa-009	2	235.00-238.00,413.00-421.00	0.245	alta
o sigui	pa-014	1	659.20-674.20	0.481	alta
o sigui	pa-015	1	105.00-109.00	0.491	alta
o sigui	pa-016	2	312.00-315.40,634.40-642.24	0.131	alta
o sigui	pa-022	1	43.68-48.20	0.098	alta
o sigui	pa-024	2	555.24-564.32,1964.92-1968.16	0.105	alta
o sigui	pa-025	1	1463.60-1471.84	0.160	alta
o sigui	pa-026	4	434.92-436.92,803.36-808.80,1301.76-1303.76,1309.04-1312.80	0.013	alta
o sigui	pa-027	1	362.36-365.96	0.066	alta
o sigui	pa-029	2	243.88-247.88,250.44-253.68	0.058	alta
o sigui	pa-030	1	1017.16-1020.72	0.107	alta
o sigui	pa-034	1	1106.84-1110.00	0.067	alta
o sigui	pa-038	7	17.40-22.12,106.44-109.32,577.12-580.96,581.04-584.76,955.24-958.60,1913.68-1921.08,1947.32-1951.96	0.037	alta
o sigui	pa-040	1	116.48-119.16	0.050	alta
o sigui	pa-045	20	226.92-232.56,241.36-244.88,252.24-254.56,278.04-280.04,304.80-308.80,308.88-312.24,330.40-334.52,374.64-376.76	0.032	alta
o sigui	pa-046	2	231.36-234.48,394.44-398.88	0.090	alta
o sigui	pa-048	1	582.40-585.24	0.102	alta
o sigui	pa-049	8	365.96-372.60,425.72-431.16,549.08-554.52,570.84-575.16,620.48-624.80,643.00-646.00,896.00-898.00,1061.00-1065.00	0.060	alta
o sigui	pa-055	5	434.92-436.92,804.88-808.44,1301.64-1304.00,1308.96-1312.84,1854.12-1858.64	0.035	alta
o sigui	pa-056	1	1017.24-1020.92	0.075	alta
o sigui	pa-057	1	250.20-253.36	0.042	alta
o sigui	pa-059	1	266.88-270.40	0.201	alta
o sigui	pa-061	7	161.80-166.64,185.92-188.48,639.68-644.12,657.24-660.64,765.84-769.36,1109.88-1112.80,1448.44-1453.32	0.037	alta
o sigui	pa-062	4	236.76-240.96,903.48-905.48,997.12-1002.08,1032.72-1035.24	0.087	alta
o sigui	pa-063	6	826.84-830.20,1035.92-1039.48,1326.28-1331.64,1422.80-1424.80,1428.36-1431.04,1487.28-1491.72	0.080	alta
o sigui	pa-064	7	37.48-39.48,138.84-142.04,174.04-176.72,272.84-276.68,312.88-318.20,500.48-504.00,1242.44-1245.44	0.024	alta
o sigui	pa-065	4	192.40-194.40,822.68-825.60,1176.24-1178.28,1187.84-1194.84	0.068	alta
llavors	pa-001	1	837.92-840.36	0.068	alta
llavors	pa-002	13	551.00-556.00,561.00-570.00,579.00-584.00,604.00-611.00,621.00-628.00,628.00-633.00,787.00-794.00,824.00-826.00	0.090	alta
llavors	pa-005	1	434.04-438.52	0.051	alta
llavors	pa-006	3	215.00-220.00,220.00-225.00,447.00-451.00	0.032	alta
llavors	pa-007	1	658.00-663.00	0.592	normal
llavors	pa-009	1	202.00-207.00	0.479	alta
llavors	pa-010	5	387.00-391.00,555.00-559.00,821.00-825.00,956.00-961.00,1020.00-1024.00	0.021	alta
llavors	pa-014	4	229.00-236.60,308.60-315.20,329.40-339.00,584.20-594.20	0.065	alta
llavors	pa-015	1	198.00-204.00	0.284	alta
llavors	pa-016	10	15.80-20.16,51.32-57.44,165.88-170.80,280.08-282.96,370.48-375.16,500.08-504.20,511.20-517.88,562.12-566.04	0.054	alta
llavors	pa-017	2	362.00-368.00,699.00-705.00	0.315	alta
llavors	pa-018	2	1055.84-1058.12,2344.92-2348.08	0.068	alta
llavors	pa-019	1	423.00-427.00	0.302	alta
llavors	pa-022	6	58.12-60.60,78.08-81.80,81.88-85.80,378.48-381.44,522.52-525.76,682.48-685.28	0.031	alta
llavors	pa-023	4	49.56-55.32,89.00-93.16,148.08-151.36,160.56-164.36	0.035	alta
llavors	pa-024	12	337.60-340.52,737.48-739.88,802.12-805.04,868.12-873.36,1193.32-1195.56,1208.76-1211.80,1268.24-1273.16,1318.16-1320.08	0.004	alta
llavors	pa-026	15	81.88-83.88,106.36-109.76,265.04-268.16,325.76-331.12,425.56-429.00,446.32-449.32,546.36-548.36,574.68-576.68	0.015	alta
llavors	pa-027	8	138.68-142.68,154.20-156.68,347.08-349.80,398.20-401.80,411.80-414.76,506.76-509.80,577.56-580.20,635.72-640.60	0.085	alta
llavors	pa-028	3	151.76-155.16,191.68-195.28,206.88-212.28	0.067	alta
llavors	pa-029	8	43.72-46.04,167.52-171.20,224.44-226.44,253.76-256.60,457.68-460.28,559.36-562.64,682.56-685.92,956.64-962.08	0.034	alta
llavors	pa-030	2	158.36-162.40,564.72-567.52	0.097	alta
llavors	pa-032	10	174.88-177.92,205.76-210.88,236.04-240.76,308.80-311.60,323.72-328.12,328.20-330.92,337.00-343.16,343.24-347.04	0.044	alta
llavors	pa-033	1	72.28-75.60	0.114	alta
llavors	pa-034	25	29.92-31.92,63.20-66.76,122.96-125.32,219.16-223.16,395.04-398.72,404.80-407.20,409.36-413.12,420.72-423.88	0.037	alta
llavors	pa-036	1	536.00-538.00	0.400	alta
llavors	pa-037	3	93.28-106.04,145.28-151.84,198.16-212.28	0.024	alta
llavors	pa-038	9	264.88-269.08,1413.36-1418.80,1574.72-1577.24,1725.76-1729.68,1808.36-1811.72,1860.16-1862.36,1872.76-1876.88,2053.12-2059.24	0.019	alta
llavors	pa-041	2	109.00-115.00,573.00-585.00	0.244	alta
llavors	pa-045	10	195.68-199.56,216.96-219.76,322.32-325.16,418.60-421.72,590.84-594.12,764.84-767.52,772.64-775.32,954.44-956.52	0.032	alta
llavors	pa-046	3	381.88-387.44,721.12-725.88,877.20-880.52	0.058	alta
llavors	pa-048	2	1245.72-1248.20,1286.80-1292.48	0.031	alta
llavors	pa-049	12	231.20-238.92,264.64-269.80,275.08-281.56,286.96-293.00,299.04-306.36,306.36-312.68,372.60-382.76,483.80-486.48	0.025	alta
llavors	pa-051	1	48.36-50.36	0.141	alta
llavors	pa-052	1	69.48-72.48	0.045	alta
llavors	pa-053	7	41.48-46.96,66.24-69.96,76.72-78.96,106.88-111.68,168.44-170.88,170.96-174.56,190.00-192.28	0.088	alta
llavors	pa-054	4	157.32-160.76,165.96-169.00,207.88-210.08,224.92-226.12	0.034	alta
llavors	pa-055	13	106.12-109.52,266.12-268.36,325.60-329.88,425.44-429.08,446.24-448.52,545.96-547.64,574.68-577.32,786.84-790.04	0.033	alta
llavors	pa-056	1	158.52-162.36	0.148	alta
llavors	pa-057	7	43.60-47.24,167.56-176.40,224.40-228.68,253.44-256.04,457.48-463.48,559.32-562.00,682.36-686.16	0.023	alta
llavors	pa-058	2	1055.16-1058.60,2344.76-2347.68	0.095	alta
llavors	pa-059	2	362.24-367.64,698.60-705.04	0.100	alta
llavors	pa-060	1	49.52-55.32	0.146	alta
llavors	pa-061	3	381.52-384.40,497.48-500.16,1189.80-1192.16	0.055	alta
llavors	pa-063	5	40.24-44.04,894.32-899.48,1219.80-1222.48,1319.24-1320.72,1385.84-1387.96	0.030	alta
llavors	pa-064	5	714.08-716.40,746.00-749.52,838.36-843.36,924.00-928.00,931.68-934.80	0.036	alta
llavors	pa-065	8	612.88-617.12,749.56-752.52,813.64-815.64,845.56-848.80,936.88-939.88,957.80-960.36,1046.52-1049.88,1152.28-1155.08	0.057	alta
llavors	pa-066	2	16.96-19.60,57.56-62.66	0.052	alta
a veure	pa-001	3	342.32-344.84,767.88-769.68,1073.32-1076.36	0.031	alta
a veure	pa-002	5	127.00-132.00,1022.00-1027.00,1036.00-1042.00,2125.00-2129.00,2211.00-2215.00	0.198	alta
a veure	pa-007	1	90.00-96.00	0.318	alta
a veure	pa-008	2	669.00-673.00,699.00-702.00	0.454	alta
a veure	pa-011	1	552.56-555.52	0.374	alta
a veure	pa-014	1	618.20-637.20	0.193	alta
a veure	pa-016	4	370.48-375.16,437.80-440.88,697.40-705.96,717.56-724.56	0.051	alta
a veure	pa-018	4	826.36-832.80,837.32-843.00,1987.40-1990.80,2553.32-2557.84	0.038	alta
a veure	pa-021	4	109.52-116.20,377.24-379.28,479.28-483.68,660.12-662.64	0.099	alta
a veure	pa-022	2	239.36-244.40,256.80-260.28	0.114	alta
a veure	pa-023	3	269.56-271.84,375.44-380.20,445.28-447.28	0.039	alta
a veure	pa-024	4	591.52-594.64,1906.88-1910.00,2197.28-2198.72,2206.44-2208.88	0.029	alta
a veure	pa-025	4	388.76-394.48,833.20-836.08,1544.40-1549.00,1689.36-1692.76	0.037	alta
a veure	pa-026	8	64.84-67.64,766.84-769.84,1005.00-1008.24,1176.20-1178.20,1331.36-1334.36,1351.12-1353.12,1844.04-1847.04,1990.16-1995.16	0.041	alta
a veure	pa-029	2	18.24-20.84,106.72-110.00	0.058	alta
a veure	pa-030	1	674.16-676.16	0.138	alta
a veure	pa-031	2	5.00-8.32,474.96-478.24	0.101	alta
a veure	pa-032	2	213.20-217.44,418.84-423.24	0.057	alta
a veure	pa-034	7	94.80-99.64,101.28-104.68,337.52-341.92,574.00-577.48,730.80-733.44,747.60-750.00,882.76-885.32	0.045	alta
a veure	pa-035	2	211.84-217.76,517.16-526.12	0.008	alta
a veure	pa-036	1	153.80-159.40	0.358	alta
a veure	pa-038	1	1071.08-1075.68	0.128	alta
a veure	pa-041	6	201.00-205.00,271.00-278.00,347.00-354.00,502.00-512.00,554.00-561.00,573.00-585.00	0.244	alta
a veure	pa-045	1	341.68-345.16	0.069	alta
a veure	pa-048	3	394.68-396.28,1028.64-1030.64,1216.64-1220.80	0.086	alta
a veure	pa-049	1	245.60-251.28	0.083	alta
a veure	pa-054	1	78.72-81.12	0.096	alta
a veure	pa-055	8	64.64-67.84,277.64-279.80,767.96-769.96,1004.96-1009.60,1175.84-1177.36,1331.32-1333.92,1351.00-1353.00,1845.44-1847.44	0.023	alta
a veure	pa-056	3	673.96-675.96,907.80-909.92,1114.80-1118.88	0.062	alta
a veure	pa-057	1	17.72-20.56	0.071	alta
a veure	pa-058	5	829.36-832.80,832.88-842.80,1987.84-1990.24,2032.88-2035.04,2553.40-2555.52	0.047	alta
a veure	pa-060	3	269.32-271.92,375.44-380.24,445.16-447.20	0.052	alta
a veure	pa-061	1	579.92-582.64	0.098	alta
a veure	pa-063	3	402.88-407.28,840.80-844.44,992.60-996.12	0.064	alta
a veure	pa-064	3	588.36-590.92,1077.96-1081.28,1183.60-1185.48	0.008	alta
a veure	pa-065	6	579.00-581.96,742.36-745.00,745.08-747.88,841.80-845.48,1004.92-1009.40,1107.64-1110.88	0.046	alta
aviam	pa-003	1	180.92-188.04	0.171	alta
aviam	pa-014	1	876.20-883.20	0.014	alta
aviam	pa-016	1	730.40-740.44	0.064	alta
aviam	pa-020	2	252.96-255.68,476.16-480.20	0.101	alta
aviam	pa-049	4	898.00-901.00,1182.00-1185.00,1216.00-1219.00,1337.00-1339.00	0.112	alta
doncs	pa-004	9	416.96-422.56,431.44-433.44,447.36-449.36,473.72-475.72,523.68-527.40,559.76-561.76,565.12-569.80,571.96-574.96	0.044	alta
doncs	pa-005	4	71.88-76.36,116.36-120.32,305.76-310.76,481.16-487.08	0.052	alta
doncs	pa-006	3	181.00-187.00,275.00-279.00,586.00-593.00	0.212	alta
doncs	pa-007	6	60.00-66.00,71.00-77.00,168.00-173.00,398.00-403.00,549.00-554.00,576.00-580.00	0.256	alta
doncs	pa-008	16	56.00-59.00,144.00-147.00,200.00-203.00,248.00-253.00,342.00-345.00,495.00-502.00,545.00-549.00,598.00-600.00	0.152	alta
doncs	pa-009	14	140.00-145.00,159.00-164.00,253.00-257.00,356.00-361.00,629.00-633.00,649.00-653.00,682.00-687.00,717.00-722.00	0.150	alta
doncs	pa-010	7	25.40-30.92,404.00-410.00,455.00-462.00,483.00-491.00,579.00-585.00,964.00-970.00,986.00-991.00	0.057	alta
doncs	pa-011	10	62.24-68.32,166.40-169.84,192.40-195.44,235.36-239.52,263.76-266.88,278.24-282.40,357.92-361.92,383.60-386.40	0.064	alta
doncs	pa-012	2	412.00-416.00,454.00-458.00	0.252	alta
doncs	pa-013	6	57.60-61.12,76.08-79.28,100.72-104.44,458.48-466.96,935.28-943.68,996.40-1011.12	0.128	alta
doncs	pa-014	9	180.80-187.80,216.60-229.00,249.20-258.00,268.40-275.80,291.00-299.40,299.40-308.60,308.60-315.20,381.20-392.20	0.141	alta
doncs	pa-015	7	84.00-87.00,135.00-139.00,217.00-219.00,259.00-265.00,267.00-272.00,326.00-328.00,413.00-418.00	0.176	alta
doncs	pa-016	10	63.08-68.68,89.84-93.92,275.04-280.08,293.28-300.64,375.16-379.16,437.80-440.88,443.60-447.48,472.24-476.80	0.051	alta
doncs	pa-017	3	460.00-464.00,627.00-631.00,854.00-858.00	0.241	alta
doncs	pa-018	34	34.28-39.12,201.32-204.56,214.80-216.72,270.60-272.40,319.56-321.28,324.16-326.08,440.24-442.60,455.92-458.48	0.031	alta
doncs	pa-019	1	47.00-49.00	0.177	alta
doncs	pa-020	3	248.12-251.28,520.88-523.28,578.00-583.24	0.089	alta
doncs	pa-021	24	13.00-16.12,16.20-18.92,23.48-27.32,33.04-37.80,50.60-55.92,64.56-67.64,70.40-73.56,80.24-83.28	0.034	alta
doncs	pa-022	3	123.60-126.20,659.40-663.00,699.84-703.40	0.057	alta
doncs	pa-024	6	83.76-113.76,226.28-229.60,453.76-459.88,768.48-771.48,1100.56-1103.64,1581.36-1586.16	0.007	alta
doncs	pa-025	13	60.64-65.28,259.72-267.84,277.36-282.16,329.24-333.80,354.80-359.40,383.60-388.68,608.76-615.64,635.68-640.28	0.022	alta
doncs	pa-026	11	7.08-8.92,100.72-102.72,381.28-385.04,583.00-586.00,662.32-666.20,683.52-689.64,750.16-755.44,956.64-958.64	0.034	alta
doncs	pa-027	10	18.76-23.76,318.12-322.12,500.92-503.40,587.96-591.80,609.08-611.24,644.92-648.44,651.72-656.92,756.12-759.64	0.034	alta
doncs	pa-028	2	330.08-334.04,352.52-356.44	0.092	alta
doncs	pa-029	17	128.36-130.92,230.80-232.96,380.44-385.56,446.88-452.60,463.76-467.32,498.72-502.56,504.92-508.48,669.12-672.88	0.017	alta
doncs	pa-030	7	44.28-47.88,52.04-54.84,186.36-191.40,247.28-250.68,258.52-260.92,478.84-480.84,789.44-791.44	0.055	alta
doncs	pa-031	1	414.80-418.36	0.116	alta
doncs	pa-032	3	22.36-26.48,86.52-92.28,318.16-323.64	0.030	alta
doncs	pa-033	5	7.36-10.04,13.48-17.68,28.80-31.72,49.76-55.16,114.96-117.56	0.092	alta
doncs	pa-034	28	111.28-115.48,115.56-120.00,255.32-257.84,316.48-319.76,463.16-466.76,473.68-476.84,482.68-486.96,489.56-492.32	0.040	alta
doncs	pa-035	2	196.24-201.36,865.00-869.04	0.017	alta
doncs	pa-036	1	368.00-376.00	0.152	alta
doncs	pa-037	3	21.24-27.32,372.64-381.12,425.36-437.24	0.056	alta
doncs	pa-038	2	2008.92-2013.20,2166.68-2170.60	0.020	alta
doncs	pa-039	5	13.52-18.76,20.64-25.04,91.60-95.20,415.56-422.08,633.04-635.56	0.067	alta
doncs	pa-040	1	210.80-214.24	0.095	alta
doncs	pa-041	4	210.00-217.00,217.00-224.00,341.00-347.00,347.00-354.00	0.322	alta
doncs	pa-043	2	16.00-19.00,76.00-82.00	0.326	alta
doncs	pa-045	2	283.76-286.64,966.20-971.16	0.059	alta
doncs	pa-046	16	136.36-139.32,256.76-261.08,598.80-602.56,608.44-611.96,618.20-621.16,661.40-664.52,688.28-692.96,718.76-721.04	0.034	alta
doncs	pa-048	1	303.64-306.04	0.136	alta
doncs	pa-049	1	1093.00-1095.00	0.120	alta
doncs	pa-055	16	7.04-8.92,100.68-102.68,233.76-235.76,380.92-384.80,476.96-479.68,662.56-666.20,683.88-684.88,956.32-959.80	0.050	alta
doncs	pa-056	9	44.20-47.84,186.28-188.44,247.12-250.56,258.32-260.88,380.04-383.28,478.72-481.16,762.60-765.20,789.48-791.48	0.040	alta
doncs	pa-057	10	127.96-130.96,378.80-385.56,446.48-457.48,463.48-468.28,498.56-502.96,670.36-673.36,976.52-982.36,1145.72-1147.80	0.032	alta
doncs	pa-058	29	201.16-204.52,214.72-216.72,270.40-272.28,440.20-442.72,528.20-531.20,601.52-605.08,686.72-691.12,787.60-791.20	0.031	alta
doncs	pa-059	6	246.56-250.04,256.52-260.12,460.52-464.44,626.84-630.84,683.04-685.88,854.24-858.00	0.071	alta
doncs	pa-060	2	178.72-181.88,576.48-579.28	0.042	alta
doncs	pa-061	5	242.84-248.48,393.96-397.96,562.44-564.44,713.28-716.56,988.28-991.60	0.046	alta
doncs	pa-062	3	302.84-306.76,740.44-745.00,1388.40-1390.92	0.089	alta
doncs	pa-063	7	609.80-613.36,670.76-673.76,795.72-801.84,963.24-966.84,1060.24-1061.72,1127.44-1130.40,1413.88-1416.60	0.086	alta
doncs	pa-064	7	457.48-459.68,471.36-474.80,692.08-697.36,1118.28-1121.32,1254.80-1257.32,1269.24-1271.76,1321.80-1325.48	0.040	alta
doncs	pa-065	23	158.24-161.52,171.44-173.96,214.20-217.56,228.32-232.00,401.24-403.84,414.88-417.60,417.68-419.68,450.36-454.68	0.057	alta
perquè	pa-001	20	60.32-62.56,69.24-71.24,84.32-87.08,130.52-133.76,311.44-317.48,330.32-331.68,396.00-398.00,448.84-454.12	0.018	alta
perquè	pa-002	55	19.00-23.00,112.00-116.00,170.00-173.00,200.00-201.00,371.00-374.00,428.00-434.00,448.00-454.00,516.00-518.00	0.098	alta
perquè	pa-003	9	202.32-206.28,227.80-234.96,234.96-241.44,265.16-270.48,276.44-280.44,312.08-317.84,333.20-339.52,452.64-458.40	0.047	alta
perquè	pa-004	6	464.84-470.64,598.48-601.84,662.52-666.04,692.36-696.20,723.72-728.72,742.00-745.68	0.038	alta
perquè	pa-006	6	111.00-117.00,204.00-209.00,229.00-235.00,325.00-328.00,380.00-383.00,502.00-507.00	0.187	alta
perquè	pa-007	6	102.00-107.00,330.00-335.00,403.00-409.00,449.00-455.00,624.00-627.00,671.00-676.00	0.240	alta
perquè	pa-008	21	56.00-59.00,89.00-91.00,100.00-103.00,216.00-219.00,466.00-470.00,531.00-536.00,598.00-600.00,744.00-748.00	0.056	alta
perquè	pa-009	7	350.00-356.00,495.00-502.00,643.00-645.00,689.00-691.00,812.00-815.00,920.00-923.00,983.00-985.00	0.101	alta
