id_persona	categoria	forma	recompte_asr	clip_qa	forma_en_qa	estat
pa-002	discurs	a nivell	2	clips/pa-002__a-nivell__714.25.wav	sí	ASR; pendent d'audicio
pa-002	discurs	a veure	5	clips/pa-002__a-veure__126.25.wav	sí	ASR; pendent d'audicio
pa-002	discurs	aleshores	0		no-clip	ASR; pendent d'audicio
pa-002	discurs	aviam	0		no-clip	ASR; pendent d'audicio
pa-002	discurs	bueno	11	clips/pa-002__bueno__433.25.wav	no	ASR; pendent d'audicio
pa-002	discurs	bé	11	clips/pa-002__b__348.25.wav	sí	ASR; pendent d'audicio
pa-002	discurs	clar	14	clips/pa-002__clar__186.25.wav	sí	ASR; pendent d'audicio
pa-002	discurs	de fet	6	clips/pa-002__de-fet__72.25.wav	sí	ASR; pendent d'audicio
pa-002	discurs	diguem	0		no-clip	ASR; pendent d'audicio
pa-002	discurs	doncs	0		no-clip	ASR; pendent d'audicio
pa-002	discurs	evidentment	10	clips/pa-002__evidentment__205.25.wav	sí	ASR; pendent d'audicio
pa-002	discurs	llavors	13	clips/pa-002__llavors__550.25.wav	sí	ASR; pendent d'audicio
pa-002	discurs	no?	4		no-clip	ASR; pendent d'audicio
pa-002	discurs	o sigui	0		no-clip	ASR; pendent d'audicio
pa-002	discurs	per tant	4		no-clip	ASR; pendent d'audicio
pa-002	discurs	perquè	55	clips/pa-002__perqu__18.25.wav	sí	ASR; pendent d'audicio
pa-002	discurs	vull dir	5	clips/pa-002__vull-dir__172.25.wav	no	ASR; pendent d'audicio
pa-002	discurs	és a dir	24	clips/pa-002__s-a-dir__12.25.wav	no	ASR; pendent d'audicio
pa-002	territorial	Canillo	1		no-clip	ASR; pendent d'audicio
pa-002	territorial	Escaldes	4		no-clip	ASR; pendent d'audicio
pa-002	territorial	Massana	4		no-clip	ASR; pendent d'audicio
pa-002	territorial	Ordino	2		no-clip	ASR; pendent d'audicio
pa-002	territorial	Sant Julià	2		no-clip	ASR; pendent d'audicio
pa-002	territorial	aiguats	0		no-clip	ASR; pendent d'audicio
pa-002	territorial	andorrana	0		no-clip	ASR; pendent d'audicio
pa-002	territorial	comunal	0		no-clip	ASR; pendent d'audicio
pa-002	territorial	comunals	0		no-clip	ASR; pendent d'audicio
pa-002	territorial	comuns	0		no-clip	ASR; pendent d'audicio
pa-002	territorial	comú	1		no-clip	ASR; pendent d'audicio
pa-002	territorial	copríncep	3		no-clip	ASR; pendent d'audicio
pa-002	territorial	coprínceps	0		no-clip	ASR; pendent d'audicio
pa-002	territorial	padrí	0		no-clip	ASR; pendent d'audicio
pa-002	territorial	parròquia	4		no-clip	ASR; pendent d'audicio
pa-002	territorial	santuari	0		no-clip	ASR; pendent d'audicio
pa-002	territorial	veguer	1		no-clip	ASR; pendent d'audicio
pa-004	discurs	a nivell	0		no-clip	ASR; pendent d'audicio
pa-004	discurs	a veure	0		no-clip	ASR; pendent d'audicio
pa-004	discurs	aleshores	0		no-clip	ASR; pendent d'audicio
pa-004	discurs	aviam	0		no-clip	ASR; pendent d'audicio
pa-004	discurs	bueno	0		no-clip	ASR; pendent d'audicio
pa-004	discurs	bé	4	clips/pa-004__b__319.61.wav	sí	ASR; pendent d'audicio
pa-004	discurs	clar	0		no-clip	ASR; pendent d'audicio
pa-004	discurs	de fet	2	clips/pa-004__de-fet__601.17.wav	sí	ASR; pendent d'audicio
pa-004	discurs	diguem	0		no-clip	ASR; pendent d'audicio
pa-004	discurs	doncs	9	clips/pa-004__doncs__416.21.wav	no	ASR; pendent d'audicio
pa-004	discurs	evidentment	1	clips/pa-004__evidentment__522.93.wav	sí	ASR; pendent d'audicio
pa-004	discurs	llavors	0		no-clip	ASR; pendent d'audicio
pa-004	discurs	no?	5		no-clip	ASR; pendent d'audicio
pa-004	discurs	o sigui	0		no-clip	ASR; pendent d'audicio
pa-004	discurs	per tant	3		no-clip	ASR; pendent d'audicio
pa-004	discurs	perquè	6	clips/pa-004__perqu__464.09.wav	sí	ASR; pendent d'audicio
pa-004	discurs	vull dir	1	clips/pa-004__vull-dir__143.45.wav	sí	ASR; pendent d'audicio
pa-004	discurs	és a dir	0		no-clip	ASR; pendent d'audicio
pa-004	territorial	Canillo	0		no-clip	ASR; pendent d'audicio
pa-004	territorial	Escaldes	1		no-clip	ASR; pendent d'audicio
pa-004	territorial	Massana	0		no-clip	ASR; pendent d'audicio
pa-004	territorial	Ordino	1		no-clip	ASR; pendent d'audicio
pa-004	territorial	Sant Julià	1		no-clip	ASR; pendent d'audicio
pa-004	territorial	aiguats	3		no-clip	ASR; pendent d'audicio
pa-004	territorial	andorrana	0		no-clip	ASR; pendent d'audicio
pa-004	territorial	comunal	2		no-clip	ASR; pendent d'audicio
pa-004	territorial	comunals	0		no-clip	ASR; pendent d'audicio
pa-004	territorial	comuns	0		no-clip	ASR; pendent d'audicio
pa-004	territorial	comú	3		no-clip	ASR; pendent d'audicio
pa-004	territorial	copríncep	0		no-clip	ASR; pendent d'audicio
pa-004	territorial	coprínceps	0		no-clip	ASR; pendent d'audicio
