categoria	forma	parlants	comptatge_total	nota
gramatica	perifrasi_past_candidata=vam anar	pa-002,pa-014,pa-016,pa-017,pa-018,pa-020,pa-024,pa-025,pa-026,pa-035,pa-036,pa-055,pa-058,pa-059	38	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=vam arribar	pa-020,pa-022,pa-023,pa-024,pa-025,pa-030,pa-031,pa-033,pa-056,pa-060	13	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=vam començar	pa-002,pa-017,pa-018,pa-020,pa-025,pa-026,pa-028,pa-034,pa-035,pa-038,pa-049,pa-055,pa-058,pa-063,pa-065	26	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=vam conèixer	pa-002,pa-026,pa-055	3	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=vam decidir	pa-025,pa-028,pa-031	6	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=vam deixar	pa-001,pa-020,pa-027,pa-036	5	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=vam demanar	pa-018,pa-020,pa-025,pa-026,pa-035,pa-049,pa-055,pa-058	8	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=vam dir	pa-002,pa-014,pa-017,pa-018,pa-020,pa-022,pa-025,pa-028,pa-030,pa-031,pa-032,pa-034,pa-035,pa-036,pa-037,pa-038,pa-039,pa-049,pa-058,pa-059	33	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=vam disfrutar	pa-023,pa-035,pa-060	5	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=vam donar	pa-002,pa-017,pa-028,pa-031,pa-059	6	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=vam entrar	pa-020,pa-021,pa-026,pa-028,pa-032,pa-035,pa-037,pa-038,pa-042,pa-055	17	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=vam estar	pa-002,pa-024,pa-025,pa-026,pa-029,pa-030,pa-032,pa-034,pa-035,pa-036,pa-055,pa-056,pa-057,pa-063	18	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=vam fer	pa-002,pa-016,pa-017,pa-018,pa-020,pa-021,pa-022,pa-024,pa-025,pa-026,pa-027,pa-028,pa-029,pa-031,pa-033,pa-034,pa-037,pa-038,pa-045,pa-053,pa-055,pa-057,pa-058,pa-059,pa-063,pa-066	73	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=vam guanyar	pa-018,pa-024,pa-026,pa-055,pa-058	9	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=vam intentar	pa-017,pa-018,pa-021,pa-058,pa-059	5	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=vam marxar	pa-025,pa-026,pa-037,pa-055,pa-065	6	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=vam obrir	pa-018,pa-058,pa-061,pa-063	6	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=vam obtenir	pa-018,pa-035,pa-058	3	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=vam parlar	pa-024,pa-026,pa-036,pa-055	6	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=vam passar	pa-026,pa-027,pa-029,pa-046,pa-055,pa-057	6	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=vam perdre	pa-018,pa-036,pa-038,pa-058	5	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=vam poder	pa-002,pa-029,pa-036,pa-057	15	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=vam posar	pa-020,pa-023,pa-026,pa-032,pa-038,pa-056,pa-060,pa-065,pa-066	10	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=vam quedar	pa-002,pa-020,pa-027,pa-030,pa-035,pa-036,pa-056	14	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=vam rebre	pa-026,pa-045,pa-055	3	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=vam reunir	pa-002,pa-027,pa-030,pa-032,pa-056	6	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=vam ser	pa-002,pa-016,pa-021,pa-024,pa-025,pa-027,pa-028,pa-030,pa-032,pa-034,pa-041,pa-042,pa-055,pa-056,pa-064	19	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=vam sortir	pa-002,pa-022,pa-024,pa-025,pa-026,pa-035,pa-038,pa-055	9	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=vam tenir	pa-004,pa-018,pa-021,pa-022,pa-025,pa-026,pa-029,pa-031,pa-032,pa-034,pa-035,pa-036,pa-038,pa-046,pa-053,pa-055,pa-057,pa-058,pa-059,pa-064,pa-066	42	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=vam tindre	pa-016,pa-020,pa-026,pa-031,pa-038	5	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=vam tornar	pa-018,pa-026,pa-030,pa-055,pa-056,pa-058	6	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=vam treballar	pa-016,pa-017,pa-022,pa-027,pa-034,pa-036,pa-059	10	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=vam trobar	pa-020,pa-021,pa-026,pa-034,pa-045,pa-055	8	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=vam veure	pa-020,pa-025,pa-035,pa-036	4	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=vam votar	pa-018,pa-020,pa-021,pa-026,pa-055,pa-058	8	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=van acabar	pa-002,pa-018,pa-020,pa-025,pa-038,pa-058	9	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=van acceptar	pa-018,pa-019,pa-020,pa-058	6	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=van adherir	pa-026,pa-038,pa-055	3	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=van ajudar	pa-020,pa-025,pa-029,pa-057	8	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=van amb	pa-026,pa-055,pa-064	3	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=van anar	pa-001,pa-002,pa-004,pa-013,pa-016,pa-018,pa-020,pa-024,pa-025,pa-027,pa-046,pa-051,pa-054,pa-055,pa-058,pa-066	26	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=van arribar	pa-002,pa-013,pa-016,pa-017,pa-025,pa-059	6	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=van baixar	pa-001,pa-025,pa-051,pa-052	6	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=van buscar	pa-018,pa-029,pa-058	3	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=van començar	pa-002,pa-008,pa-025,pa-029,pa-053,pa-057,pa-061,pa-063	11	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=van convidar	pa-025,pa-026,pa-055	4	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=van convocar	pa-025,pa-026,pa-030,pa-055,pa-056	5	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=van crear	pa-023,pa-049,pa-062,pa-063,pa-064	6	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=van creure	pa-018,pa-035,pa-049,pa-058	4	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=van decidir	pa-011,pa-030,pa-056	4	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=van dir	pa-002,pa-008,pa-014,pa-018,pa-020,pa-022,pa-024,pa-027,pa-030,pa-032,pa-034,pa-035,pa-036,pa-037,pa-038,pa-056,pa-057,pa-058	31	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=van entrar	pa-023,pa-027,pa-049,pa-060,pa-061	5	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=van estar	pa-008,pa-018,pa-022,pa-025,pa-030,pa-036,pa-039,pa-049,pa-056,pa-058,pa-066	15	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=van fer	pa-001,pa-002,pa-004,pa-008,pa-009,pa-016,pa-017,pa-018,pa-020,pa-022,pa-023,pa-024,pa-025,pa-027,pa-029,pa-030,pa-034,pa-035,pa-036,pa-038,pa-039,pa-040,pa-041,pa-045,pa-049,pa-056,pa-057,pa-058,pa-059,pa-060,pa-064,pa-065	76	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=van firmar	pa-002,pa-023,pa-032	3	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=van haver	pa-004,pa-016,pa-029,pa-037,pa-057	5	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=van obrir	pa-013,pa-029,pa-057	3	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=van parlar	pa-022,pa-025,pa-030,pa-056	4	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=van participar	pa-018,pa-023,pa-028,pa-038,pa-058,pa-060	6	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=van passar	pa-002,pa-007,pa-016,pa-023,pa-036,pa-060	11	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=van pensar	pa-020,pa-028,pa-036	4	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=van poder	pa-002,pa-018,pa-036,pa-058	5	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=van posar	pa-002,pa-005,pa-020,pa-026,pa-032,pa-035,pa-038,pa-055	12	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=van pujar	pa-001,pa-026,pa-055	5	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=van quedar	pa-001,pa-004,pa-010,pa-066	5	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=van reunir	pa-026,pa-034,pa-055	3	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=van seguir	pa-002,pa-018,pa-058,pa-066	5	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=van ser	pa-002,pa-003,pa-004,pa-014,pa-017,pa-018,pa-019,pa-020,pa-023,pa-024,pa-025,pa-027,pa-028,pa-029,pa-032,pa-037,pa-038,pa-039,pa-045,pa-049,pa-054,pa-057,pa-058,pa-059,pa-060,pa-062,pa-064	41	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=van sortir	pa-018,pa-031,pa-058	3	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=van tenir	pa-021,pa-023,pa-033,pa-045,pa-054,pa-060,pa-064	7	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=van tindre	pa-002,pa-016,pa-038,pa-040,pa-049,pa-061	9	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=van tornar	pa-023,pa-025,pa-037,pa-060	5	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=van trobar	pa-002,pa-008,pa-011,pa-018,pa-020,pa-029,pa-038,pa-039,pa-057,pa-058	13	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=van venir	pa-018,pa-024,pa-035,pa-048,pa-058,pa-062,pa-065	10	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=van veure	pa-007,pa-014,pa-019,pa-020,pa-023,pa-025,pa-031,pa-033,pa-060,pa-066	13	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=van vindre	pa-002,pa-030,pa-056	4	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=van viure	pa-022,pa-023,pa-034,pa-060	6	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=van voler	pa-001,pa-027,pa-038	4	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=van votar	pa-016,pa-018,pa-019,pa-020,pa-021,pa-027,pa-030,pa-038,pa-039,pa-056,pa-058	16	recompte ASR; revisió auditiva pendent
gramatica	perifrasi_past_candidata=vas tu	pa-026,pa-055,pa-063	3	recompte ASR; revisió auditiva pendent
gramatica	possessius_candidat=meu	pa-001,pa-002,pa-003,pa-008,pa-009,pa-016,pa-018,pa-019,pa-020,pa-021,pa-022,pa-025,pa-026,pa-027,pa-030,pa-034,pa-036,pa-037,pa-038,pa-039,pa-040,pa-042,pa-045,pa-048,pa-049,pa-051,pa-053,pa-054,pa-055,pa-056,pa-058,pa-061,pa-062,pa-063,pa-064,pa-065	121	recompte ASR; revisió auditiva pendent
gramatica	possessius_candidat=meus	pa-007,pa-017,pa-018,pa-026,pa-027,pa-032,pa-035,pa-037,pa-038,pa-039,pa-042,pa-043,pa-049,pa-052,pa-054,pa-055,pa-059,pa-062,pa-064	27	recompte ASR; revisió auditiva pendent
gramatica	possessius_candidat=meva	pa-001,pa-002,pa-003,pa-005,pa-007,pa-009,pa-012,pa-016,pa-018,pa-020,pa-021,pa-022,pa-023,pa-024,pa-025,pa-026,pa-028,pa-030,pa-031,pa-034,pa-035,pa-036,pa-038,pa-040,pa-041,pa-042,pa-045,pa-046,pa-048,pa-049,pa-052,pa-053,pa-054,pa-055,pa-056,pa-058,pa-060,pa-061,pa-062,pa-063,pa-064,pa-065,pa-066	112	recompte ASR; revisió auditiva pendent
gramatica	possessius_candidat=meves	pa-025,pa-035,pa-056,pa-062,pa-065	8	recompte ASR; revisió auditiva pendent
gramatica	possessius_candidat=nostra	pa-002,pa-005,pa-006,pa-007,pa-008,pa-009,pa-010,pa-012,pa-013,pa-016,pa-017,pa-018,pa-019,pa-020,pa-021,pa-024,pa-027,pa-031,pa-034,pa-036,pa-037,pa-043,pa-045,pa-046,pa-048,pa-049,pa-058,pa-059,pa-062,pa-063,pa-066	63	recompte ASR; revisió auditiva pendent
gramatica	possessius_candidat=nostre	pa-002,pa-003,pa-004,pa-005,pa-007,pa-009,pa-010,pa-012,pa-013,pa-014,pa-016,pa-017,pa-018,pa-020,pa-021,pa-024,pa-026,pa-027,pa-029,pa-030,pa-031,pa-034,pa-038,pa-039,pa-043,pa-045,pa-046,pa-055,pa-056,pa-057,pa-058,pa-059,pa-061,pa-062,pa-063,pa-064,pa-065	107	recompte ASR; revisió auditiva pendent
gramatica	possessius_candidat=nostres	pa-001,pa-002,pa-007,pa-008,pa-009,pa-010,pa-015,pa-017,pa-018,pa-019,pa-020,pa-024,pa-031,pa-033,pa-035,pa-036,pa-038,pa-039,pa-045,pa-046,pa-048,pa-049,pa-058,pa-059,pa-061,pa-062,pa-063,pa-065,pa-066	71	recompte ASR; revisió auditiva pendent
gramatica	possessius_candidat=seu	pa-001,pa-002,pa-004,pa-006,pa-008,pa-009,pa-010,pa-011,pa-013,pa-014,pa-015,pa-018,pa-019,pa-020,pa-021,pa-023,pa-024,pa-025,pa-026,pa-027,pa-029,pa-030,pa-031,pa-033,pa-034,pa-035,pa-036,pa-037,pa-038,pa-039,pa-040,pa-041,pa-045,pa-046,pa-048,pa-049,pa-055,pa-056,pa-057,pa-058,pa-060,pa-061,pa-062,pa-063,pa-064,pa-065,pa-066	151	recompte ASR; revisió auditiva pendent
gramatica	possessius_candidat=seus	pa-001,pa-002,pa-005,pa-006,pa-008,pa-009,pa-011,pa-013,pa-018,pa-020,pa-022,pa-024,pa-025,pa-026,pa-027,pa-029,pa-032,pa-033,pa-038,pa-042,pa-045,pa-046,pa-048,pa-055,pa-057,pa-058,pa-061,pa-062,pa-063,pa-065	50	recompte ASR; revisió auditiva pendent
gramatica	possessius_candidat=seva	pa-001,pa-006,pa-007,pa-008,pa-009,pa-010,pa-011,pa-012,pa-013,pa-014,pa-015,pa-018,pa-019,pa-020,pa-021,pa-024,pa-027,pa-029,pa-030,pa-031,pa-033,pa-034,pa-036,pa-037,pa-040,pa-041,pa-042,pa-046,pa-048,pa-049,pa-056,pa-057,pa-058,pa-061,pa-062,pa-063,pa-064,pa-065	132	recompte ASR; revisió auditiva pendent
gramatica	possessius_candidat=seves	pa-002,pa-004,pa-008,pa-011,pa-012,pa-013,pa-014,pa-015,pa-017,pa-018,pa-019,pa-020,pa-024,pa-027,pa-035,pa-038,pa-039,pa-042,pa-058,pa-059,pa-063,pa-065	43	recompte ASR; revisió auditiva pendent
gramatica	possessius_candidat=teu	pa-002,pa-003,pa-037,pa-038,pa-048,pa-049,pa-061,pa-063	11	recompte ASR; revisió auditiva pendent
gramatica	possessius_candidat=teus	pa-025,pa-032,pa-061,pa-062	4	recompte ASR; revisió auditiva pendent
gramatica	possessius_candidat=teva	pa-010,pa-016,pa-018,pa-038,pa-045,pa-048,pa-049,pa-058,pa-062	10	recompte ASR; revisió auditiva pendent
gramatica	possessius_candidat=vostra	pa-001,pa-005,pa-009,pa-012,pa-013,pa-046,pa-049,pa-061,pa-062	16	recompte ASR; revisió auditiva pendent
gramatica	possessius_candidat=vostre	pa-010,pa-012,pa-049,pa-061	8	recompte ASR; revisió auditiva pendent
gramatica	pronom_en_candidat=en	pa-001,pa-002,pa-003,pa-004,pa-005,pa-006,pa-007,pa-008,pa-009,pa-010,pa-011,pa-012,pa-013,pa-014,pa-015,pa-016,pa-017,pa-018,pa-019,pa-020,pa-021,pa-022,pa-023,pa-024,pa-025,pa-026,pa-027,pa-028,pa-029,pa-030,pa-031,pa-032,pa-033,pa-034,pa-035,pa-036,pa-037,pa-038,pa-039,pa-040,pa-041,pa-042,pa-045,pa-046,pa-048,pa-049,pa-051,pa-052,pa-053,pa-054,pa-055,pa-056,pa-057,pa-058,pa-059,pa-060,pa-061,pa-062,pa-063,pa-064,pa-065,pa-066	1573	recompte ASR; revisió auditiva pendent
gramatica	pronom_en_candidat=n	pa-038,pa-039,pa-045,pa-049,pa-065	5	recompte ASR; revisió auditiva pendent
gramatica	pronom_en_candidat=n'anaven	pa-014,pa-041,pa-064	3	recompte ASR; revisió auditiva pendent
gramatica	pronom_en_candidat=n'estic	pa-003,pa-039,pa-062,pa-063	5	recompte ASR; revisió auditiva pendent
gramatica	pronom_en_candidat=n'ha	pa-002,pa-011,pa-014,pa-018,pa-024,pa-048,pa-058,pa-064	8	recompte ASR; revisió auditiva pendent
gramatica	pronom_en_candidat=n'havia	pa-017,pa-021,pa-023,pa-029,pa-035,pa-057,pa-059,pa-064	11	recompte ASR; revisió auditiva pendent
gramatica	pronom_en_candidat=n'he	pa-002,pa-004,pa-014,pa-032	4	recompte ASR; revisió auditiva pendent
gramatica	pronom_en_candidat=n'hem	pa-002,pa-024,pa-025,pa-046,pa-048	6	recompte ASR; revisió auditiva pendent
gramatica	pronom_en_candidat=n'hi	pa-002,pa-004,pa-005,pa-006,pa-008,pa-014,pa-018,pa-021,pa-022,pa-024,pa-025,pa-026,pa-027,pa-030,pa-031,pa-032,pa-034,pa-036,pa-037,pa-038,pa-041,pa-051,pa-055,pa-058,pa-062,pa-065	39	recompte ASR; revisió auditiva pendent
gramatica	pronom_en_candidat=n'és	pa-022,pa-029,pa-057	4	recompte ASR; revisió auditiva pendent
gramatica	pronom_en_candidat=n'éssim	pa-009,pa-023,pa-058,pa-060	4	recompte ASR; revisió auditiva pendent
gramatica	pronom_hi_candidat=hi	pa-001,pa-002,pa-003,pa-004,pa-005,pa-006,pa-007,pa-008,pa-009,pa-010,pa-011,pa-012,pa-013,pa-014,pa-016,pa-017,pa-018,pa-019,pa-020,pa-021,pa-022,pa-023,pa-024,pa-025,pa-026,pa-027,pa-028,pa-029,pa-030,pa-031,pa-032,pa-033,pa-034,pa-035,pa-036,pa-037,pa-038,pa-039,pa-040,pa-041,pa-042,pa-043,pa-045,pa-046,pa-048,pa-049,pa-051,pa-052,pa-053,pa-054,pa-055,pa-056,pa-057,pa-058,pa-059,pa-060,pa-061,pa-062,pa-063,pa-064,pa-065,pa-066	1568	recompte ASR; revisió auditiva pendent
gramatica	pronom_ho_candidat=ho	pa-001,pa-002,pa-004,pa-005,pa-006,pa-007,pa-008,pa-009,pa-010,pa-011,pa-012,pa-014,pa-015,pa-016,pa-017,pa-018,pa-019,pa-020,pa-021,pa-022,pa-023,pa-024,pa-025,pa-026,pa-027,pa-028,pa-029,pa-030,pa-031,pa-032,pa-033,pa-034,pa-035,pa-036,pa-037,pa-038,pa-039,pa-040,pa-041,pa-042,pa-043,pa-045,pa-046,pa-048,pa-049,pa-051,pa-053,pa-054,pa-055,pa-056,pa-057,pa-058,pa-059,pa-060,pa-061,pa-062,pa-063,pa-064,pa-065,pa-066	886	recompte ASR; revisió auditiva pendent
territorial	Canillo	pa-002,pa-005,pa-007,pa-009,pa-016,pa-018,pa-021,pa-023,pa-026,pa-027,pa-030,pa-031,pa-034,pa-036,pa-037,pa-038,pa-039,pa-046,pa-056,pa-058,pa-060,pa-062,pa-065	55	recompte ASR; revisió auditiva pendent
territorial	Escaldes	pa-002,pa-004,pa-005,pa-006,pa-007,pa-008,pa-010,pa-013,pa-014,pa-017,pa-018,pa-024,pa-025,pa-026,pa-033,pa-035,pa-036,pa-038,pa-045,pa-049,pa-053,pa-054,pa-055,pa-056,pa-058,pa-059,pa-066	95	recompte ASR; revisió auditiva pendent
territorial	Massana	pa-002,pa-007,pa-020,pa-025,pa-026,pa-030,pa-031,pa-034,pa-055,pa-056,pa-064	21	recompte ASR; revisió auditiva pendent
territorial	Ordino	pa-002,pa-004,pa-005,pa-006,pa-007,pa-008,pa-009,pa-010,pa-011,pa-014,pa-016,pa-020,pa-025,pa-026,pa-027,pa-029,pa-030,pa-032,pa-036,pa-055,pa-056,pa-057	47	recompte ASR; revisió auditiva pendent
territorial	Sant Julià	pa-002,pa-004,pa-005,pa-006,pa-007,pa-008,pa-009,pa-014,pa-017,pa-018,pa-020,pa-023,pa-024,pa-025,pa-026,pa-030,pa-036,pa-039,pa-042,pa-054,pa-055,pa-056,pa-058,pa-059,pa-066	49	recompte ASR; revisió auditiva pendent
territorial	aiguats	pa-004,pa-049,pa-066	4	recompte ASR; revisió auditiva pendent
territorial	andorrana	pa-001,pa-003,pa-007,pa-018,pa-048,pa-049,pa-057	11	recompte ASR; revisió auditiva pendent
territorial	comunal	pa-004,pa-005,pa-020,pa-045	6	recompte ASR; revisió auditiva pendent
territorial	comunals	pa-005,pa-016,pa-020,pa-025,pa-026,pa-051,pa-055	8	recompte ASR; revisió auditiva pendent
territorial	comuns	pa-001,pa-005,pa-010,pa-018,pa-019,pa-020,pa-025,pa-027,pa-029,pa-035,pa-038,pa-057,pa-058	26	recompte ASR; revisió auditiva pendent
territorial	comú	pa-002,pa-004,pa-005,pa-007,pa-008,pa-009,pa-014,pa-017,pa-018,pa-020,pa-034,pa-035,pa-036,pa-037,pa-039,pa-049,pa-051,pa-058,pa-059,pa-065	36	recompte ASR; revisió auditiva pendent
territorial	copríncep	pa-001,pa-002,pa-007,pa-017,pa-018,pa-020,pa-025,pa-026,pa-036,pa-038,pa-055,pa-058,pa-059	34	recompte ASR; revisió auditiva pendent
territorial	coprínceps	pa-017,pa-025,pa-027,pa-030,pa-038,pa-058	25	recompte ASR; revisió auditiva pendent
territorial	padrí	pa-009,pa-014,pa-062,pa-064	6	recompte ASR; revisió auditiva pendent
territorial	parròquia	pa-002,pa-004,pa-005,pa-008,pa-009,pa-015,pa-016,pa-018,pa-021,pa-023,pa-024,pa-025,pa-027,pa-030,pa-033,pa-034,pa-037,pa-038,pa-040,pa-049,pa-056,pa-058,pa-060	50	recompte ASR; revisió auditiva pendent
territorial	santuari	pa-009,pa-045,pa-048,pa-065	7	recompte ASR; revisió auditiva pendent
territorial	veguer	pa-001,pa-002,pa-025,pa-027,pa-038,pa-064	8	recompte ASR; revisió auditiva pendent
