forma	categoria	n_persones_canoniques	n_registres_font	n_ocurrencies_asr	persones	estat
Massana	territorial	9	11	21	spk-005,spk-014,spk-016,spk-022,spk-024,spk-026,spk-033,spk-048,spk-051	matriu ASR completa; semblança textual; pendent d'audició
aiguats	territorial	3	3	9	spk-007,spk-011,spk-019	matriu ASR completa; semblança textual; pendent d'audició
andorrana	territorial	7	7	11	spk-002,spk-005,spk-007,spk-010,spk-020,spk-039,spk-053	matriu ASR completa; semblança textual; pendent d'audició
aviam	discurs	5	5	9	spk-007,spk-022,spk-044,spk-053,spk-057	matriu ASR completa; semblança textual; pendent d'audició
comunal	territorial	4	4	6	spk-018,spk-019,spk-022,spk-036	matriu ASR completa; semblança textual; pendent d'audició
comunals	territorial	6	7	8	spk-022,spk-024,spk-032,spk-036,spk-044,spk-048	matriu ASR completa; semblança textual; pendent d'audició
coprínceps	territorial	6	6	25	spk-015,spk-016,spk-024,spk-037,spk-039,spk-043	matriu ASR completa; semblança textual; pendent d'audició
padrí	territorial	5	5	7	spk-014,spk-027,spk-050,spk-057,spk-060	matriu ASR completa; semblança textual; pendent d'audició
santuari	territorial	4	4	7	spk-010,spk-018,spk-042,spk-050	matriu ASR completa; semblança textual; pendent d'audició
veguer	territorial	7	7	9	spk-002,spk-012,spk-014,spk-015,spk-024,spk-026,spk-037	matriu ASR completa; semblança textual; pendent d'audició
