expedient	model	tokens	tipus_lexics	type_token_ratio	repeticio_3gram	marcadors_discursius	formes_territorials	formes_contacte	pronoms_clitics	perifrasi_past_aparent	primera_persona	negacio	nota	estat
lead-yt-036-xavier-espot	small	6786	1461	0.2153	0.1458	bé=8;clar=1;doncs=18;de fet=1;és a dir=12;o sigui=1;a veure=5;diguem=5;evidentment=10;per tant=45	parròquia=2;comú=1;comuns=1;Encamp=3;Ordino=2;Sant Julià=9;principat=1		698	29	85	99	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-yt-036-xavier-espot	base	6797	1499	0.2205	0.1574	bé=8;clar=1;doncs=31;de fet=1;és a dir=10;o sigui=1;a veure=3;diguem=7;evidentment=10;per tant=43;no?=10	parròquia=2;comú=1;comuns=1;Ordino=3;Sant Julià=9		723	26	80	118	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
