expedient	model	tokens	tipus_lexics	type_token_ratio	repeticio_3gram	marcadors_discursius	formes_territorials	formes_contacte	pronoms_clitics	perifrasi_past_aparent	primera_persona	negacio	nota	estat
lead-rtva-012-marc-forne	small	8840	1681	0.1902	0.2167	bé=16;bueno=2;clar=15;doncs=5;llavors=14;de fet=15;és a dir=3;o sigui=1;vull dir=1;a veure=5;diguem=2;evidentment=1;per tant=10;no?=27	comuns=1;copríncep=1;comunals=1;padrí=2;Canillo=1;Ordino=1;Escaldes=1;Massana=1;Constitució=5	espanyol=26;espanyola=3;francès=6;francesa=2;anglès=2	1034	292	53	235	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-rtva-012-marc-forne	base	9523	1869	0.1963	0.1961	bé=19;bueno=3;clar=21;doncs=6;llavors=13;de fet=20;vull dir=5;a veure=7;evidentment=1;per tant=11;no?=34	comú=1;comuns=1;comunals=1;padrí=2;Ordino=1;Escaldes=1;Massana=3;Constitució=6	espanyol=4;espanyola=2;francès=4;anglès=2	1221	240	58	269	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
