expedient	model	tokens	tipus_lexics	type_token_ratio	repeticio_3gram	marcadors_discursius	formes_territorials	formes_contacte	pronoms_clitics	perifrasi_past_aparent	primera_persona	negacio	nota	estat
lead-yt-041-guillem-areny	small	991	330	0.3330	0.0488	bé=5;bueno=5;doncs=1;aleshores=1;és a dir=1;o sigui=1;vull dir=1;a veure=1	Escaldes=4		133	42	16	51	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-yt-041-guillem-areny	base	1009	335	0.3320	0.1315	bé=3;bueno=3;llavors=2;aleshores=1;no?=1			136	33	13	54	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
