id_a	id_b	n_formes_compartides	formes	estat
lead-cg-001-xavier-espot	spk-002	2	per tant,perquè	candidat Consell General; consens ASR textual; pendent d'audició
lead-cg-001-xavier-espot	spk-003	3	comú,per tant,perquè	candidat Consell General; consens ASR textual; pendent d'audició
lead-cg-001-xavier-espot	spk-004	2	per tant,perquè	candidat Consell General; consens ASR textual; pendent d'audició
lead-cg-001-xavier-espot	spk-005	2	comú,perquè	candidat Consell General; consens ASR textual; pendent d'audició
lead-cg-001-xavier-espot	spk-007	2	comú,perquè	candidat Consell General; consens ASR textual; pendent d'audició
lead-cg-001-xavier-espot	spk-011	2	per tant,perquè	candidat Consell General; consens ASR textual; pendent d'audició
lead-cg-001-xavier-espot	spk-014	2	per tant,perquè	candidat Consell General; consens ASR textual; pendent d'audició
lead-cg-001-xavier-espot	spk-015	2	per tant,perquè	candidat Consell General; consens ASR textual; pendent d'audició
lead-cg-001-xavier-espot	spk-016	2	per tant,perquè	candidat Consell General; consens ASR textual; pendent d'audició
lead-cg-001-xavier-espot	spk-017	2	per tant,perquè	candidat Consell General; consens ASR textual; pendent d'audició
lead-cg-001-xavier-espot	spk-019	3	comú,per tant,perquè	candidat Consell General; consens ASR textual; pendent d'audició
lead-cg-001-xavier-espot	spk-021	2	per tant,perquè	candidat Consell General; consens ASR textual; pendent d'audició
lead-cg-001-xavier-espot	spk-022	2	comú,perquè	candidat Consell General; consens ASR textual; pendent d'audició
lead-cg-001-xavier-espot	spk-024	2	per tant,perquè	candidat Consell General; consens ASR textual; pendent d'audició
lead-cg-001-xavier-espot	spk-025	3	comú,per tant,perquè	candidat Consell General; consens ASR textual; pendent d'audició
lead-cg-001-xavier-espot	spk-026	3	comú,per tant,perquè	candidat Consell General; consens ASR textual; pendent d'audició
lead-cg-001-xavier-espot	spk-027	2	per tant,perquè	candidat Consell General; consens ASR textual; pendent d'audició
lead-cg-001-xavier-espot	spk-028	3	comú,per tant,perquè	candidat Consell General; consens ASR textual; pendent d'audició
lead-cg-001-xavier-espot	spk-032	2	comú,perquè	candidat Consell General; consens ASR textual; pendent d'audició
lead-cg-001-xavier-espot	spk-034	2	comú,perquè	candidat Consell General; consens ASR textual; pendent d'audició
lead-cg-001-xavier-espot	spk-035	2	per tant,perquè	candidat Consell General; consens ASR textual; pendent d'audició
lead-cg-001-xavier-espot	spk-036	2	comú,per tant	candidat Consell General; consens ASR textual; pendent d'audició
lead-cg-001-xavier-espot	spk-038	2	per tant,perquè	candidat Consell General; consens ASR textual; pendent d'audició
lead-cg-001-xavier-espot	spk-039	2	comú,perquè	candidat Consell General; consens ASR textual; pendent d'audició
lead-cg-001-xavier-espot	spk-041	2	comú,perquè	candidat Consell General; consens ASR textual; pendent d'audició
lead-cg-001-xavier-espot	spk-042	3	comú,per tant,perquè	candidat Consell General; consens ASR textual; pendent d'audició
lead-cg-001-xavier-espot	spk-043	3	comú,per tant,perquè	candidat Consell General; consens ASR textual; pendent d'audició
lead-cg-001-xavier-espot	spk-044	2	per tant,perquè	candidat Consell General; consens ASR textual; pendent d'audició
lead-cg-001-xavier-espot	spk-046	2	per tant,perquè	candidat Consell General; consens ASR textual; pendent d'audició
lead-cg-001-xavier-espot	spk-048	2	per tant,perquè	candidat Consell General; consens ASR textual; pendent d'audició
lead-cg-001-xavier-espot	spk-050	3	comú,per tant,perquè	candidat Consell General; consens ASR textual; pendent d'audició
lead-cg-001-xavier-espot	spk-051	3	comú,per tant,perquè	candidat Consell General; consens ASR textual; pendent d'audició
lead-cg-001-xavier-espot	spk-054	2	per tant,perquè	candidat Consell General; consens ASR textual; pendent d'audició
lead-cg-001-xavier-espot	spk-055	2	per tant,perquè	candidat Consell General; consens ASR textual; pendent d'audició
lead-cg-001-xavier-espot	spk-057	2	comú,perquè	candidat Consell General; consens ASR textual; pendent d'audició
lead-cg-001-xavier-espot	spk-059	2	per tant,perquè	candidat Consell General; consens ASR textual; pendent d'audició
lead-cg-001-xavier-espot	spk-060	2	per tant,perquè	candidat Consell General; consens ASR textual; pendent d'audició
