forma	font	estat
comú	Xavier Espot + graf canònic complet	consensual ASR; pendent d'audició
per tant	Xavier Espot + graf canònic complet	consensual ASR; pendent d'audició
perquè	Xavier Espot + graf canònic complet	consensual ASR; pendent d'audició
