expedient	model	tokens	tipus_lexics	type_token_ratio	repeticio_3gram	marcadors_discursius	formes_territorials	formes_contacte	pronoms_clitics	perifrasi_past_aparent	primera_persona	negacio	nota	estat
lead-rtva-009-isidre-bartumeu	small	6522	1671	0.2562	0.1066	bé=9;bueno=1;clar=1;doncs=31;llavors=6;de fet=2;és a dir=4;o sigui=8;vull dir=1;a veure=4;evidentment=5;per tant=9;a nivell=1;no?=31	Constitució=1	espanyol=1;espanyola=1	789	70	35	191	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-rtva-009-isidre-bartumeu	base	6391	1681	0.2630	0.1107	bé=10;clar=3;doncs=43;llavors=3;de fet=1;és a dir=3;o sigui=5;vull dir=2;a veure=3;evidentment=4;per tant=9;a nivell=1;no?=24	Constitució=1	castellà=1;espanyol=1	781	55	36	131	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
