idDivision	taula	serie	periode	valor	font	actualitzat
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	1997-12	90.71	Departament d'Estadística	2018-01-18
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	1998-01	90.53	Departament d'Estadística	2018-01-18
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	1998-02	90.44	Departament d'Estadística	2018-01-18
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	1998-03	90.49	Departament d'Estadística	2018-01-18
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	1998-04	90.73	Departament d'Estadística	2018-01-18
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	1998-05	91.03	Departament d'Estadística	2018-01-18
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	1998-06	91.22	Departament d'Estadística	2018-01-18
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	1998-07	91.19	Departament d'Estadística	2018-01-18
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	1998-08	91.08	Departament d'Estadística	2018-01-18
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	1998-09	91.1	Departament d'Estadística	2018-01-18
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	1998-10	91.38	Departament d'Estadística	2018-01-18
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	1998-11	91.74	Departament d'Estadística	2018-01-18
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	1998-12	91.95	Departament d'Estadística	2018-01-18
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	1999-01	91.88	Departament d'Estadística	2018-01-18
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	1999-02	91.72	Departament d'Estadística	2018-01-18
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	1999-03	91.77	Departament d'Estadística	2018-01-18
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	1999-04	92.23	Departament d'Estadística	2018-01-18
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	1999-05	92.83	Departament d'Estadística	2018-01-18
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	1999-06	93.18	Departament d'Estadística	2018-01-18
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	1999-07	93.03	Departament d'Estadística	2018-01-18
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	1999-08	92.69	Departament d'Estadística	2018-01-18
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	1999-09	92.57	Departament d'Estadística	2018-01-18
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	1999-10	92.98	Departament d'Estadística	2018-01-18
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	1999-11	93.68	Departament d'Estadística	2018-01-18
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	1999-12	94.29	Departament d'Estadística	2018-01-18
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	2000-01	94.55	Departament d'Estadística	2018-01-18
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	2000-02	94.59	Departament d'Estadística	2018-01-18
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	2000-03	94.67	Departament d'Estadística	2018-01-18
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	2000-04	94.98	Departament d'Estadística	2018-01-18
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	2000-05	95.38	Departament d'Estadística	2018-01-18
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	2000-06	95.7	Departament d'Estadística	2018-01-18
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	2000-07	95.8	Departament d'Estadística	2018-01-18
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	2000-08	95.84	Departament d'Estadística	2018-01-18
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	2000-09	96.05	Departament d'Estadística	2018-01-18
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	2000-10	96.6	Departament d'Estadística	2018-01-18
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	2000-11	97.42	Departament d'Estadística	2018-01-18
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	2000-12	98.37	Departament d'Estadística	2018-01-18
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	2001-01	98.53	Departament d'Estadística	2018-01-18
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	2001-02	98.53	Departament d'Estadística	2018-01-18
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	2001-03	98.88	Departament d'Estadística	2018-01-18
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	2001-04	99.6	Departament d'Estadística	2018-01-18
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	2001-05	100.25	Departament d'Estadística	2018-01-18
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	2001-06	100.26	Departament d'Estadística	2018-01-18
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	2001-07	99.9	Departament d'Estadística	2018-01-18
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	2001-08	99.58	Departament d'Estadística	2018-01-18
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	2001-09	99.77	Departament d'Estadística	2018-01-18
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	2001-10	100.29	Departament d'Estadística	2018-01-18
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	2001-11	100.84	Departament d'Estadística	2018-01-18
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	2001-12	101.09	Departament d'Estadística	2018-01-18
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	2002-01	101.07	Departament d'Estadística	2018-01-18
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	2002-02	101.33	Departament d'Estadística	2018-01-18
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	2002-03	101.86	Departament d'Estadística	2018-01-18
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	2002-04	102.68	Departament d'Estadística	2018-01-18
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	2002-05	103.14	Departament d'Estadística	2018-01-18
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	2002-06	103.1	Departament d'Estadística	2018-01-18
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	2002-07	102.7	Departament d'Estadística	2018-01-18
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	2002-08	102.65	Departament d'Estadística	2018-01-18
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	2002-09	103.04	Departament d'Estadística	2018-01-18
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	2002-10	103.88	Departament d'Estadística	2018-01-18
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	2002-11	104.35	Departament d'Estadística	2018-01-18
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	2002-12	104.52	Departament d'Estadística	2018-01-18
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	2003-01	104.4	Departament d'Estadística	2018-01-18
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	2003-02	104.59	Departament d'Estadística	2018-01-18
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	2003-03	105.19	Departament d'Estadística	2018-01-18
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	2003-04	105.95	Departament d'Estadística	2018-01-18
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	2003-05	106.37	Departament d'Estadística	2018-01-18
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	2003-06	106.15	Departament d'Estadística	2018-01-18
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	2003-07	105.76	Departament d'Estadística	2018-01-18
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	2003-08	105.72	Departament d'Estadística	2018-01-18
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	2003-09	106.26	Departament d'Estadística	2018-01-18
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	2003-10	107.03	Departament d'Estadística	2018-01-18
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	2003-11	107.49	Departament d'Estadística	2018-01-18
54	ÍNDEX GENERAL D'ANDORRA. BASE 2001	ANDORRAN CPI INDEX. BASE 2001	2003-12	107.53	Departament d'Estadística	2018-01-18
