expedient	model	tokens	tipus_lexics	type_token_ratio	repeticio_3gram	marcadors_discursius	formes_territorials	formes_contacte	pronoms_clitics	perifrasi_past_aparent	primera_persona	negacio	nota	estat
lead-rtva-027-jordi-guillamet	small	8519	1825	0.2142	0.2200	bé=12;bueno=7;clar=11;doncs=6;llavors=8;aleshores=1;de fet=2;és a dir=1;o sigui=1;vull dir=2;a veure=7;aviam=1;diguem=1;evidentment=3;per tant=13;a nivell=1;no?=26	Escaldes=1;Constitució=1;coprincipat=1;principat=1	espanyol=9;espanyola=3;francès=2;francesa=1;anglès=1	1025	215	48	216	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-rtva-027-jordi-guillamet	base	9606	2116	0.2203	0.1838	bé=14;bueno=6;clar=14;doncs=11;llavors=6;de fet=1;és a dir=1;vull dir=1;a veure=8;evidentment=3;per tant=17;a nivell=1;no?=28	comú=1;Constitució=1	espanyola=3;francès=1	1129	203	54	430	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
