camp	valor
id	pU9nG2c2zX8
title	#ConsellConstituent - Jordi Farràs Forné
channel	Consell General
uploader	Consell General
upload_date	20241218
duration	2647
license	
webpage_url	https://www.youtube.com/watch?v=pU9nG2c2zX8
