clip	durada_s	rms_db	zcr	centroid_hz	f0_median_hz	veu_activa	estat
clips/lead-rtva-060-xavier-espot-actual__13__no.wav	4.885	-32.77	0.0677	1039.7	108.1	0.5967	descriptor instrumental; pendent d'audició
clips/lead-rtva-060-xavier-espot-actual__15__per-tant.wav	6.000	-27.90	0.0677	1061.1	102.6	0.7876	descriptor instrumental; pendent d'audició
clips/lead-rtva-060-xavier-espot-actual__34__santuari.wav	6.360	-25.31	0.0752	1183.3	172.0	0.7839	descriptor instrumental; pendent d'audició
clips/lead-rtva-060-xavier-espot-actual__37__govern.wav	6.000	-31.50	0.0627	1039.8	105.3	0.6789	descriptor instrumental; pendent d'audició
clips/lead-rtva-060-xavier-espot-actual__38__avortament.wav	6.800	-25.70	0.0727	1106.5	172.0	0.7448	descriptor instrumental; pendent d'audició
clips/lead-rtva-060-xavier-espot-actual__39__santa-seu.wav	5.120	-40.56	0.0702	1255.8	173.9	0.4549	descriptor instrumental; pendent d'audició
clips/lead-rtva-060-xavier-espot-actual__40__eleccions.wav	5.400	-26.20	0.0752	1092.1	173.9	0.7323	descriptor instrumental; pendent d'audició
clips/lead-rtva-060-xavier-espot-actual__41__andorra.wav	8.440	-30.86	0.0652	954.8	141.6	0.6710	descriptor instrumental; pendent d'audició
