expedient	model	tokens	tipus_lexics	type_token_ratio	repeticio_3gram	marcadors_discursius	formes_territorials	formes_contacte	pronoms_clitics	perifrasi_past_aparent	primera_persona	negacio	nota	estat
lead-yt-042-andreu-gonzalez	small	3317	1005	0.3030	0.0366	bé=11;bueno=2;clar=9;doncs=8;llavors=4;de fet=2;o sigui=1;a veure=1;evidentment=2;per tant=1;a nivell=3;no?=12		anglès=1	323	12	26	51	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-yt-042-andreu-gonzalez	base	3232	1001	0.3097	0.0501	bé=7;bueno=3;clar=5;doncs=8;llavors=1;de fet=2;és a dir=2;o sigui=1;a veure=1;evidentment=2;per tant=1;a nivell=3;no?=6		espanyol=1;anglès=1	313	17	24	48	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
