forma	font	estat
a veure	DJ Neura + graf canònic complet	consensual ASR; pendent d'audició
aleshores	DJ Neura + graf canònic complet	consensual ASR; pendent d'audició
bueno	DJ Neura + graf canònic complet	consensual ASR; pendent d'audició
bé	DJ Neura + graf canònic complet	consensual ASR; pendent d'audició
clar	DJ Neura + graf canònic complet	consensual ASR; pendent d'audició
doncs	DJ Neura + graf canònic complet	consensual ASR; pendent d'audició
no?	DJ Neura + graf canònic complet	consensual ASR; pendent d'audició
perquè	DJ Neura + graf canònic complet	consensual ASR; pendent d'audició
