camp	valor
id	IW5OE88C_TQ
title	Els primers 30: entrevista Roser Bastida
channel	RTVA Andorra
uploader	RTVA Andorra
upload_date	20130317
duration	517
license	
webpage_url	https://www.youtube.com/watch?v=IW5OE88C_TQ
