expedient	model	tokens	tipus_lexics	type_token_ratio	repeticio_3gram	marcadors_discursius	formes_territorials	formes_contacte	pronoms_clitics	perifrasi_past_aparent	primera_persona	negacio	nota	estat
lead-rtva-020-monica-bonell	small	5604	1318	0.2352	0.0584	bé=19;bueno=9;clar=6;doncs=37;llavors=4;de fet=2;és a dir=1;o sigui=2;vull dir=1;a veure=9;diguem=1;evidentment=1;per tant=7;a nivell=2;no?=17	andorrana=2;parròquia=1;comú=1;comuns=1;comunal=2;Canillo=1;Encamp=2;Ordino=1	espanyola=1	597	31	50	108	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-rtva-020-monica-bonell	base	5700	1346	0.2361	0.1125	bé=20;bueno=7;clar=3;doncs=35;llavors=4;de fet=1;a veure=6;diguem=1;evidentment=1;per tant=6;a nivell=2;no?=15	parròquia=1;comú=4;comuns=1;Ordino=1	espanyola=1	596	30	52	105	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
