expedient	model	tokens	tipus_lexics	type_token_ratio	repeticio_3gram	marcadors_discursius	formes_territorials	formes_contacte	pronoms_clitics	perifrasi_past_aparent	primera_persona	negacio	nota	estat
lead-yt-044-laura-casanovas	small	4683	1122	0.2396	0.0917	bé=26;bueno=8;clar=16;doncs=10;llavors=27;de fet=1;és a dir=7;a veure=1;diguem=1;per tant=1;no?=5	Canillo=3;Escaldes=1	castellà=1;espanyola=1	423	100	70	209	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-yt-044-laura-casanovas	base	4704	1163	0.2472	0.0930	bé=23;bueno=4;clar=17;doncs=9;llavors=11;de fet=1;és a dir=5;vull dir=1;a veure=1;per tant=4;no?=8	parròquia=1;Canillo=3;Escaldes=1		442	95	69	237	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
