forma	segment	clip	inici_forma_s	final_forma_s	durada_s	veu_proporcio	rms_p10_db	rms_p50_db	rms_p90_db	zcr_p10	zcr_p90	f0_median_hz	f0_iqr_hz	centroid_median_hz	centroid_p90_hz	segments_veu	pausa_mediana_s	mostres_f0	estat
perquè	12	clips/pere-lopez__perqu__48.40.wav	48.400	54.800	8.400	0.5060	-51.56	-34.58	-21.56	0.0563	0.3972	250.00	85.94	1964.23	3555.30	21	0.060	109	descriptor orientatiu; pendent d’audició
andorrana	9	clips/pere-lopez__andorrana__32.80.wav	32.800	38.400	7.600	0.4723	-53.09	-37.62	-23.07	0.0548	0.3321	250.00	109.38	1983.23	3134.08	14	0.080	89	descriptor orientatiu; pendent d’audició
