idDivision	taula	serie	periode	valor	font	actualitzat
1957	CONEIXEMENT DEL FRANCÈS	CONEIXEMENT DEL FRANCÈS. LLEGEIX	2018	5.7	Departament de Política Lingüística	2022-01-29
1957	CONEIXEMENT DEL FRANCÈS	CONEIXEMENT DEL FRANCÈS. PARLA	1995	5.4	Departament de Política Lingüística	2022-01-29
1957	CONEIXEMENT DEL FRANCÈS	CONEIXEMENT DEL FRANCÈS. PARLA	1999	5.2	Departament de Política Lingüística	2022-01-29
1957	CONEIXEMENT DEL FRANCÈS	CONEIXEMENT DEL FRANCÈS. PARLA	2004	5.1	Departament de Política Lingüística	2022-01-29
1957	CONEIXEMENT DEL FRANCÈS	CONEIXEMENT DEL FRANCÈS. PARLA	2009	4.9	Departament de Política Lingüística	2022-01-29
1957	CONEIXEMENT DEL FRANCÈS	CONEIXEMENT DEL FRANCÈS. PARLA	2014	4.9	Departament de Política Lingüística	2022-01-29
1957	CONEIXEMENT DEL FRANCÈS	CONEIXEMENT DEL FRANCÈS. PARLA	2018	5.3	Departament de Política Lingüística	2022-01-29
1957	CONEIXEMENT DEL FRANCÈS	CONEIXEMENT DEL FRANCÈS. ESCRIU	1995	4.2	Departament de Política Lingüística	2022-01-29
1957	CONEIXEMENT DEL FRANCÈS	CONEIXEMENT DEL FRANCÈS. ESCRIU	1999	4.2	Departament de Política Lingüística	2022-01-29
1957	CONEIXEMENT DEL FRANCÈS	CONEIXEMENT DEL FRANCÈS. ESCRIU	2004	4.2	Departament de Política Lingüística	2022-01-29
1957	CONEIXEMENT DEL FRANCÈS	CONEIXEMENT DEL FRANCÈS. ESCRIU	2009	4.0	Departament de Política Lingüística	2022-01-29
1957	CONEIXEMENT DEL FRANCÈS	CONEIXEMENT DEL FRANCÈS. ESCRIU	2014	4.1	Departament de Política Lingüística	2022-01-29
1957	CONEIXEMENT DEL FRANCÈS	CONEIXEMENT DEL FRANCÈS. ESCRIU	2018	4.4	Departament de Política Lingüística	2022-01-29
1958	CONEIXEMENT DE L'ANGLÈS	CONEIXEMENT DE L'ANGLÈS. ENTÉN	1995	2.0	Departament de Política Lingüística	2022-01-29
1958	CONEIXEMENT DE L'ANGLÈS	CONEIXEMENT DE L'ANGLÈS. ENTÉN	1999	2.6	Departament de Política Lingüística	2022-01-29
1958	CONEIXEMENT DE L'ANGLÈS	CONEIXEMENT DE L'ANGLÈS. ENTÉN	2004	2.3	Departament de Política Lingüística	2022-01-29
1958	CONEIXEMENT DE L'ANGLÈS	CONEIXEMENT DE L'ANGLÈS. ENTÉN	2009	3.0	Departament de Política Lingüística	2022-01-29
1958	CONEIXEMENT DE L'ANGLÈS	CONEIXEMENT DE L'ANGLÈS. ENTÉN	2014	3.1	Departament de Política Lingüística	2022-01-29
