expedient	model	tokens	tipus_lexics	type_token_ratio	repeticio_3gram	marcadors_discursius	formes_territorials	formes_contacte	pronoms_clitics	perifrasi_past_aparent	primera_persona	negacio	nota	estat
lead-yt-038-conxita-marsol	small	1532	534	0.3486	0.0820	bé=4;bueno=2;doncs=1;per tant=1;no?=4	comú=1		163	3	2	29	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-yt-038-conxita-marsol	base	1469	516	0.3513	0.0899	bé=5;bueno=2;doncs=3;per tant=1;no?=2			166	0	3	29	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
